,A,Crp
R2,,0.11877564879861102
xmin,,-9.852476477
xmid,,-2.7755635384195787
xmax,,2.5388323397
ystart,,-8.94528071600128
yend,,8.99988514681101
SRX1125282,0.38479049460000003,0.0344951212
SRX1125283,0.1106732024,0.1435731223
SRX1125284,-1.5587834251000001,0.2534372822
SRX1125285,-1.783630777,0.283920339
SRX1125286,-2.5267317243000003,0.3175329239
SRX1125287,-3.6135747316,0.17602055360000002
SRX1125288,-1.2823926489,0.005256366
SRX1125289,-0.1662572485,0.2819816342
SRX1125290,-2.5857242027,0.2801678667
SRX1125291,-2.8824570332,0.4762089513
SRX1125292,-2.6608196137,0.5370175003000001
SRX1125293,-1.8363749341000002,0.5086233319
SRX1125294,0.8976021543,-0.039751487200000005
SRX1125295,0.1228400568,0.2905320638
SRX1125296,-2.5749095233,0.1859933018
SRX1125297,-1.6516531536999999,0.3699621097
SRX1125298,-0.9639725364,0.5483756585
SRX1125299,-1.0300294883,0.50143841
SRX5694250,-1.5123938886000001,-0.4516798918
SRX5694251,-15.2891747391,-1.8893970692000002
SRX5694252,0.3639689491,-0.1701238306
SRX5694253,-0.9615076557000001,0.1340371706
SRX5694254,-4.3833919924,-0.8477189713000001
SRX5694255,-15.5023703632,0.1307715067
SRX5694256,0.230945333,-0.2340068764
SRX5694257,-8.2646957107,-0.33700626310000004
SRX5694258,-0.0255574004,-0.2857852433
SRX5694259,-16.8652220748,-2.9247054987
SRX5694260,0.6809119196,0.0899715865
SRX5694261,-11.5550494797,-1.6070723407
SRX5694262,-2.5105366887000002,-0.5390842036
SRX5694263,-0.2399344569,-0.0980165268
SRX5694264,-0.7638711975,0.2016373309
SRX5694265,1.2475366688,-0.2490351859
SRX5694267,-1.1157072529,0.0411821817
SRX5694268,0.957806326,0.0231238538
SRX5694269,2.8810331700000003,0.0476350313
SRX5694271,1.1101699866,0.24713669740000002
SRX5694273,-8.3104413854,-1.5465123927
SRX5694274,3.2051494686,0.2066153554
SRX5694275,-2.6463086467,-0.5157335737000001
SRX5694276,-11.4894258622,-1.8223907651
SRX5694277,-3.7110913021,0.36042412560000003
SRX5694278,-9.2462216101,-1.3002511837
SRX5694279,-1.0744036176,0.3379205155
SRX5694280,-6.7999419904,-0.6834405493
SRX5694281,-2.5456292731,0.1656640608
SRX5694282,-10.1469734901,-0.9934080376000001
SRX5694283,-4.448346087,-0.3443110079
SRX5694284,-7.9824893973,-0.9407234058
SRX5694285,-0.7820092729,-0.0040549861000000005
SRX5694286,-0.8934984249000001,-0.1478341465
SRX5694287,-8.464213492,-0.1558928562
SRX5694288,1.9560001517,0.2764607147
SRX5694289,0.3066120404,-0.14661147630000002
SRX5694290,-0.5920395384,0.2201400917
SRX5694291,-15.6894407836,0.1874058842
SRX5694292,-4.3501886099,0.0513472187
SRX5694293,4.4085233471,0.3866879371
SRX5694294,0.6228584354000001,-0.0602559214
SRX5694295,-15.365933913,-1.4743546362
SRX5694296,-2.2433305194,-0.13444608700000002
SRX5694297,-10.7362981897,-1.621907484
SRX5694298,-3.0631308917,-0.0376343135
SRX5694299,-2.0140390951,-0.0810478849
SRX5694300,1.0745554678,0.1296583874
SRX5694301,-1.9825521579,0.2017965224
SRX5694302,-1.5570066124,0.1490464558
SRX5694303,-3.0933310791,0.2623448043
SRX5694304,0.0420716241,-0.22631582460000002
SRX5694305,-13.8111253552,-1.9945889461
SRX5694306,-1.5769107983000001,-0.303318389
SRX5694307,-11.3007902216,-0.9213934478
SRX5694308,-4.9906650914,-0.5542551321
SRX5694309,-13.0559671857,-2.4371824129
SRX5694310,-14.3612728676,-0.6975730314
SRX5694311,-14.443665474,-2.788252041
SRX5694312,-2.7486682402,-0.46271994780000003
SRX5694313,-11.0755932334,-1.0117169578
SRX5694315,2.4733328403,-0.1729404675
SRX5694317,-1.2639752292,0.2138522692
SRX5694319,0.6072593876,0.22403181360000002
SRX5694320,-16.6923020418,-0.09237995040000001
SRX5694321,-2.1089826237000002,-0.38942819040000004
SRX5694322,-9.8149019246,-1.1362642293
SRX5694323,-2.5609256396999998,-0.41342659340000004
SRX5694324,-14.9945752193,-1.6036324816
SRX5694325,-9.371859065,-0.5104274184
SRX5694326,-0.5761645256,-0.1584196907
SRX5694327,-14.3314618005,-0.6589226995
SRX5694328,1.4362002170000001,0.1764471632
SRX5694329,-3.0023268501,-0.5799739837
SRX5694330,-3.8060700732,-0.6950204566
SRX5694331,0.669589706,0.245553549
SRX5694332,-3.0564239706,-0.24882076420000002
SRX5694334,-11.9160306517,-1.0972302127
SRX5694335,-11.4902716429,-2.0210704043
SRX5694336,-6.8140836490000005,-1.6584843203
SRX5694337,-1.724475107,-0.2397944182
SRX5694338,1.6130150504,0.1989831632
SRX5694339,1.1645062183000001,0.10670366340000001
SRX5694340,-2.2205252053,-0.1227589166
SRX5694341,-17.1230340493,-1.4531793695
SRX5694342,-9.0345013538,-1.642695013
SRX5694343,-2.1862227601,-0.659556922
SRX5694344,-0.9270248788000001,-0.5482364304
SRX5694345,-1.7268333146,-0.1455592358
SRX5694346,-2.4344210699,-0.6506498564000001
SRX5694347,0.15947495550000002,-0.0665078507
SRX5694348,-0.5868209712,0.0163008612
SRX5694349,0.7070687996,0.3281616036
SRX5694350,-8.1307391167,-1.3897674496999999
SRX5694351,-10.0571769646,-0.94657928
SRX5694352,-2.1166547439,-0.11358356480000001
SRX5694353,1.929577278,0.2090437913
SRX5694354,2.9689979403,0.156288703
SRX5694356,2.5412890497,0.1914919696
SRX5694357,-10.151176475,-1.6521756011000002
SRX5694358,-13.9249266341,-0.2527058608
SRX5694359,-1.4532595247,-0.30657057660000003
SRX5694360,-0.0316008865,-0.2669976047
SRX5694361,-9.7657445958,-1.0307723459
SRX5694362,0.1716175784,-0.0309958632
SRX5694363,-8.179922211,-0.3804310446
SRX5694364,-13.4880443737,-2.3462003852
SRX5694365,-11.1636739958,-0.6041545277
SRX5694366,-1.830382433,-0.054980210200000004
SRX5694367,-10.3499245106,-0.7076949831
SRX5694368,-0.9537307150000001,0.1102525246
SRX5694369,5.5237350061,-0.0590977866
SRX5694370,-0.7159742709,-0.22081801820000002
SRX5694371,-11.6214813813,-2.3057897995
SRX5694372,-2.1887493413,-0.3165443482
SRX5694373,-9.0558727487,-1.5399098517
SRX5694374,-18.7693958944,-0.3411830033
SRX5694375,-0.9406169550000001,-0.0340696975
SRX5694376,-4.8955658604,-0.31705369640000003
SRX5694377,-16.6875618546,-0.5697764494
SRX5694378,-2.0422473085,-0.31765341210000003
SRX5694379,-1.9975134613,-0.25011430100000004
SRX5694380,-2.9649347385,-0.8373204843000001
SRX5694381,-12.8639595388,-1.2728116676
SRX5694382,0.6993654884,-0.025511662
SRX5694383,-0.2687565294,0.1480773849
SRX5694384,-0.4303811209,0.1439389809
SRX5694385,-3.6101575216,0.0779751018
SRX5694386,-15.3484002402,-2.8414442095
SRX5694387,-1.3166358358,0.0426535923
SRX5694388,-13.9948794612,-1.6022828696
SRX5694389,-2.6800954404,-0.0800003088
SRX5694390,-2.8349878397,0.0001683552
SRX5694391,-2.556160808,0.1315329539
SRX5694392,-1.6264159919,-0.1486598298
SRX5694393,1.2197904801,0.232671539
SRX5694394,-0.5288123436000001,0.2168248136
SRX5694395,-7.5437772802000005,-0.3791651303
SRX5694396,-7.8278131773,-0.8353134788000001
SRX5694397,-3.0112231811,-0.0202364792
SRX5694398,-2.1279041777,-0.0607073754
SRX5694399,0.8203962443,-0.2527744328
SRX5694400,-1.2250627447,-0.1981004934
SRX5694401,6.8291111275,-0.021523506600000002
SRX5694402,-14.8267248614,-2.6700349591
SRX5694403,-3.3398129248,-0.9103162108
