,gpp
Cr_1,-0.004038710254796308
Cr_2,-0.0056822812629377896
Cr_3,0.0025948045582188444
Cr_4,0.0158784715959843
Cr_5,0.034253806698188984
Cr_6,0.04474534316370332
Fe_1,-0.016988714869388424
Fe_2,-0.042886198180936086
Fe_3,-0.06839144066424513
Fe_4,-0.09628528227303276
Fe_5,-0.10543785620228716
Fe_6,-0.12081394681044755
Cd_1,0.002517681729628445
Cd_2,0.005088911427013263
Cd_3,0.003714390848479723
Cd_4,0.004325330154031313
Cd_5,0.0004636924706800012
Cd_6,0.00830108443858948
Zn_1,0.014489514426356638
Zn_2,0.018635430627041483
Zn_3,0.020582664436355882
Zn_4,0.033677829575386675
Zn_5,0.04995628688299397
Zn_6,0.06706663784177111
Cu_1,0.00048385560049802185
Cu_2,-0.0018968786348995035
Cu_3,-0.0007116109875763468
Cu_4,0.003122567323851761
Cu_5,0.004500969302106764
Cu_6,0.011453108679351991
Pb_1,0.004588393997711288
Pb_2,0.00905822341722448
Pb_3,0.026092096018287443
Pb_4,0.04883772128176899
Pb_5,0.06037606793584362
Pb_6,0.07554089581916107
