,fdoG
Cr_1,0.005608475398190435
Cr_2,0.01709015730596453
Cr_3,0.030682619224071405
Cr_4,0.039321348279439824
Cr_5,0.045499364413958535
Cr_6,0.04849051553402923
Fe_1,-0.010306484709389337
Fe_2,-0.021943102236482548
Fe_3,-0.02846484989778963
Fe_4,-0.02669241646924458
Fe_5,-0.016043048249286727
Fe_6,0.0035116920318776076
Cd_1,-0.0016330666685777822
Cd_2,-0.0003303135228943392
Cd_3,0.002553618739576551
Cd_4,0.006966455576018894
Cd_5,0.007056331264982305
Cd_6,0.011802512623373191
Zn_1,-0.004396145618300379
Zn_2,-0.007984112985329141
Zn_3,-0.005834125748621724
Zn_4,0.0018709515160210595
Zn_5,0.01373888034033247
Zn_6,0.026922489973473848
Cu_1,0.004334318284754868
Cu_2,0.013407131172822046
Cu_3,0.02307234720584292
Cu_4,0.03142365019810685
Cu_5,0.041223870738938746
Cu_6,0.05404875159806842
Pb_1,0.0040304236197036426
Pb_2,0.01000016440954115
Pb_3,0.022136393355436733
Pb_4,0.03504651831443747
Pb_5,0.04629016821587472
Pb_6,0.05881620515202896
