,iModulon,Gene
0,0,PA0069
1,0,PA0610
2,0,PA0670
3,0,PA0671
4,0,PA0922
5,0,PA1150
6,0,PA1466
7,0,PA2085
8,0,PA2288
9,0,PA3007
10,0,PA3008
11,0,PA3413
12,0,PA3414
13,0,PA3616
14,0,PA3617
15,0,PA4763
16,0,PA5530
17,1,PA1984
18,1,PA4022
19,1,PA4023
20,1,PA4024
21,1,PA4025
22,2,PA2027
23,2,PA3117
24,2,PA3118
25,2,PA3119
26,2,PA3120
27,2,PA3121
28,2,PA3792
29,2,PA3963a
30,2,PA3965
31,2,PA4695
32,2,PA4696
33,3,PA0007
34,3,PA0050
35,3,PA0052
36,3,PA0105
37,3,PA0106
38,3,PA0107
39,3,PA0108
40,3,PA0109
41,3,PA0110
42,3,PA0174
43,3,PA0175
44,3,PA0176
45,3,PA0177
46,3,PA0178
47,3,PA0179
48,3,PA0256
49,3,PA0451
50,3,PA0459
51,3,PA0484
52,3,PA0586
53,3,PA0587
54,3,PA0588
55,3,PA0776
56,3,PA0782
57,3,PA0783
58,3,PA0788
59,3,PA0798
60,3,PA1041
61,3,PA1166
62,3,PA1172
63,3,PA1173
64,3,PA1174
65,3,PA1175
66,3,PA1176
67,3,PA1177
68,3,PA1190
69,3,PA1289
70,3,PA1354
71,3,PA1650
72,3,PA1728
73,3,PA1733
74,3,PA1745
75,3,PA1837a
76,3,PA1860
77,3,PA1880
78,3,PA1881
79,3,PA1887
80,3,PA1888
81,3,PA1930
82,3,PA1951
83,3,PA2024
84,3,PA2072
85,3,PA2107
86,3,PA2118a
87,3,PA2140
88,3,PA2142a
89,3,PA2174
90,3,PA2363
91,3,PA2365
92,3,PA2366
93,3,PA2367
94,3,PA2368
95,3,PA2369
96,3,PA2504
97,3,PA2572
98,3,PA2573
99,3,PA2755a
100,3,PA2937
101,3,PA2939
102,3,PA3032
103,3,PA3049
104,3,PA3250
105,3,PA3289
106,3,PA3311
107,3,PA3415
108,3,PA3416
109,3,PA3417
110,3,PA3418
111,3,PA3430
112,3,PA3451
113,3,PA3569
114,3,PA3688
115,3,PA3723
116,3,PA3957
117,3,PA4112
118,3,PA4294
119,3,PA4296
120,3,PA4306
121,3,PA4311
122,3,PA4362
123,3,PA4377
124,3,PA4573
125,3,PA4607
126,3,PA4648
127,3,PA4702
128,3,PA4703
129,3,PA4781
130,3,PA4915
131,3,PA4925
132,3,PA4929
133,3,PA5058
134,3,PA5059
135,3,PA5359
136,3,PA5460
137,4,PA0265
138,4,PA0266
139,4,PA0296
140,4,PA0297
141,4,PA0298
142,4,PA0299
143,4,PA1742
144,4,PA2040
145,4,PA2041
146,4,PA2776
147,4,PA3356
148,4,PA5309
149,4,PA5312
150,4,PA5313
151,4,PA5314
152,4,PA5522
153,4,PA5523
154,5,PA1137
155,5,PA3515
156,5,PA3516
157,5,PA3517
158,5,PA3518
159,5,PA3519
160,5,PA3520
161,5,PA3521
162,5,PA3522
163,5,PA3523
164,5,PA3574a
165,5,PA3920
166,5,PA4878
167,6,PA0039
168,6,PA0445
169,6,PA0456
170,6,PA0722
171,6,PA0805
172,6,PA0941
173,6,PA0944
174,6,PA0960
175,6,PA1159
176,6,PA1177
177,6,PA1414
178,6,PA1541
179,6,PA1571
180,6,PA1940
181,6,PA1985
182,6,PA2142a
183,6,PA2149
184,6,PA2182
185,6,PA2319
186,6,PA2376
187,6,PA2501
188,6,PA2622
189,6,PA2632
190,6,PA2690
191,6,PA2746a
192,6,PA2754
193,6,PA2883
194,6,PA2970
195,6,PA3049
196,6,PA3142
197,6,PA3242
198,6,PA3266
199,6,PA3315
200,6,PA3369
201,6,PA3434
202,6,PA3577
203,6,PA3612
204,6,PA3966
205,6,PA3990
206,6,PA3993
207,6,PA4108a
208,6,PA4346
209,6,PA4567
210,6,PA4605
211,6,PA4637
212,6,PA4703
213,6,PA4738
214,6,PA4741
215,6,PA4797
216,6,PA4940
217,6,PA5271
218,6,PA5276
219,6,PA5315
220,6,PA5351
221,6,PA5444
222,6,PA5569
223,6,PA5570
224,7,PA1874
225,7,PA1875
226,7,PA1877
227,7,PA1914
228,7,PA4293
229,7,PA4297
230,7,PA4298
231,7,PA4299
232,7,PA4300
233,7,PA4301
234,7,PA4302
