,A,OxyR
R2,,0.11405123154639218
xmin,,-7.3223905695000004
xmid,,-0.8347134482045474
xmax,,1.5249456786265156
ystart,,-1.2547309702990495
yend,,6.528731272960126
control__wt_glc__1,0.1307138184578012,-0.10812528549999988
control__wt_glc__2,-0.1307138184577906,0.10812528550000078
fur__wt_dpd__1,0.2325812380798257,-0.3918510385000005
fur__wt_dpd__2,-0.1351654079946483,-0.4480737175000016
fur__wt_fe__1,-0.1404870720849144,-0.19961092449999995
fur__wt_fe__2,-0.4353412562918539,-0.3065217235000004
fur__delfur_dpd__1,-0.7889366527531972,-0.3722405594999998
fur__delfur_dpd__2,-1.33385041116099,-0.4208417975000014
fur__delfur_fe2__1,0.2550535417175422,-0.13705346650000028
fur__delfur_fe2__2,0.464380897948602,-0.1774416935000005
acid__wt_ph5__1,0.2347731742745395,-0.16790930650000035
acid__wt_ph5__2,0.0407320524736685,-0.1816553825000016
acid__delgadx_ph5__2,-0.782781442308635,-0.3418093025000015
acid__delgadw_ph5__1,0.1286678482358484,-0.31403319250000017
acid__delgadw_ph5__2,0.1675708687341184,-0.3209036405000001
acid__delgade_ph5__1,0.3213775469472458,-0.14734041550000046
acid__delgade_ph5__2,0.0447013401723771,-0.1243442374999999
oxidative__wt_pq__1,8.229646027144089,0.4065757564999988
oxidative__wt_pq__2,8.382211404671537,0.4663710914999992
oxidative__deloxyr_pq__1,-0.2880547448228598,-7.3223905695000004
oxidative__deloxyr_pq__2,-0.319192214927,-7.2472015085
oxidative__delsoxr_pq__1,8.040543904669955,0.42240455750000017
oxidative__delsoxr_pq__2,7.568738614391074,0.3283901675000003
oxidative__delsoxs_pq__1,7.605784583252056,0.574135569500001
oxidative__delsoxs_pq__2,7.593425124003111,0.5985670835000008
nac_ntrc__wt_csn__1,0.330966896394516,-0.4189141985000005
nac_ntrc__wt_csn__2,-0.3342029020418098,-0.3099967164999997
nac_ntrc__wt_cytd__1,-0.1580021347785596,-0.20551874649999924
nac_ntrc__wt_cytd__2,-0.1707627284574657,-0.24932210249999984
nac_ntrc__wt_gln__1,0.5915335140440846,-0.20580917050000025
nac_ntrc__wt_gln__2,0.1025318397989489,-0.1138715544999993
nac_ntrc__bw_delnac_csn__1,0.4902951457260138,-0.5718306154999997
nac_ntrc__bw_delnac_csn__2,1.1211462444209612,-0.17992723750000028
nac_ntrc__bw_delnac_cytd__1,-0.4216643939656738,-0.15630317850000086
nac_ntrc__bw_delnac_cytd__2,-0.449712549653654,-0.1675225944999994
nac_ntrc__bw_delnac_gln__1,-0.213045262460885,-0.18074528050000005
nac_ntrc__bw_delnac_gln__2,0.0240105553860998,-0.3331214325000005
