,mutM
Cr_1,0.0015162366969862944
Cr_2,0.015252252220042947
Cr_3,0.031632737487647486
Cr_4,0.0425723582179243
Cr_5,0.06322686704476993
Cr_6,0.08576043977288783
Fe_1,-0.012443923645982758
Fe_2,-0.027041066010489258
Fe_3,-0.044356949691901536
Fe_4,-0.07094146490679065
Fe_5,-0.09112444890417194
Fe_6,-0.1095539489221052
Cd_1,0.006713056157878481
Cd_2,0.014344269310896246
Cd_3,0.02806069744602106
Cd_4,0.041810070560457074
Cd_5,0.04941392767548853
Cd_6,0.0567329237133927
Zn_1,-0.03487428681557423
Zn_2,-0.05346239001704665
Zn_3,-0.04077650606819423
Zn_4,0.007611582494270128
Zn_5,0.04310864221704613
Zn_6,0.06944928794859906
Cu_1,0.004506175747374815
Cu_2,0.018539949738369685
Cu_3,0.035300604116396885
Cu_4,0.05485036972983762
Cu_5,0.08332569435721539
Cu_6,0.10988280474296266
Pb_1,0.014167879657398515
Pb_2,0.013196702053071479
Pb_3,0.010721252212161272
Pb_4,0.012390565836998522
Pb_5,0.020136474660600784
Pb_6,0.038959852129920036
