,amiA
Cr_1,0.001413073917676188
Cr_2,0.004708653724940747
Cr_3,0.010906082287817209
Cr_4,0.01839676574703133
Cr_5,0.025044885987675854
Cr_6,0.03161452610577043
Fe_1,-0.006278760053995279
Fe_2,-0.01465107751130293
Fe_3,-0.017449792717017708
Fe_4,-0.030061134991934427
Fe_5,-0.04025465431019009
Fe_6,-0.05148011393994663
Cd_1,0.0034128294058561447
Cd_2,0.0058972089729628354
Cd_3,0.01024020722437364
Cd_4,0.013196955014069504
Cd_5,0.008953186251187795
Cd_6,0.00895145434027027
Zn_1,-0.003883878384684724
Zn_2,-0.0022307451413947697
Zn_3,0.012574586772141572
Zn_4,0.030578569135335423
Zn_5,0.044309463020283935
Zn_6,0.05628963521929435
Cu_1,0.005628094240991858
Cu_2,0.012228072807117442
Cu_3,0.0170188010963813
Cu_4,0.019956529053489932
Cu_5,0.02612379432688414
Cu_6,0.03485806532774047
Pb_1,0.011281225587960865
Pb_2,0.023603894143058586
Pb_3,0.039405713629380036
Pb_4,0.05686250821740225
Pb_5,0.07621385708285072
Pb_6,0.09449884713880176
