,ompT
Cr_1,-0.0009002889791415976
Cr_2,-0.0036398506223024015
Cr_3,-0.007197880147463802
Cr_4,-0.014641433257096263
Cr_5,-0.02130523865229237
Cr_6,-0.03265920753651052
Fe_1,-0.01094286444512124
Fe_2,-0.012610158668712795
Fe_3,0.005160329827481396
Fe_4,0.024045644568586648
Fe_5,0.04764596148061115
Fe_6,0.06739367010977006
Cd_1,0.002814421638537021
Cd_2,0.006162830645088218
Cd_3,0.008956078427901514
Cd_4,0.01095900656839885
Cd_5,0.008539604081234466
Cd_6,0.010743617864306606
Zn_1,-0.0003844331457497371
Zn_2,0.001961472225209228
Zn_3,-0.00028023035295128703
Zn_4,-0.0017658443422347953
Zn_5,-0.0041030863730809955
Zn_6,-0.011291082142470666
Cu_1,0.006540148865542542
Cu_2,0.012629027495766668
Cu_3,0.02076630646096476
Cu_4,0.032219025595594614
Cu_5,0.043969269500843663
Cu_6,0.053622996091679614
Pb_1,0.010541352185853527
Pb_2,0.021551996042158697
Pb_3,0.029339050643132563
Pb_4,0.036654812546259435
Pb_5,0.042454218744415226
Pb_6,0.05214275362319355
