,yigI
Cr_1,-0.020186438182236283
Cr_2,-0.02901288694849181
Cr_3,-0.018880650213308092
Cr_4,-0.01829704636648571
Cr_5,-0.023202418764104803
Cr_6,-0.03156725217473308
Fe_1,-0.02256154756465835
Fe_2,-0.05527382783240521
Fe_3,-0.10443879090981167
Fe_4,-0.16802975608949267
Fe_5,-0.2183941360593847
Fe_6,-0.2570466536559389
Cd_1,-0.0010804345749900973
Cd_2,0.0008698631188686197
Cd_3,-0.002223872854188306
Cd_4,-0.004240233214476528
Cd_5,-0.007577652445792882
Cd_6,-0.013214024103074635
Zn_1,0.11407151778211315
Zn_2,0.10691760954990924
Zn_3,0.1608184183954866
Zn_4,0.10387465304058316
Zn_5,0.0860946947626254
Zn_6,-0.020459035884385617
Cu_1,0.013833945210155857
Cu_2,0.025302257765464947
Cu_3,0.040797213425791734
Cu_4,0.05287277596795782
Cu_5,0.0672424793722063
Cu_6,0.07727089670946137
Pb_1,0.003783925524306048
Pb_2,0.01804303573410875
Pb_3,0.03584439753830625
Pb_4,0.05596782556753541
Pb_5,0.07968816761563076
Pb_6,0.08951727264052478
