,lsrR
Cr_1,0.007538112662432609
Cr_2,0.0166791640682288
Cr_3,0.027505352419716286
Cr_4,0.04195133259240008
Cr_5,0.050721528835492725
Cr_6,0.06834838096197746
Fe_1,-0.0360757983948542
Fe_2,-0.10119264898917364
Fe_3,-0.13971039281615502
Fe_4,-0.20377167495546653
Fe_5,-0.22069358405972947
Fe_6,-0.04805244718745735
Cd_1,0.0037538008388923595
Cd_2,0.008656115375882113
Cd_3,0.012869464881393431
Cd_4,0.016286857079625034
Cd_5,0.015249864301347144
Cd_6,0.01730598814770513
Zn_1,0.005236455660459011
Zn_2,0.0038339202577681655
Zn_3,0.2090341273557378
Zn_4,0.4013196261816739
Zn_5,0.5610809319857719
Zn_6,0.6284009661888448
Cu_1,0.004546747841684311
Cu_2,0.010305564231607512
Cu_3,0.02297372942954615
Cu_4,0.03746195063202935
Cu_5,0.04256786450331061
Cu_6,0.04687142034585278
Pb_1,0.0019142926536427985
Pb_2,0.005025530423527964
Pb_3,0.010338037733270288
Pb_4,0.019380989032319013
Pb_5,0.04266256631739999
Pb_6,0.05593789766488014
