,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,-7.523679884698308,0.21110510741904226,2.0,0.0,-7.672953737697427,1.0,-7.374406031699189,,
1,Chrom__sac_sta,0.133503955352964,0.680215856741073,2.0,2.0,-0.34748128961926583,3.0,0.6144892003251938,,
2,Chrom__sac_MW001,-1.887379141862766e-15,1.1689281128456879,2.0,4.0,0.8265569953127779,5.0,-0.8265569953127817,,
3,Chrom__sac_fadR,0.02423300119179872,0.48366640222416796,2.0,6.0,0.36623679403660814,7.0,-0.3177707916530107,,
4,FadR__wt_p,-8.104628079763643e-15,1.822595905650104,2.0,8.0,-1.2887699242480335,9.0,1.2887699242480173,,
5,FadR__ko_p,0.2953239831970582,1.430307251978023,2.0,10.0,-0.7160559738568979,11.0,1.3067039402510143,,
6,GDGT__75_2.4_log,2.960594732333751e-15,1.282578502126836,3.0,12.0,-1.0656661094265794,27.0,-0.3578264882842685,50.0,1.4234925977108568
7,GDGT__80_3.5_stat,-1.7806210005081813,1.8278231346765592,3.0,13.0,-0.7283068931981185,20.0,-0.7223495526756851,42.0,-3.89120655565074
8,GDGT__80_2.4_log,2.468511876240422,1.4946517675099162,3.0,14.0,4.096101260092877,37.0,2.151907795949819,41.0,1.1575265726785704
9,GDGT__75_3.5_stat,-5.0398550778914,2.989035615300895,3.0,15.0,-5.9764176618079015,24.0,-1.694688003643048,28.0,-7.448459568223253
10,GDGT__80_1.6_stat,-3.7519809674747715,1.530278267785918,3.0,16.0,-3.353121553348117,17.0,-5.4421940097950285,33.0,-2.4606273392811686
11,GDGT__75_2.4_stat,-6.654708830455377,0.8926569806864161,3.0,18.0,-6.68480293004598,26.0,-5.747385341407328,31.0,-7.531938219912822
12,GDGT__80_2.4_stat,-3.8315234234896223,1.0514596095838369,3.0,19.0,-2.640215683003985,29.0,-4.224306124808786,30.0,-4.630048462656094
13,GDGT__80_1.6_log,2.207295311372543,1.0937453912144937,2.0,21.0,2.9806900943918446,39.0,1.433900528353241,,
14,GDGT__65_3.5_stat,0.337948928395777,1.0358036355628422,3.0,22.0,-0.7147097826204277,23.0,1.3560316774218888,34.0,0.37252489038586994
15,GDGT__75_1.6_stat,1.9328852504735143,5.25027195573745,3.0,25.0,-1.5965750205212794,32.0,7.96640189454746,38.0,-0.5711711226056383
16,GDGT__75_1.6_log,-7.61707250353811,0.1518650590988004,2.0,35.0,-7.509687690424053,36.0,-7.724457316652168,,
17,GDGT__65_2.4_stat,-0.9653797300421156,1.4091261421902515,3.0,40.0,-1.5034306845388008,46.0,-2.0262085163797816,49.0,0.6335000107922358
18,GDGT__65_2.4_log,-4.877539231927887,1.5718409149019048,3.0,43.0,-3.380147633900336,44.0,-6.514518579915204,47.0,-4.737951481968121
19,GDGT__80_3.5_log,1.660726069183406,3.1151723115714236,3.0,45.0,-1.9153508882118175,51.0,3.1125299171966763,52.0,3.7849991785653594
20,GDGT__65_1.6_log,-6.16047551379125,1.3954455399262913,3.0,48.0,-7.651509756396138,53.0,-4.8859206618542785,54.0,-5.943996123123336
21,NutLim__t0,-8.881784197001252e-16,3.0820956899368754,2.0,55.0,2.1793707626201946,56.0,-2.1793707626201964,,
22,NutLim__t05,4.003286134291127,0.15024391803836842,3.0,57.0,4.159821975848966,58.0,3.860244510218708,59.0,3.989791916805708
23,NutLim__t1,7.275865249924223,1.0391618997280627,3.0,60.0,7.3640188562904525,61.0,6.1954346653952275,62.0,8.26814222808699
24,NutLim__t15,10.23835685728117,0.4961184078909859,3.0,63.0,9.695959378042359,64.0,10.349908468724637,65.0,10.669202725076513
25,NutLim__t2,11.552621006807827,0.44539424019615975,3.0,66.0,11.409764852413748,67.0,11.196182143749239,68.0,12.0519160242605
26,NutLim__t4,12.647272403870762,2.380038263998181,2.0,69.0,10.96433120791419,70.0,14.330213599827335,,
27,UV_irr__wt0,2.636779683484747e-16,0.28088577403125226,3.0,71.0,0.31394480176611483,72.0,-0.22751185180353106,73.0,-0.08643294996258298
28,UV_irr__wt1,0.9174708397775556,0.47297810860681677,3.0,74.0,0.5391229547232661,75.0,0.7655466298214432,76.0,1.4477429347879576
29,UV_irr__wt2,2.224250549038971,0.15264168413242796,3.0,77.0,2.057691349380208,78.0,2.3574601848342738,79.0,2.25760011290243
30,UV_irr__mut0,1.0431659277203649,0.19690691087503082,3.0,80.0,0.8642974079967611,81.0,1.0110400335872725,82.0,1.254160341577061
31,UV_irr__mut1,1.613731106847298,0.21511509284145167,3.0,83.0,1.3704891139346778,84.0,1.7789353894475992,85.0,1.6917688171596166
32,UV_irr__mut2,2.7869978714368018,0.4324106310112961,3.0,86.0,2.9672785730832856,87.0,3.100098274099583,88.0,2.2936167671275363
33,YtrA__overexpr,-1.2497880355113198,0.4025643525036638,3.0,89.0,-1.5345222991460163,90.0,-1.4256234449173244,91.0,-0.789218362470619
34,YtrA__wt,1.6838382540148207e-15,0.4083548968633777,3.0,92.0,-0.4536996107322137,93.0,0.33807578797978216,94.0,0.1156238227524366
