,stfR
Cr_1,-0.02440184531521806
Cr_2,-0.027310082973736844
Cr_3,-0.027129175000610527
Cr_4,-0.028644916172984394
Cr_5,-0.014081259155403163
Cr_6,-0.006897321536831801
Fe_1,-0.27018123072148964
Fe_2,-0.30911974225360145
Fe_3,-0.29640185711096645
Fe_4,-0.29974504681995834
Fe_5,-0.285537328257359
Fe_6,-0.21174883817807671
Cd_1,0.004550549703294382
Cd_2,0.00427054939815625
Cd_3,0.0077860788203572605
Cd_4,0.010610156028358755
Cd_5,0.006817031973856217
Cd_6,0.008387081971135947
Zn_1,-0.03259205842724169
Zn_2,-0.021408299053044616
Zn_3,0.03627407635358119
Zn_4,0.06258704373913654
Zn_5,0.07702741503228816
Zn_6,0.06439609314438946
Cu_1,-0.009982063701695795
Cu_2,-0.012788693552647029
Cu_3,-0.002222220452623185
Cu_4,0.0039844497926753856
Cu_5,0.013173466701590955
Cu_6,0.009585311624790295
Pb_1,0.0047639618346878645
Pb_2,0.009278014849665023
Pb_3,0.01407296571872717
Pb_4,0.022714196046296542
Pb_5,0.03029271923709032
Pb_6,0.040123495509056896
