,phnQ
Cr_1,0.007579028601983549
Cr_2,0.011779274069197257
Cr_3,0.013960853093999841
Cr_4,0.019543552870196976
Cr_5,0.013718379322404705
Cr_6,0.0132445767132379
Fe_1,-0.008946482975837812
Fe_2,-0.02272081288190926
Fe_3,-0.03734049479600896
Fe_4,-0.049502710441305726
Fe_5,-0.05696879874661755
Fe_6,-0.052480852422675146
Cd_1,0.006350873977368706
Cd_2,0.014420309591120409
Cd_3,0.024572913102616632
Cd_4,0.03030772938894055
Cd_5,0.038099339784532456
Cd_6,0.04523807703289215
Zn_1,-0.007842543139262527
Zn_2,-0.013007870598539324
Zn_3,-0.005085422199640565
Zn_4,0.007621244435320017
Zn_5,0.013887391925782968
Zn_6,0.020202283374184896
Cu_1,0.005253778977454129
Cu_2,0.019231873751203436
Cu_3,0.02013264130108736
Cu_4,0.01700594559290834
Cu_5,0.0172362929478066
Cu_6,0.014908622337914302
Pb_1,0.001775092811250243
Pb_2,0.0026070980219278137
Pb_3,0.0042460347675648494
Pb_4,0.014157503143944416
Pb_5,0.028920436630461142
Pb_6,0.0375410130961384
