,A,RpoE
SRX5694374,-6.7257505842,-3.4047605538
SRX5694375,2.7708201771,-0.0135081873
SRX5694376,0.9893417199000001,-1.5240165113000002
SRX5694377,-6.4914689433,-2.911783799
SRX5694378,0.1424476638,-1.4643139512
SRX5694379,2.3720880137,-1.2041428834
SRX5694380,-1.2206887864,-0.0853737264
SRX5694381,0.4020585,-0.5957579509
SRX5694382,-6.3100341232,-1.6475391669000001
SRX5694383,2.5095645367,-0.4817247214
SRX5694384,-0.3351757405,-0.5163362949
SRX5694385,-4.0391237711,-1.081660284
SRX5694386,-4.185368738,-3.1798542207000002
SRX5694387,-0.8631092793,-0.8769197157
SRX5694388,-1.1985539487,-1.1221134858
SRX5694389,1.4415796686,-1.3237986712
SRX5694390,1.2183131893999999,-0.6208799152000001
SRX5694391,-0.2984266041,-0.4433196426
SRX5694392,1.6612035415,-0.3402961297
SRX5694393,0.2729836463,-0.1715961746
SRX5694394,0.6955006948,-0.47998920970000003
SRX5694395,-2.580406155,-1.4299471326
SRX5694396,-2.8470673034000002,-1.4156759674
SRX5694397,-1.3188900825,-1.6150660898
SRX5694398,-3.1140821122,-1.9733985061000001
SRX5694399,-0.5167119797,-0.4207495197
SRX5694400,0.3496218532,-0.8733227142000001
SRX5694401,-0.8441217029,-0.2338398422
SRX5694402,-4.7356490687,-3.1474604847
SRX5694403,0.9998030164,-0.7681276066
SRX5694404,1.8602991592,-0.6635390649
SRX5694405,-5.6131538694,-1.5074343455
SRX5694406,-3.8801240861,-1.8762653272
SRX5694407,0.46697907930000004,-0.7870437302000001
SRX5694408,0.5632073486,-0.8205668932
SRX5694409,-4.2332693831,-1.7100556229000001
SRX5694410,0.1075063841,-1.8289858331
SRX5694411,-1.4791424072,-1.8856226961
SRX5694412,-2.1752769694,-1.9422571403000002
SRX5694413,-3.0788715974,-1.3528620706
SRX5694414,0.6051125522,-0.6092670313
SRX5694415,-0.18891647250000002,-0.851928039
SRX5694416,-0.1800001329,-0.0094808164
SRX5694417,-5.5251778212,-1.8784494853
SRX5694418,-2.7649820306,-2.0881292754
SRX5694419,-4.1777884156,-1.7279531652
SRX5694420,2.9905816044,0.4113938728
SRX5694421,-1.8568538446,-0.9996962297
SRX5694422,-1.9865161682,-0.7949376887
SRX5694423,2.0739469423,-0.0809417261
SRX5694424,1.6028808146,-1.0912533362
SRX5694425,-0.6509213132,-1.1950727823
SRX5694426,4.9708312139,0.4376024396
SRX5694427,0.9367839706000001,-0.4701831812
SRX5694428,-1.8237678382,-0.7943275385
SRX5694429,-0.7807728043000001,-1.9638062754
SRX5694430,0.6418696994,-0.4352815168
SRX5694431,-4.4590541793,-0.9938413748
SRX5694432,0.6495322527,-1.4119986892
SRX5694433,-3.8936932951000003,-1.1306580771
SRX5694434,-2.0073403233,-0.5443687377
SRX5694435,-4.7845267474,-2.6351674702
SRX5694436,-4.298861636,-2.0014729537
SRX5694437,-0.2705874394,-0.1881322959
SRX5694438,-0.5120074771,-0.7798180880000001
SRX5694439,-5.5426279308,-2.1158757338
SRX5694440,-0.1861001972,-0.5623696129
SRX5694441,-1.4566091512,-0.28938505200000003
SRX5694442,-1.3472261095,-1.1369173249
SRX5694443,1.3886162613,-0.28118282910000003
SRX5694444,2.0722448353,-0.6093707649
SRX5694445,-3.3220057825,-1.2690199151
SRX5694446,-1.9520701507,-1.3142503556
SRX5694447,1.8038866026,-1.4416175887
SRX5694448,3.5880814403,-0.7852205830000001
SRX5694449,1.8562510869,-0.4011793751
SRX5694450,0.9371558368,-1.9880720615
SRX5694451,1.6209338963,-0.6559708
SRX5694452,-2.4776155555,-1.652652448
SRX5694453,-1.2143698008000001,-1.3584289146000001
SRX5694454,-0.4544229054,-0.510474058
SRX5694455,-4.4085346635,-1.9362351328
SRX5694456,0.9079589921000001,-0.6702342079
SRX5694457,0.1475510414,-0.0885864136
SRX5694459,0.0515001579,-0.6340198127000001
SRX5694460,-6.8688678709,-4.0186994921
SRX5694461,0.1793861135,-1.245356504
SRX5694462,-3.0822962749,-2.5780456665
SRX5694463,0.9951863742,-0.7069115883
SRX5694464,-0.7921094389000001,-1.342857784
SRX5694465,2.6996822160000002,-0.44160952280000004
SRX5694466,-0.22324987570000002,-0.09960061790000001
