,A,CsgD,FliZ,RpoS,CpxR,BtsR
R2,,0.1412998077651768,0.078467581840853,0.02754163856412073,0.004943543546317319,0.0032040086882041408
xmin,,-6.009046678,-7.7701512291,-8.919357295,-8.11516967,-4.8343927655000005
xmid,,-3.2077233960136993,-2.176169448176968,3.0516931501891107,-1.0135892090185838,
xmax,,4.8901811673,7.4908694885,4.1241387708,2.3778217705999998,2.4500527738
ystart,,-1.6012796822397288,0.3153448635990077,-0.36463333168912015,-0.5668156390245015,0.24648559665181224
yend,,2.0514871550267,-2.119566243172627,8.476417752281083,0.2670949632955496,-0.6624581545264596
SRX1125282,0.6978621669,0.0036177747,-0.43579520190000004,0.12389400360000001,0.0371924006,0.0700516098
SRX1125283,-0.49522179580000003,0.2645701079,-0.5382080575,0.0917269352,-0.1167177905,-0.4788101328
SRX1125284,-0.3361665246,-0.38219790130000003,-0.4823932846,0.2668871882,-0.029000962,-0.1061334994
SRX1125285,0.1324657926,-0.050566325,-0.16600564140000001,0.6346371772,0.0848096896,-0.8075155593000001
SRX1125286,0.0667424018,0.1646331933,-0.10728578300000001,0.7311205703,-0.0884970087,-1.1793496353
SRX1125287,-0.2053817474,-0.5030838703,-0.5209684572000001,0.047843636,-0.2513995396,-1.6697651891
SRX1125288,0.8162173851000001,0.3720119215,0.045775212100000004,-0.011411859,0.0815287471,-0.0465302806
SRX1125289,-0.3657694637,0.009007590900000001,-0.5175268041000001,0.1487334191,0.07859198910000001,-0.5814563656
SRX1125290,0.123339101,0.27563954900000004,-0.36882859300000004,0.5719214457,0.0571983363,-0.2892000186
SRX1125291,-0.1190791067,0.2717081946,-0.1727245725,0.7703039475,0.0092045323,-1.1896768338
SRX1125292,-0.3661336297,0.4618697452,-0.2567759103,0.9491057834000001,-0.0070013234,-1.4589730563
SRX1125293,0.7931122923,1.2327634552,-0.7357566647,0.7949646441,-0.12278870160000001,-0.6791735209
SRX1125294,-1.514079552,-0.37562969620000003,0.3900199898,-0.1124821446,-0.11872114760000001,-0.0235213292
SRX1125295,0.5848732337,0.2024676498,0.6252236095,0.0485519624,-0.2152456738,-0.0418974086
SRX1125296,0.2143219311,0.1759879541,0.5601646057,0.2451175693,-0.1562458411,-0.1334661852
SRX1125297,0.5204971145,0.1541861963,0.9582005801000001,0.5595453177,-0.26473731030000003,-0.5792603294
SRX1125298,-0.0507701718,0.5315456418,0.5336201420000001,1.0364768899,-0.0212701091,-0.8632638662000001
SRX1125299,-0.1568500791,0.8214591691,0.18726486850000001,0.7744984592,-0.067659326,-1.0277746399
SRX5694250,0.1898408494,-3.8035863592,1.0998712491,-0.6575883396000001,0.3803231496,1.1952098580000001
SRX5694251,-2.3295033049000002,-0.7166257097000001,-0.9365060833000001,-0.41439528130000003,0.1729381065,-0.7211615586
SRX5694252,-1.0224660644,-1.7839696729,0.33206465820000003,-1.5267586985000001,0.2486438929,-1.5473121841
SRX5694253,-1.8290625522,0.5660622276,0.2775806115,0.013532579400000001,0.6349426454,0.1713420471
SRX5694254,0.382613865,1.1056009732,-1.0805716956,-0.4507050045,0.0818792874,0.7431397091
SRX5694255,2.3937255787,-3.8035863592,-1.0142291483,-1.3699185348,-0.9578921612,-4.3030955613
SRX5694256,0.1517634538,-0.8583243878,-0.1238042664,0.0290375594,0.2709099318,1.2199280589
SRX5694257,-1.3759890971,0.10108170200000001,0.3529432879,-0.18024768900000002,0.4084372189,-0.0062496777
SRX5694258,-0.6160913161,0.7110959760000001,0.41633740340000003,-0.34416743510000003,0.5030222702,0.4137857106
SRX5694259,1.9363282603,0.5695138550000001,-2.0176901103,-0.4766743304,-1.5241682389,-0.6151323395
SRX5694260,-1.7111917579,0.0055247115000000005,-0.1070576275,0.2482267076,0.2734839572,0.5525335939
SRX5694261,0.8022957716,-3.8035863592,-1.5965448491,0.022944085000000003,0.5972433948,-0.0287521611
SRX5694262,3.0079473014,-3.8035863592,0.0879048102,-1.1664088354,0.2530840492,0.2156652739
SRX5694263,-0.1327426627,-0.9338011531,0.4449621881,0.2455560166,0.22629311430000001,0.6582709825
SRX5694264,0.41084519740000003,-0.7812399146,-0.0508016138,-0.7270261651000001,0.7164461946,-1.2749038909000001
SRX5694265,0.062074902,-0.7979231229,-0.1496204877,0.1246632279,0.0350990969,0.5871246601
SRX5694267,0.0812001919,0.3805908327,0.1473289956,0.17891339180000002,0.5174468618,-0.030457027900000003
SRX5694268,-0.3798644171,-0.9281653360000001,0.09207659160000001,0.8690290136000001,0.2399229565,0.12663486570000002
SRX5694269,0.8828121288,-0.32518759,0.1460819966,0.1019266675,0.4463179412,0.29195646000000003
SRX5694271,0.7094423294000001,-0.048975996300000005,0.3555818577,-0.159521414,-0.014249184100000001,0.5485380068
SRX5694273,1.2396565462,-1.5763571868000001,-0.5201763776,-0.7117395496000001,-0.6917129164,-0.1274922738
SRX5694274,-0.6236271507000001,-0.42855633120000003,-0.3176717726,0.2200444192,-0.0688117843,0.1774086152
SRX5694275,-1.9233781286,-1.9333589897999999,-0.5647734192,-0.24488367700000002,0.1167443107,0.0339749476
SRX5694276,0.5907241257,0.0565813649,-1.1278609141,-0.6076757834000001,-0.42171916940000004,0.1549543023
SRX5694277,0.1820379242,-0.9728672207000001,0.23303915960000002,0.4192586639,0.5817872295000001,0.6214450547
SRX5694278,-1.5779955384000002,-0.60952588,-0.0072231261,0.3345453216,-0.37442498960000004,0.8466819384000001
SRX5694279,-1.8348289001,-0.0118639398,0.3273532034,0.9291638342,-0.2529812531,0.5239453842
SRX5694280,0.6395090297,-2.7944500845,-0.2306742386,0.6945469896,0.26287335230000003,0.0352397448
SRX5694281,-1.901041292,-0.6859801606,0.17316698690000001,0.7728686116,0.1288200247,0.3399925689
SRX5694282,2.1808536729,-1.4822714105,-2.6751714517,1.381880559,0.36938965770000004,-0.3436333836
SRX5694283,-0.7463470771,-1.5524666292,-0.2608043259,0.8471900986,0.5161979748000001,0.0688359942
SRX5694284,-0.5236759511,-2.4677417141,-1.8003606527,0.9445992575000001,0.5498769937,0.2007547174
SRX5694285,-2.0260284833,-1.4908646234,0.16048060050000001,-0.101510944,0.37430656700000003,0.25186020600000003
SRX5694286,0.0974070249,-2.1499572104,-0.1438582707,-0.39254390580000004,0.1344609497,-0.2193961465
SRX5694287,-0.2911192024,-0.7610449290000001,-0.6630811163,1.6641543512,0.8879458575,0.0640592072
SRX5694288,0.19747741870000002,-0.0943918608,-0.31521110900000004,-0.6444778476,0.2342612036,-0.08896052530000001
SRX5694289,0.1088881373,-0.35097127170000003,-0.1951486474,-0.28779240840000003,0.3336056999,0.3796666597
SRX5694290,-0.8087269612,-0.4406242094,-0.1328305091,-0.6870264622000001,0.6850361314,-0.3585003469
SRX5694291,2.7360864634,-1.6884157783,-1.1042332969,-1.3007259393,-0.8274027535,-1.9195215619
