,yhaJ
Cr_1,-0.01110017520099244
Cr_2,-0.016221211778686278
Cr_3,-0.010938857931110288
Cr_4,-0.009233105410761505
Cr_5,-0.008605621928677691
Cr_6,-0.010733131720130748
Fe_1,-0.017032136347708258
Fe_2,-0.03570345179616242
Fe_3,-0.04817954043071927
Fe_4,-0.05803626264163665
Fe_5,-0.0590723602383674
Fe_6,-0.05479007087490993
Cd_1,0.00028482742883501137
Cd_2,0.008465709819737694
Cd_3,0.021755715230089692
Cd_4,0.02786332147071066
Cd_5,0.03962511678482256
Cd_6,0.05003510143189978
Zn_1,-0.02657072104947588
Zn_2,-0.04044380287282495
Zn_3,-0.03674707692199028
Zn_4,-0.0333244116347765
Zn_5,-0.028784191068851293
Zn_6,-0.03463300345214381
Cu_1,0.008641999959561594
Cu_2,0.021834017281349927
Cu_3,0.03978569939004262
Cu_4,0.061148280503347266
Cu_5,0.0686727665598498
Cu_6,0.08364508763629687
Pb_1,0.0027088743152320024
Pb_2,0.00845915945828134
Pb_3,0.012421189293435364
Pb_4,0.01987932585675857
Pb_5,0.027734376463687697
Pb_6,0.03660206200723052
