,ydgR
Cr_1,0.0022367499418116878
Cr_2,0.00669149848030331
Cr_3,0.0059987975986221095
Cr_4,0.001678422369158899
Cr_5,-0.005308343282610499
Cr_6,-0.013673480290846215
Fe_1,-0.007245775742435115
Fe_2,-0.026512464389897517
Fe_3,-0.04256286518912024
Fe_4,-0.06925359837831488
Fe_5,-0.08265198016532592
Fe_6,-0.09079279661916616
Cd_1,-0.0027229465680960337
Cd_2,-0.007893344981395834
Cd_3,-0.011299775952852687
Cd_4,-0.008584509610782462
Cd_5,-0.010374157895515948
Cd_6,-0.010714157620924777
Zn_1,-0.002458842722053954
Zn_2,0.0010357626461553482
Zn_3,0.002467348703649552
Zn_4,0.003253080200281298
Zn_5,0.00247449134270054
Zn_6,0.011394107382643216
Cu_1,-0.004286367247630143
Cu_2,-0.00510859730969401
Cu_3,-0.007443000300889755
Cu_4,-0.00941373117676753
Cu_5,-0.009941184569619423
Cu_6,-0.009094715072354162
Pb_1,-0.0012288187572752813
Pb_2,0.0056354019509336295
Pb_3,0.009285202743478329
Pb_4,0.013792420760956305
Pb_5,0.012271735799639687
Pb_6,0.007964904006903126
