,ahpC
Cr_1,-0.023295415489931123
Cr_2,-0.04078291940805487
Cr_3,-0.06012616220115982
Cr_4,-0.07056724823431901
Cr_5,-0.07080155470439897
Cr_6,-0.06336328859225042
Fe_1,0.0011251761125161096
Fe_2,-0.009459839504734295
Fe_3,-0.01481399941693794
Fe_4,-0.025038673234059342
Fe_5,-0.031625827915921716
Fe_6,-0.04391841694026186
Cd_1,0.008786727793378671
Cd_2,0.016291320637023602
Cd_3,0.01865220994460624
Cd_4,0.02212986692145686
Cd_5,0.02104685830821195
Cd_6,0.025059731634723338
Zn_1,-0.035227092336818915
Zn_2,-0.09099225694306226
Zn_3,-0.08504739809473473
Zn_4,-0.0712831765540875
Zn_5,-0.06380161992575073
Zn_6,-0.05675892546657089
Cu_1,0.008022316322564005
Cu_2,0.01337949272916208
Cu_3,0.015729922115889156
Cu_4,0.01910794986829872
Cu_5,0.025521278405498147
Cu_6,0.02543781763041001
Pb_1,0.005792489011247371
Pb_2,0.011590971875562937
Pb_3,0.009788788615637794
Pb_4,0.00734048178120757
Pb_5,0.005909363265953438
Pb_6,0.0068896226678847325
