,mutY
Cr_1,-0.0034046804981476787
Cr_2,-0.00684284880001179
Cr_3,-0.005563453499869218
Cr_4,0.003353126553135739
Cr_5,0.011200625948756884
Cr_6,0.01471983112334004
Fe_1,-0.019626816022211696
Fe_2,-0.021962909752922127
Fe_3,-0.011885199454498795
Fe_4,-0.007218577638075986
Fe_5,0.007092294422116969
Fe_6,0.01959957127505154
Cd_1,0.0035504622809654483
Cd_2,0.013092719224601023
Cd_3,0.02068553346258781
Cd_4,0.02798276966348328
Cd_5,0.032531074983089554
Cd_6,0.03739392210512055
Zn_1,-0.12738543944237604
Zn_2,-0.2332461728210385
Zn_3,-0.2993090203176704
Zn_4,0.002146584458270991
Zn_5,-0.01396026449128279
Zn_6,-0.05571060566182566
Cu_1,0.004904528722188453
Cu_2,0.007813213370049357
Cu_3,0.010245680572367695
Cu_4,0.017011173195069042
Cu_5,0.02300212011410741
Cu_6,0.02449406869187776
Pb_1,0.007595973517644777
Pb_2,0.01947804522031025
Pb_3,0.03156310328801918
Pb_4,0.042966199204098714
Pb_5,0.04632705328857805
Pb_6,0.04819332987248148
