,-0.08721867856705681,-0.07268223213921401,-0.05814578571137122,-0.04360933928352842,-0.029072892855685623,-0.014536446427842825,-2.7755575615628914e-17,0.01453644642784277,0.029072892855685567,0.043609339283528364,0.05814578571137116,0.07268223213921396,0.08721867856705676,0.10175512499489955,0.11629157142274235,0.13082801785058515,0.14536446427842795,0.15990091070627074,0.17443735713411354,0.18897380356195634
thresh,-0.07995045535313541,0.07995045535313541,1,,,,,,,,,,,,,,,,,
unreg,3,5,9,20,115,837,2046,678,108,41,13,9,4,2,2,0,1,2,0,0
unreg_genes,['ABUW_1663' 'ABUW_1276' 'ABUW_3700'],[],[],[],[],[],[],[],[],[],[],[],['glnA' 'ureC' 'ABUW_3010' 'ureB'],['ABUW_0131' 'ABUW_2430'],['hisJ' 'nasT'],[],['ABUW_1701'],['ureD' 'ABUW_0831'],[],[]
