locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FruR,link
BSU_14390,0.34857284600000005,fruK,fructose-1-phosphate kinase,Carbohydrate transport and metabolism,fruR->fruA,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14390
BSU_14400,0.338654856,fruA,"fructose-specific [[category|SW 1.2.2|PTS]], EIIABC",Carbohydrate transport and metabolism,fruR->fruA,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14400
new_1507447_1507538,0.336383225,S522,5'UTR of fruR,No COG category,,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1507447_1507538
BSU_14380,0.333186798,fruR,transcription repressor,Transcription,fruR->fruA,FruR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14380
