,A,FruR
R2,,0.5430512685790132
xmin,,-2.7056666666666658
xmid,,
xmax,,4.515633333333334
ystart,,-3.25285645068661
yend,,13.548092346091543
LBexp_1,0.6999225762,-1.8306666666666658
LBexp_2,0.4227153021,-1.7113666666666667
LBexp_3,2.0253314136,-1.5777666666666672
LBtran_1,2.4561094727,-0.39656666666666673
LBtran_2,3.3795830183,-1.1615666666666673
LBtran_3,4.0912327811,-1.4099666666666675
LBstat_1,2.6586256049,-1.2068666666666665
LBstat_2,4.5877708434,-0.1278666666666659
LBstat_3,5.0329419668,-0.4134666666666664
LBGexp_1,4.8379532453,0.14983333333333348
LBGexp_2,3.0560223299000002,-0.6682666666666659
LBGexp_3,6.4110839785,0.004533333333332834
LBGtran_2,5.5125472457,0.3945333333333334
LBGtran_3,3.4195898912000002,0.40243333333333275
LBGstat_1,9.1906691333,1.1867333333333328
LBGstat_2,8.4196289928,1.461033333333333
LBGstat_3,6.1425098407,0.2612333333333332
S0_1,5.8489551504,1.8976333333333333
S0_2,5.8205267509,2.0887333333333338
S0_3,5.8981358679,2.2882333333333342
S1_1,0.9773549308,0.25693333333333257
S1_2,1.4938046148000002,0.1393333333333331
S1_3,0.048806067200000004,0.359633333333333
S2_1,2.5634419446,-0.6484666666666659
S2_2,3.4683398908,-0.6264666666666674
S2_3,5.0241217202,-0.4539666666666662
S3_1,5.5494825624,0.3054333333333332
S3_2,4.772807291,0.007233333333333647
S4_1,9.1244779777,1.3427333333333333
S4_2,12.4420002028,1.0667333333333335
S4_3,11.670599374,0.675933333333333
S5_1,10.6246874288,1.1751333333333331
S5_2,10.4365753887,1.4275333333333329
S5_3,9.8028567224,1.5329333333333341
S6_1,13.7116187721,0.5028333333333332
S6_2,11.816140189,0.18653333333333322
S6_3,11.3691858574,0.5662333333333329
S6/t_1,12.5915230851,0.09843333333333248
S6/t_2,11.3729393154,-0.6800666666666668
S6_4,10.2678749074,-0.20166666666666622
S6_5,10.5078143029,0.16033333333333388
S6_6,11.276075024,0.354633333333334
S7_4,9.6367557941,0.32303333333333306
S7_5,10.5276608677,0.35313333333333397
S7_6,10.2851005017,0.4988333333333337
S8_4,9.4936749917,-0.4209666666666667
S8_5,9.3661332592,0.0671333333333326
G135_1,16.3725719192,3.596333333333334
G135_3,14.8412461688,2.063933333333333
G150_1,11.7675383147,2.0081333333333333
G150_2,16.9206555376,4.007833333333334
G150_3,10.6055726327,1.3694333333333333
G180_1,16.1069032276,4.273533333333333
G180_2,17.2659045404,4.515633333333334
G180_3,15.6911151732,3.1982333333333326
C30_1,12.5621273132,3.2001333333333335
C30_2,13.0653159112,3.4246333333333325
C90_1,-2.9887897002,-2.2850666666666672
C90_2,-4.3424946808,-2.2342666666666666
BI_1,6.9057999363,1.993333333333334
BI_2,8.4508672904,2.203733333333334
BC_2,2.606260631,0.24363333333333337
BC/t_1,3.7120699004,-0.6165666666666674
BC/t_2,3.2897684779,-0.15616666666666745
BC_1,4.0570935387,-0.3756666666666675
Sw_1,6.845194837,0.1937333333333342
Sw_2,5.026966878,0.18213333333333281
BT_1,8.859438171,0.8326333333333338
BT_2,8.5853264883,0.17513333333333314
B36_1,7.0273670522,-0.7783666666666669
B36_2,5.9746476931,-1.244466666666666
B60_1,7.1596317278,0.3682333333333325
B60_2,3.7449704418,-0.08866666666666667
M9exp_1,0.36231934260000004,0.1418333333333326
M9exp_2,0.2703595908,0.012133333333332885
M9exp_3,-0.6326789334,-0.15396666666666725
M9tran_1,-1.4452325432,-0.17296666666666738
M9tran_2,-0.8556659195,-0.18036666666666612
M9tran_3,-1.285179259,-0.4149666666666665
M9stat_1,8.4662496472,-0.5874666666666659
M9stat_2,10.753224771,0.6777333333333342
M9stat_3,10.7406242977,0.5257333333333332
M+G_1,1.5083315196,0.17383333333333262
M+G_2,-0.6021823429000001,-0.1828666666666674
M+G_3,0.12726475980000002,-0.21216666666666661
Glu_1,-0.9398353863000001,0.06383333333333319
Glu_2,-0.2824527904,-0.12516666666666687
Glu_3,-0.2116704556,0.13383333333333347
Fru_1,6.5601393321,4.324633333333333
Fru_2,7.2907480167,4.357733333333334
Fru_3,6.6671050312,3.759333333333334
Mal_1,2.4611922101,-0.09916666666666707
Mal_2,0.3463914235,-0.3329666666666675
Mal_3,1.4864089306000001,0.5377333333333336
G+S_2,3.2048263822,-0.8341666666666665
G+S_3,2.9421441953,-0.21666666666666679
Pyr_1,2.3874186644,-1.139266666666666
Pyr_2,2.9885839784,-0.8093666666666675
Pyr_3,2.4588040541,-0.8759666666666668
Gly_1,3.3723394479,0.1962333333333337
Gly_2,4.0667660567,0.3243333333333336
Gly_3,4.4529664284,-0.46426666666666705
Glucon_1,0.0909587562,-0.9309666666666665
Glucon_2,-0.1509469552,-0.46766666666666623
Glucon_3,0.0436352496,-1.0700666666666674
aero_1,2.2931121626,0.560433333333334
aero_2,2.620559226,-0.6632666666666669
aero_3,3.4217344313,0.2217333333333329
nit_1,2.0033036289,-0.8939666666666675
nit_2,0.4476061811,-0.6230666666666664
nit_3,0.2922982851,-0.777566666666667
ferm_1,0.14991875200000002,-0.6330666666666662
ferm_2,-1.3785283861,-1.160166666666667
ferm_3,0.3279918249,-0.509266666666667
T-5.40H_1,-3.2408566806,-1.6874666666666673
T-4.40H_1,-2.8459867051,-1.1214666666666666
T-3.40H_1,-1.9907677626,-0.7228666666666665
T-2.40H_1,-1.6804256496,-0.5830666666666673
T-1.40H_1,-1.0482116704,-0.38816666666666677
T-1.10H_1,-0.4558980435,0.033333333333333215
T-0.40H_1,0.5529993772,-0.2426666666666666
T0.0H_1,1.1676162828,0.6871333333333336
T0.30H_1,8.8913815945,2.1849333333333334
T1.0H_1,4.11854899,0.6799333333333326
T1.30H_1,4.2479693961,0.0516333333333332
T2.0H_1,2.8464872783,-0.4704666666666668
T2.30H_1,2.480309556,-0.3220666666666663
T3.0H_1,2.505939939,-1.0309666666666661
T3.30H_1,3.2361833849,-0.8752666666666666
T4.0H_1,3.9682740344000003,-0.7965666666666671
T5.0H_1,5.1249439266,-1.1196666666666673
HPh_1,8.809653975,4.065633333333334
HPh_2,9.1736089354,3.785033333333333
HPh_3,9.6026072104,3.7611333333333334
LPh_1,9.6019276848,3.9543333333333326
LPh_2,9.8698166276,4.418033333333334
LPh_3,9.829248035900001,4.136333333333333
LPhT_1,13.8645803813,3.444933333333333
LPhT_2,13.8340297179,3.4037333333333333
LPhT_3,14.4040626096,3.9322333333333326
SMMPr_1,-2.2462535524,-1.1001666666666665
SMMPr_2,-0.3426133484,-0.699066666666667
SMMPr_3,0.43841473750000004,-0.4190666666666658
HiTm_1,5.138979762,1.3698333333333341
HiTm_2,1.8382470519,-0.3679666666666659
HiTm_3,0.4179064979,-0.8803666666666672
LoTm_1,-1.6756486066,-1.054266666666667
LoTm_2,-0.8877071353,-1.314566666666666
LoTm_3,-0.9320062825000001,-1.136966666666666
HiOs_1,-3.6779803069,-0.8071666666666673
HiOs_2,-2.8556987493,-1.283666666666667
HiOs_3,-3.0968787193,-0.9122666666666674
BMM_1,-2.7004529758,-0.9892666666666674
BMM_2,-3.0593436893,-1.2079666666666675
BMM_3,-3.2004202025,-1.482966666666666
Heat_1,2.6994693508000003,0.19493333333333318
Heat_2,2.4212074462,-0.23226666666666596
Heat_3,2.5923667204000003,-0.1978666666666662
Cold_1,-2.2380605401,-0.8252666666666659
Cold_2,-2.023022425,-1.5124666666666666
Cold_3,-2.2697920956,-1.8740666666666659
Etha_1,4.4488302618,-1.2247666666666674
Etha_2,4.9348994382,-0.911366666666666
Etha_3,4.4909713272000005,-0.8489666666666658
SMM_1,-3.8362687474,-1.5381666666666671
SMM_2,-3.2727238324,-1.8201666666666672
SMM_3,-3.7794659,-2.1173666666666673
Salt_1,0.8356325838,-1.1693666666666669
Salt_2,0.6671664328,-1.8149666666666668
Salt_3,0.8534505281,-1.123266666666666
Mt0_1,0.9362007241,-1.9862666666666673
Mt0_3,1.9130744584000001,-1.0494666666666674
M0t45_1,1.8262950924,-1.4811666666666667
M0t45_2,1.353658488,-1.1709666666666667
M0t45_3,1.5706680286,-1.0989666666666658
M0t90_1,2.7256154076,-0.9019666666666666
M0t90_2,2.8783398837,0.24003333333333288
M0t90_3,2.3020991871,-0.4102666666666668
M40t45_1,2.6715157238,-1.0289666666666673
M40t45_2,4.967585249,-0.710166666666666
M40t45_3,0.692920665,-1.135466666666666
M40t90_1,2.69961851,-0.8165666666666667
M40t90_2,3.2947545283,0.08743333333333325
M40t90_3,3.1736304609,0.19193333333333307
dia0_1,1.5998420294,-1.9389666666666674
dia0_2,0.5822594178,-1.721566666666666
dia0_3,2.1344359583,-1.396866666666666
dia5_1,1.1328759883,-1.7355666666666671
dia5_2,-0.3588507684,-2.2679666666666662
dia5_3,-0.5539385009000001,-2.255066666666666
dia15_1,-0.3014137921,-2.1421666666666663
dia15_2,-0.7068484173,-2.593466666666666
dia15_3,-1.6051912196,-2.7056666666666658
Diami_1,1.9701460523,-2.2095666666666673
Diami_2,0.10315654070000001,-1.9686666666666675
Diami_3,1.4907946933,-1.5743666666666662
Paraq_1,3.2967827972,-1.2402666666666669
Paraq_2,2.0614334792,-0.9304666666666659
Paraq_3,1.5764243153000002,-1.9364666666666661
H2O2_1,0.6278295159,-1.260766666666667
H2O2_2,0.47811047760000003,-1.003966666666667
H2O2_3,1.2889885525,-1.351166666666666
Oxctl_1,2.5363077516,-0.987166666666667
Oxctl_2,1.3455975069,-1.3149666666666668
Oxctl_3,1.7257019047000002,-0.8109666666666673
GM-0.1_1,-3.7184703554,-1.0855666666666668
GM-0.2_1,-3.9291036282,-1.029866666666667
GM+5_1,-3.6891263704,-0.8927666666666667
GM+15_1,-3.0626277654,-0.6923666666666666
GM+25_1,-0.17762106260000002,-0.22156666666666602
GM+45_1,-1.4241575321,-0.2578666666666667
GM+60_1,-0.8505437298,-0.20936666666666603
GM+90_1,-2.3591361365,0.19563333333333333
GM+120_1,-2.4202749878,-0.6490666666666662
GM+150_1,-1.0117060183,-0.438366666666667
GM-0.1_2,-1.6612442993,-0.7837666666666667
GM-0.2_2,-2.087851369,-0.635766666666667
GM+5_2,-3.726536648,-0.7735666666666674
GM+10_2,-3.9428997342,-0.8375666666666675
GM+15_2,-2.8280604982,-0.8073666666666668
GM+25_2,-0.7043005267,-0.7966666666666669
GM+45_2,-0.9609776431,-0.9745666666666661
GM+60_2,-1.0007311959,-0.8944666666666663
GM+90_2,-0.2075695502,-0.2725666666666662
GM+150_2,-0.8499258902,-0.5875666666666675
GM-0.1_3,-2.0553380483,-0.776466666666666
GM-0.2_3,-1.2822059572,-0.9625666666666675
GM+5_3,-2.6072278511,-0.874366666666667
GM+10_3,-2.607718133,-1.5551666666666666
GM+15_3,-2.6320483118,-0.983766666666666
GM+25_3,-1.2088464777,-0.9430666666666667
GM+45_3,-1.2668463901,-1.0646666666666675
GM+60_3,-0.37774559500000005,-0.8769666666666662
GM+90_3,-0.9315571810000001,-0.0772666666666666
GM+120_3,-0.124565011,-0.13106666666666733
GM+150_3,-0.9189825553000001,-0.33396666666666697
MG-0.1_1,0.1301981134,0.15693333333333293
MG+5_1,6.7941320732,3.7169333333333334
MG+10_1,8.8968172362,3.701433333333334
MG+15_1,5.6095462094,1.6589333333333336
MG+25_1,-2.2158622485,-2.110666666666667
MG+45_1,-6.1241744042,-2.0909666666666666
MG+120_1,-0.5449619681,-1.2617666666666665
MG+150_1,-1.8752734425000002,-0.6426666666666669
MG-0.1_2,0.45358776570000003,-0.3227666666666664
MG-0.2_2,0.4154001469,0.005233333333332979
MG+5_2,7.8489301605,3.5960333333333327
MG+10_2,8.3617172834,3.5590333333333337
MG+15_2,5.9072586243,3.263133333333334
MG+25_2,-4.2565457306,-2.236066666666666
MG+45_2,-6.6761201384,-2.499066666666666
MG+60_2,-5.1245080576,-1.8279666666666667
MG+90_2,-4.5951817083,-1.8414666666666673
MG+120_2,-1.8984578584,-0.710166666666666
MG-0.1_3,0.8159057023,0.691533333333334
MG-0.2_3,0.9045315141,0.29483333333333306
MG+5_3,9.2412990997,3.5636333333333337
MG+10_3,7.9838886216,3.251033333333334
MG+15_3,4.928972282,2.2592333333333325
MG+25_3,-2.8335376333999998,-1.575266666666666
MG+45_3,-4.088207051,-1.4021666666666661
MG+60_3,-4.3576837472,-1.677366666666666
MG+90_3,-3.8390688515,-1.0293666666666663
MG+120_3,-2.01385558,-0.6200666666666663
MG+150_3,-1.7135402657,-0.774166666666666
