,yejO
Cr_1,0.0011683518487953786
Cr_2,0.0033315700325593322
Cr_3,0.0018656985035447782
Cr_4,0.0014797117858434685
Cr_5,0.000555252601005767
Cr_6,-0.001229911517401459
Fe_1,-0.007931794288986634
Fe_2,-0.03090149311872164
Fe_3,-0.05749450761080235
Fe_4,-0.08775483454248885
Fe_5,-0.11274651962583156
Fe_6,-0.13224320551338836
Cd_1,0.0007072967180162718
Cd_2,0.003808893858524958
Cd_3,0.006669940699519403
Cd_4,0.009365013217299429
Cd_5,0.008168889206730947
Cd_6,0.012916889947108613
Zn_1,-0.008291909692626168
Zn_2,-0.014538205025585412
Zn_3,-0.009260806356520062
Zn_4,0.0019843206719218345
Zn_5,0.013826371228975582
Zn_6,0.02278176597993843
Cu_1,0.00487464212356244
Cu_2,0.01291686192701928
Cu_3,0.02193198438214756
Cu_4,0.028601599543000112
Cu_5,0.03623376594887411
Cu_6,0.04288188844373858
Pb_1,0.009644693722974496
Pb_2,0.021254996777323933
Pb_3,0.03444383909918074
Pb_4,0.04751387109117163
Pb_5,0.06442558694445849
Pb_6,0.08293369056245536
