,-0.04237529308982718,-0.014125097696609062,0.014125097696609058,0.04237529308982718,0.0706254884830453,0.09887568387626341,0.12712587926948155,0.15537607466269965,0.18362627005591778,0.2118764654491359,0.240126660842354,0.2683768562355721,0.2966270516287903,0.3248772470220084,0.3531274424152265,0.38137763780844464,0.40962783320166274,0.43787802859488084,0.466128223988099,0.49437841938131705
thresh,-0.05650039078643624,0.05650039078643624,5,,,,,,,,,,,,,,,,,
unreg,22,2258,1869,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FucR,0,0,0,1,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0
ExuR,0,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AraC,0,3,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AllR,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],['yeiQ' 'aldA'],['yqhD'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
FucR_genes,[],[],[],['fucR'],[],[],[],[],[],['fucU'],[],['fucK' 'fucO'],[],['fucI' 'fucP' 'fucA'],[],[],[],[],[],[]
ExuR_genes,[],['uxuR' 'lgoD'],['lgoR' 'exuR' 'uxuA'],['uxuB'],['exuT'],['uxaA'],['uxaC' 'uxaB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
AraC_genes,[],['xylB' 'ytfT' 'xylA'],['ytfR' 'yjfF' 'ytfQ' 'araJ' 'ydeN' 'ydeM' 'ygeA' 'araC'],['araF' 'araG'],['araH' 'araE' 'araB' 'araD' 'araA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AllR_genes,[],[],[],['glxK' 'allS' 'ybbY'],[],['ybbW' 'hyi' 'allA' 'gcl' 'allB' 'glxR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
