,yfjR
Cr_1,-0.016833763579607475
Cr_2,-0.02269257906820439
Cr_3,-0.029107745146488662
Cr_4,-0.0352087340680181
Cr_5,-0.024567215312989013
Cr_6,-0.013454589297998141
Fe_1,-0.006181068357210278
Fe_2,-0.060241908417740526
Fe_3,0.03535827185173108
Fe_4,0.02957216250081697
Fe_5,0.02743799794964345
Fe_6,0.0018335828018346105
Cd_1,0.013669884312115944
Cd_2,0.02628873343334724
Cd_3,0.04259731438471532
Cd_4,0.0664252629104544
Cd_5,0.0917618368458473
Cd_6,0.11896245422748206
Zn_1,-0.030331276806421118
Zn_2,-0.05672719368576697
Zn_3,-0.07236299159074032
Zn_4,-0.06472434348196159
Zn_5,-0.07520057114282867
Zn_6,-0.07128559682777326
Cu_1,-0.0014788848002043509
Cu_2,0.006153491112788635
Cu_3,0.00849262826948625
Cu_4,0.002295520903548525
Cu_5,-0.0034239542075567967
Cu_6,0.005746164133186524
Pb_1,0.004003679656845275
Pb_2,0.01767550633994713
Pb_3,0.01730840438683985
Pb_4,0.02573704557953001
Pb_5,0.04253940019055946
Pb_6,0.06079009251508264
