,pheS
Cr_1,-0.003747828134006905
Cr_2,-0.003544717920878297
Cr_3,-0.00473277836555065
Cr_4,0.004374877528110401
Cr_5,0.008119522501835607
Cr_6,0.019557454761273442
Fe_1,-0.009447247101179487
Fe_2,-0.017736747690688
Fe_3,-0.014965408888456709
Fe_4,-0.014031667913246872
Fe_5,-0.014563079029546925
Fe_6,-0.013067705760537007
Cd_1,0.004553646384364563
Cd_2,0.0052602068093139075
Cd_3,0.005027579692231229
Cd_4,0.0045780359486133106
Cd_5,0.004650405820020095
Cd_6,0.011888931368631008
Zn_1,-0.0069672347113639895
Zn_2,-0.018134144193022617
Zn_3,-0.022229347923684438
Zn_4,-0.021461478843822858
Zn_5,-0.01820657885711113
Zn_6,-0.01497724553614574
Cu_1,-0.002523215333201171
Cu_2,0.003923704851449022
Cu_3,0.012976451904764073
Cu_4,0.016023542027023278
Cu_5,0.02213673499640209
Cu_6,0.029418698509971662
Pb_1,0.0044746515133598135
Pb_2,0.00894396653169385
Pb_3,0.01896925768098767
Pb_4,0.027769254646009992
Pb_5,0.03870180239899312
Pb_6,0.050882862120538566
