,ybjM
Cr_1,0.0064861823484778855
Cr_2,0.01347979985162137
Cr_3,0.020405786971222827
Cr_4,0.024234770773787797
Cr_5,0.028072932065043608
Cr_6,0.02812357443460425
Fe_1,-0.007613165497940466
Fe_2,-0.015130453636266718
Fe_3,-0.025178837213758642
Fe_4,-0.036478732592132135
Fe_5,-0.04843125591732218
Fe_6,-0.06611589743830255
Cd_1,-0.01076356622980578
Cd_2,-0.013882036808205257
Cd_3,-0.008349820430129905
Cd_4,-0.0023942602126869822
Cd_5,0.0023593855150852105
Cd_6,0.01610158047339301
Zn_1,-0.007362931595986259
Zn_2,-0.014013176802556513
Zn_3,-0.012669183974452665
Zn_4,-0.014076886721291038
Zn_5,-0.002451018384129751
Zn_6,0.004530036987943274
Cu_1,-2.5649676534790217e-05
Cu_2,0.002100639723016719
Cu_3,0.009178390267695373
Cu_4,0.011711821157781127
Cu_5,0.014177938710075198
Cu_6,0.018174617262980888
Pb_1,0.008466879503244781
Pb_2,0.021324967468626343
Pb_3,0.03501092704942038
Pb_4,0.044900636455680994
Pb_5,0.057514486514856376
Pb_6,0.07919296549991152
