,yfdC
Cr_1,-0.005312426838250063
Cr_2,0.0006586203091728137
Cr_3,0.02456148982677064
Cr_4,0.039620743397398316
Cr_5,0.057811667848947625
Cr_6,0.07290200505065128
Fe_1,-0.0073305701981935985
Fe_2,-0.03325919560158084
Fe_3,-0.058743946500934126
Fe_4,-0.09292522873182832
Fe_5,-0.12497182244303914
Fe_6,-0.14534904570068033
Cd_1,-0.008351560533312034
Cd_2,-0.012740622086726685
Cd_3,-0.009436420974365013
Cd_4,-0.008937263944980178
Cd_5,-0.017476154413749202
Cd_6,-0.020947475591726702
Zn_1,-0.007181720982812956
Zn_2,-0.02547840003133196
Zn_3,-0.039707508795166206
Zn_4,-0.050343963492085884
Zn_5,-0.06611759189553337
Zn_6,-0.08379733833432845
Cu_1,0.012120732046637913
Cu_2,0.02187982603465011
Cu_3,0.029106487018705263
Cu_4,0.033973252755244834
Cu_5,0.04305795729403463
Cu_6,0.04273360728342094
Pb_1,0.004476558870179399
Pb_2,0.005595129661801657
Pb_3,0.013425652303105513
Pb_4,0.03002128106332168
Pb_5,0.035687987840971935
Pb_6,0.04267101517052122
