,A,flhD
R2,,0.4169215927822141
xmin,,-5.415813057
xmid,,0.49998653963462214
xmax,,4.760193415353867
ystart,,1.3600744712303001
yend,,16.899185864657337
control__wt_glc__1,0.5815183045232715,-0.12659477299999988
control__wt_glc__2,-0.5815183045232779,0.12659477299999988
fur__wt_dpd__1,3.141269606750525,-1.7674656090000005
fur__wt_dpd__2,3.764473204856665,-1.880887454
fur__wt_fe__1,1.3558937049446989,-0.3019890670000001
fur__wt_fe__2,0.7276760240814077,-0.2768906470000001
fur__delfur_dpd__1,2.6350291517007203,-2.018074196
fur__delfur_dpd__2,2.8412703531524017,-1.910472906
fur__delfur_fe2__1,0.2553065654514506,0.13425278300000001
fur__delfur_fe2__2,0.4644263756438228,0.12133000499999992
acid__wt_ph5__1,2.0317171822087428,-0.7547466570000001
acid__wt_ph5__2,2.45836676336984,-0.7751480549999998
acid__delgadx_ph5__2,2.783476263394945,-0.668438976
acid__delgadw_ph5__1,1.6272640538677188,-1.0576382030000009
acid__delgadw_ph5__2,1.769364192792712,-0.7929399760000004
acid__delgade_ph5__1,1.8976055424665657,-0.6756536369999999
acid__delgade_ph5__2,1.7270094038753072,-0.8510678880000002
oxidative__wt_pq__1,2.7962741782086016,-1.956612878
oxidative__wt_pq__2,2.9289248256733638,-2.4607919120000004
oxidative__deloxyr_pq__1,2.724932859231501,-1.4641797959999994
oxidative__deloxyr_pq__2,3.3814846677908794,-1.8119367659999999
oxidative__delsoxr_pq__1,2.756783961174946,-1.304104916
oxidative__delsoxr_pq__2,3.44558816824433,-1.859776541
oxidative__delsoxs_pq__1,2.673725393927364,-1.9960218930000004
oxidative__delsoxs_pq__2,2.6968430437195248,-1.4033367730000004
nac_ntrc__wt_csn__1,3.467142813680596,-0.9125793890000002
nac_ntrc__wt_csn__2,2.593023799271941,-0.810985992
nac_ntrc__wt_cytd__1,1.1307860507939098,-0.7287301950000007
nac_ntrc__wt_cytd__2,2.203239919396404,-0.8302642440000003
nac_ntrc__wt_gln__1,1.6616838346733185,-0.2876468320000001
nac_ntrc__wt_gln__2,1.9697674094598645,-0.7679582969999998
nac_ntrc__bw_delnac_csn__1,4.51372967560333,-1.114148526
nac_ntrc__bw_delnac_csn__2,4.843909875663985,-1.174369788
nac_ntrc__bw_delnac_cytd__1,1.4512791828542675,0.11322067799999935
nac_ntrc__bw_delnac_cytd__2,1.6824630593060363,-0.3536767890000005
nac_ntrc__bw_delnac_gln__1,1.3745675936556927,-0.24886122599999985
nac_ntrc__bw_delnac_gln__2,1.8785604253471764,-0.2745180480000009
nac_ntrc__bw_delnac_nh4__1,8.149243407416547,1.6157770790000001
nac_ntrc__bw_delnac_nh4__2,7.756275317547773,1.5415462050000004
misc__wt_no_te__1,2.116242751481817,-0.7311294479999999
misc__wt_no_te__2,1.0355155823916469,-0.4457265059999997
misc__bw_delcbl__1,0.3945896272173166,0.2969647240000013
misc__bw_delcbl__2,0.0826347115399775,0.17406689500000014
misc__bw_delfabr__1,9.907178394242267,2.2494222469999983
misc__bw_delfabr__2,10.725888722348136,2.202174337
misc__bw_delfadr__1,3.077879495966304,1.0715016769999997
misc__bw_delfadr__2,2.7054683962769714,1.0911580019999991
misc__nitr_031__1,2.698500694028789,-0.5800470750000004
omics__wt_glu__1,1.592408004627695,-0.15312454399999975
omics__wt_glu__2,0.6890978395251685,-0.2816744260000004
omics__wt_gly__1,0.6588674995449424,-0.2291335850000005
omics__wt_gly__2,1.4911188372341442,-0.049074383000000665
omics__wt_thr__1,3.990335021949341,-0.06289704000000018
omics__wt_thr__2,3.7503600832811066,-0.023168447000000647
omics__bw_ac__1,1.751137053524542,0.7029883919999982
omics__bw_ac__2,2.771453771227959,1.0874968019999995
omics__bw_fum__1,7.033661207995291,0.920113316
omics__bw_fum__2,6.929000790800655,0.8875685149999999
omics__bw_glc__1,2.5641704483844148,0.5099636140000001
omics__bw_glc__2,2.596645294160342,0.1421970959999994
omics__bw_pyr__1,2.6594478979584517,0.7590180769999995
omics__bw_pyr__2,3.204297518210834,0.8888197969999991
ompr__wt_nacl__1,2.8349722488207454,-1.3919260100000006
ompr__wt_nacl__2,2.9987277721803367,-2.051410534
ompr__bw_delompr_nacl__1,3.0887031129027798,-3.261516364
ompr__bw_delompr_nacl__2,2.689101861720447,-2.3032394070000004
minspan__wt_ade__1,-0.0616051322302433,1.4569161609999997
minspan__wt_glc__2,6.3883242085617225,2.057132309
minspan__wt_glc__3,7.4389205511660945,2.2909420619999983
minspan__wt_glc__4,7.756445477605293,2.1427750650000004
minspan__wt_glc_anaero__1,8.44605551816888,2.16048183
minspan__wt_glc_anaero__2,8.30809657612441,1.96922437
minspan__wt_trp__1,4.6620564899414845,2.5137282579999995
minspan__bw_delcra_glc__2,-0.3691528971208137,1.1110177019999998
minspan__bw_delcra_trp__1,-0.4792109478789773,1.534987427
minspan__bw_delmntr__1,12.240413986901974,2.8154572019999997
minspan__bw_delnac_ade__1,1.3137933375791615,1.1797326200000002
minspan__bw_delnac_glc__1,6.76918484710015,1.8793220969999995
cra_crp__wt_ac__1,0.3744874703040318,0.7815852650000004
cra_crp__wt_ac__2,0.4186981984215385,0.5945523029999995
cra_crp__wt_fru__1,1.787814360853954,0.8088303149999998
cra_crp__wt_fru__2,1.7111466510844024,0.8181565150000001
cra_crp__delcra_ac__1,-0.1263797102732734,0.2530906469999996
cra_crp__delcra_ac__2,0.2008319841458011,0.21494110400000024
cra_crp__delcra_fru__1,0.7843986005990277,-0.9661380839999998
cra_crp__delcra_fru__2,1.8676546816668835,-1.0849328870000001
cra_crp__delcra_glc__1,1.0576891642881732,-0.3550025440000004
cra_crp__delcra_glc__2,0.6732017512044653,-0.3514966030000002
rpoB__wt_031__1,-1.3759103719929004,0.5000578759999996
rpoB__wt_044__1,0.8256729518928482,-0.02121068699999995
rpoB__wt_lb__1,-0.6524064677941681,-0.6954500460000004
rpoB__wt_lb__2,-0.5690187434673448,-0.7072591620000006
rpoB__rpoBE546V_031__1,0.1677652878639882,-0.3267359839999999
rpoB__rpoBE546V_044__1,-0.5497907624750442,0.36384229
rpoB__rpoBE546V_lb__1,1.133045376373919,-1.0431331530000003
rpoB__rpoBE546V_lb__2,1.9464541833407452,-0.7622330560000004
rpoB__rpoBE546V_glc__1,1.1790099993302203,-0.2693883370000005
rpoB__rpoBE672K_glc__1,-0.69829258764765,-0.9000763880000004
rpoB__rpoBE672K_glc__2,0.328105118072141,-0.8111437810000002
rpoB__rpoBE672K_lb__1,-0.2623507190370454,-0.7128539580000002
rpoB__rpoBE672K_lb__2,-0.7424676881074584,-0.532445375
crp__wt_fru__1,5.464540927500008,0.8643450150000005
crp__wt_glyc__1,7.346996772583582,1.4569783640000002
crp__wt_glyc__2,7.72499453957148,1.4156585440000002
crp__delar1_glyc__1,1.764404651940184,-2.251953479
crp__delar1_glyc__2,2.8782290854996857,-2.388129284
crp__delar1ar2_glyc__1,1.752371548404346,-1.5615016830000004
crp__delar1ar2_glyc__2,2.257095011493129,-2.0316647820000004
crp__delar1ar2_glyc__3,2.177683516333195,-2.415498399
crp__delar2_glyc__1,4.148571520150603,1.414329865
crp__delar2_glyc__2,4.221458463575464,1.7348431619999998
crp__delar2_glyc__3,4.4634136469108014,1.4801202709999997
crp__delcrp_fru__1,3.464467826661829,-3.297986385
crp__delcrp_fru__2,4.440016265049767,-3.916488529
crp__delcrp_fru__3,4.544968086643505,-2.528279265
crp__delcrp_glc__1,3.753573913041368,-3.493648318
crp__delcrp_glc__2,3.840518475685253,-2.4675263820000004
crp__delcrp_glc__3,4.195428310208156,-2.7227548720000003
crp__delcrp_glyc__1,2.844316782701106,-2.899493084
crp__delcrp_glyc__2,3.4166292727568592,-2.6725856720000003
crp__delcrp_glyc__3,3.172349651881976,-2.082546713
glu__glu_ale3__1,-1.9676567725841825,-0.6529396830000005
glu__glu_ale4__1,5.914157087514491,0.2479504629999996
glu__glu_ale5__1,10.98557304859924,1.4495445179999995
glu__glu_ale6__1,3.953645229346476,0.6574183909999993
glu__glu_ale8__1,1.0789038774352635,0.4605538059999992
glu__glu_ale9__1,-0.454533950525654,-0.5133780369999998
glu__glu_ale10__1,1.618027912188482,-0.7770210650000005
42c__wt_42c__1,0.2850578213958209,0.5328236779999997
42c__42c_ale1__1,9.827345831134354,1.7774252539999995
42c__42c_ale2__1,9.547610326611109,1.753271314
42c__42c_ale3__1,11.014770403874614,2.489506627
42c__42c_ale4__1,3.4983697064612844,0.4414677469999999
42c__42c_ale5__1,10.340592739217712,2.004502254
42c__42c_ale6__1,0.7022188991717774,-0.4325775160000003
42c__42c_ale8__1,-0.1661800322936065,-1.080570669
42c__42c_ale9__1,12.003334095659705,2.361864736
42c__42c_ale10__1,6.594095867107859,0.541456200999999
ssw__wt_ac__1,2.3499290535288138,-0.0831227650000006
ssw__wt_glc__1,5.760430796437727,1.4437490029999998
ssw__wt_glyc__1,0.1500728623332839,1.4585141009999996
ssw__wt_xyl__1,1.7535699974584154,0.2390870329999997
ssw__glc_ale1__1,-1.136213210107485,0.18071463000000065
ssw__glc_ale2__1,0.3447517523822339,-0.8678545320000001
ssw__glc_ale3__1,-0.2215851258686707,-0.43032905200000027
ssw__glyc_ale1__1,-0.5684540918253815,-0.2201762360000004
ssw__glyc_ale2__1,0.2926680633787109,-0.6450267859999999
ssw__xyl_ale1__1,7.176809277699658,1.1217052600000006
ssw__xyl_ale2__1,9.685997145935952,1.807538405
ssw__xyl_ale3__1,1.5970802186976187,-0.8957368609999996
ssw__glc_ac_ac2__1,-2.164011690988674,-1.2143572680000003
ssw__glc_ac_glc1__1,0.9630208580061108,-1.0777653530000002
ssw__glc_glyc_glc__1,-0.8997391538913183,-2.098721109
ssw__glc_glyc_glyc__1,-0.3328033181111648,-1.41856405
ssw__glc_xyl_glc__1,-1.2320530374727536,-0.8073933080000009
ssw__glc_xyl_xyl__1,-1.0022158155606038,0.2455341569999998
ica__wt_glc__1,15.193790468791583,2.4902957430000003
ica__wt_glc__2,14.574320579840592,2.452439383
ica__wt_glc__3,15.234345384589904,1.895192989
