,Value,list
TF,lrp,
reg_genes,200,"['ompC' 'dppC' 'dppF' 'yodC' 'astE' 'ppx' 'mepS' 'yffR' 'lysP' 'aroA'
 'aceA' 'folM' 'astD' 'ilvE' 'yjbQ' 'clsB' 'mqo' 'dppB' 'upp' 'gltB'
 'gltF' 'leuB' 'avtA' 'thrB' 'yjiC' 'dhaK' 'ftsZ' 'gabT' 'tdcF' 'lolE'
 'purN' 'csiD' 'osmC' 'napA' 'thrC' 'napF' 'dppA' 'ydeN' 'argO' 'tdcA'
 'aceB' 'aspA' 'aroG' 'yjeM' 'ecpR' 'aspC' 'htrE' 'ansB' 'dcuB' 'fimA'
 'fimG' 'nagK' 'astB' 'yehL' 'hdeA' 'fimH' 'fadI' 'hdeB' 'gabD' 'napC'
 'tdcE' 'ykgE' 'tyrP' 'ompT' 'yehQ' 'aceK' 'osmY' 'csiE' 'gcvH' 'ftsQ'
 'fadJ' 'yeiL' 'ilvA' 'astA' 'yehM' 'leuA' 'proY' 'lrhA' 'yfcZ' 'mtr'
 'ybgS' 'napB' 'fumB' 'ytfK' 'astC' 'napG' 'ilvM' 'brnQ' 'gcvP' 'artQ'
 'leuD' 'lolC' 'yhiD' 'ilvL' 'artI' 'dppD' 'ribE' 'cycA' 'gcvT' 'thrA'
 'artM' 'ybhP' 'cadA' 'leuC' 'fimF' 'ivbL' 'yceB' 'ilvD' 'fimC' 'serB'
 'uraA' 'gabP' 'serA' 'lolD' 'dhaL' 'yciT' 'fimE' 'pepD' 'tdcD' 'potF'
 'gltD' 'ykgF' 'lrp' 'potH' 'artP' 'tdcB' 'alaA' 'dcuA' 'fimD' 'tdcG'
 'ybjS' 'serC' 'yhhW' 'tyrR' 'napD' 'yojI' 'napH' 'yeeE' 'adhE' 'lhgO'
 'tdcC' 'ftsA' 'potG' 'patA' 'yfcC' 'cadB' 'malT' 'ilvN' 'metK' 'nusB'
 'ybhN' 'ilvB' 'ycaM' 'potI' 'yeeD' 'fau' 'purM' 'radA' 'yehP' 'aidB'
 'yciN' 'uspE' 'fimI' 'ybiJ' 'yhcN' 'ykgG' 'dhaM' 'yqeF']"
comp_genes,37,['yqeG' 'ddlA' 'ydeE' 'ilvC' 'metE']
both_genes,32,"['sstT' 'oppF' 'sdaC' 'eco' 'livJ' 'livF' 'oppC' 'livK' 'leuE' 'sdaA'
 'lysU' 'emrD' 'ilvI' 'stpA' 'oppB' 'dtpB' 'yjbJ' 'livM' 'ydgI' 'ilvH'
 'tdh' 'sdaB' 'alaE' 'yhjE' 'dtpA' 'livG' 'dadA' 'oppD' 'kbl' 'oppA'
 'livH' 'dadX']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,108,
comp_ops,25,
both_ops,20,
