sample,BSU_misc_RNA_32
LBexp_1,13.6851
LBexp_2,13.9139
LBexp_3,13.8483
LBtran_1,14.2596
LBtran_2,14.0534
LBtran_3,14.0347
LBstat_1,14.4127
LBstat_2,14.6674
LBstat_3,14.7392
LBGexp_1,13.6256
LBGexp_2,13.9159
LBGexp_3,14.1104
LBGtran_2,13.5349
LBGtran_3,13.4111
LBGstat_1,14.4546
LBGstat_2,14.1643
LBGstat_3,13.2495
S0_1,14.0689
S0_2,14.1336
S0_3,14.4456
S1_1,14.0172
S1_2,14.3615
S1_3,13.5543
S2_1,13.945
S2_2,13.8457
S2_3,14.1681
S3_1,15.1601
S3_2,14.3047
S4_1,14.7832
S4_2,15.285
S4_3,15.3937
S5_1,15.1437
S5_2,15.028
S5_3,15.3443
S6_1,15.0564
S6_2,13.1854
S6_3,15.1861
S6/t_1,15.1119
S6/t_2,13.2063
S6_4,15.1818
S6_5,15.7852
S6_6,16.1633
S7_4,16.3664
S7_5,15.888
S7_6,15.6737
S8_4,15.4855
S8_5,14.9006
G135_1,11.9058
G135_3,11.0985
G150_1,11.4126
G150_2,12.4972
G150_3,11.2427
G180_1,12.6541
G180_2,13.1725
G180_3,13.1724
C30_1,13.1198
C30_2,13.7748
C90_1,14.3269
C90_2,14.2586
BI_1,14.0769
BI_2,14.2855
BC_2,15.380999999999998
BC/t_1,15.6737
BC/t_2,16.1155
BC_1,15.1063
Sw_1,15.5232
Sw_2,14.9335
BT_1,15.3251
BT_2,15.1047
B36_1,15.8465
B36_2,15.1248
B60_1,15.428
B60_2,15.2711
M9exp_1,13.5552
M9exp_2,13.3118
M9exp_3,13.0728
M9tran_1,13.2191
M9tran_2,12.7081
M9tran_3,13.5115
M9stat_1,13.6808
M9stat_2,13.4509
M9stat_3,13.2163
M+G_1,12.8942
M+G_2,13.2975
M+G_3,13.5961
Glu_1,14.2339
Glu_2,13.5454
Glu_3,13.5615
Fru_1,14.1954
Fru_2,14.457
Fru_3,13.3923
Mal_1,13.7033
Mal_2,13.8844
Mal_3,13.3692
G+S_2,14.9735
G+S_3,14.7588
Pyr_1,14.2767
Pyr_2,15.2994
Pyr_3,14.724
Gly_1,14.057
Gly_2,15.1559
Gly_3,13.8636
Glucon_1,13.88
Glucon_2,14.0251
Glucon_3,12.6519
aero_1,14.099
aero_2,13.2575
aero_3,14.0037
nit_1,14.7597
nit_2,14.574000000000002
nit_3,14.2398
ferm_1,14.097
ferm_2,14.2094
ferm_3,15.1229
T-5.40H_1,14.095999999999998
T-4.40H_1,14.3114
T-3.40H_1,14.3363
T-2.40H_1,13.8521
T-1.40H_1,14.0109
T-1.10H_1,13.8322
T-0.40H_1,14.4242
T0.0H_1,14.267
T0.30H_1,15.6507
T1.0H_1,14.8081
T1.30H_1,14.8932
