,cynT
Cr_1,-0.004756334984659975
Cr_2,-0.008639983434964317
Cr_3,0.0030387996874338247
Cr_4,-0.0077973134729615624
Cr_5,-0.0182256654036767
Cr_6,-0.011937739625699492
Fe_1,-0.0014429581513595688
Fe_2,-0.003563314211248408
Fe_3,0.017198893714825976
Fe_4,0.004723102784083139
Fe_5,0.019328405575864547
Fe_6,0.04553012860591786
Cd_1,0.02464140927388369
Cd_2,0.033768376656467314
Cd_3,0.03453483325612315
Cd_4,0.04557278280647472
Cd_5,0.06517204875420901
Cd_6,0.07058595641941515
Zn_1,-0.021926180307190648
Zn_2,-0.029676183374148193
Zn_3,-0.02186247558750597
Zn_4,-0.00938431954862873
Zn_5,0.0077945378071751096
Zn_6,0.02131858143039041
Cu_1,0.0025430921673350445
Cu_2,0.004848533084440529
Cu_3,0.00596408397028153
Cu_4,0.004287543605594347
Cu_5,0.008422171605291873
Cu_6,0.013168887009099859
Pb_1,0.002498748195123769
Pb_2,0.0049026018113445865
Pb_3,0.00018262545343959296
Pb_4,0.0016720966142315073
Pb_5,-0.0010711520690960814
Pb_6,0.0005069830353259363
