,dpbA
Cr_1,0.00378199866330201
Cr_2,0.006898251966662021
Cr_3,0.007909066271859218
Cr_4,0.01001661289491714
Cr_5,0.012341819637162592
Cr_6,0.014979987678868031
Fe_1,-0.006889544593465813
Fe_2,-0.014541643921603469
Fe_3,-0.017017816925050458
Fe_4,-0.02556376815417349
Fe_5,-0.029143186885104345
Fe_6,-0.04250894280380051
Cd_1,0.005366072397049404
Cd_2,0.00829219315452003
Cd_3,0.015493038213356304
Cd_4,0.020909107328594332
Cd_5,0.017746581665042376
Cd_6,0.020315706844603862
Zn_1,0.0035750420178671484
Zn_2,0.0026709913633085267
Zn_3,0.005290799098077089
Zn_4,0.012232582941294538
Zn_5,0.01603158475561819
Zn_6,0.013353291743987248
Cu_1,0.007163196486797169
Cu_2,0.017902092966465773
Cu_3,0.0259100707155758
Cu_4,0.0328453113871918
Cu_5,0.03726968741004112
Cu_6,0.04055196319546425
Pb_1,0.0002018689575087259
Pb_2,0.0062559084456473
Pb_3,0.009341454728422459
Pb_4,0.011953750505785449
Pb_5,0.018392521422127363
Pb_6,0.02537056507480375
