,gshA
Cr_1,-0.004189114920197828
Cr_2,-0.00646063983964431
Cr_3,-0.01033623185933922
Cr_4,-0.019923864826080082
Cr_5,-0.02990570475747972
Cr_6,-0.035661725826437785
Fe_1,-0.008501619244600113
Fe_2,-0.02022619609949736
Fe_3,-0.026253966374940287
Fe_4,-0.03323669468367635
Fe_5,-0.038621201880025095
Fe_6,-0.03476565477985297
Cd_1,0.0005463945288627784
Cd_2,0.00237637650334752
Cd_3,0.007093072907088705
Cd_4,0.01089255494678888
Cd_5,0.011632078344434721
Cd_6,0.017914329671820762
Zn_1,0.009106010983133387
Zn_2,0.019373107714449743
Zn_3,0.03948908161954188
Zn_4,0.06750535995455054
Zn_5,0.10041012965849117
Zn_6,0.1322443081113779
Cu_1,0.003834390195265218
Cu_2,0.00909958409449798
Cu_3,0.01925936679855272
Cu_4,0.02855049108138305
Cu_5,0.03489616960717205
Cu_6,0.045616318013500544
Pb_1,0.0009348461217200582
Pb_2,-0.002670048519411275
Pb_3,-0.00487620076952532
Pb_4,-0.0005081247526908173
Pb_5,-0.0020438693324397886
Pb_6,0.003567756606344803
