,cynR
Cr_1,-0.0025545899592792306
Cr_2,-0.0035394911090146025
Cr_3,0.0023756432490947576
Cr_4,0.0035778304021514586
Cr_5,0.005428745991735292
Cr_6,0.002952386663271859
Fe_1,-0.010467411521013608
Fe_2,-0.01565069646299996
Fe_3,-0.013247744408013521
Fe_4,-0.009176877508940676
Fe_5,-0.003584666986520404
Fe_6,0.004951634918486779
Cd_1,0.0011153691295721902
Cd_2,0.0070981379956775534
Cd_3,0.012061089368687996
Cd_4,0.01901286966310217
Cd_5,0.0212954770197588
Cd_6,0.02891141595014887
Zn_1,0.0010410701343079804
Zn_2,0.0021248299039008925
Zn_3,0.013825260912684406
Zn_4,0.028541460411302507
Zn_5,0.04063229459602356
Zn_6,0.04725098125187192
Cu_1,0.004957448578479961
Cu_2,0.010276728166650364
Cu_3,0.01990658541339424
Cu_4,0.027968106440942428
Cu_5,0.037804348741638016
Cu_6,0.04993620432302568
Pb_1,0.010386730731800293
Pb_2,0.011065156556015308
Pb_3,0.020361211774037925
Pb_4,0.02496157829342077
Pb_5,0.029419661824513763
Pb_6,0.042753544347020125
