,A,yihW
R2,,0.8923927875692169
xmin,,4.36666593375292
xmid,,6.847171092054892
xmax,,10.8227481346501
ystart,,0.9185772710266207
yend,,36.64330659146876
control__wt_glc__1,0.00375223336947,5.70712132170482
control__wt_glc__2,-0.0037522333695100005,6.06055651992656
fur__wt_dpd__1,-0.111609156072,5.45075132411443
fur__wt_dpd__2,-0.09131121042210001,5.22052741614816
fur__wt_fe__1,-0.881771601556,5.522126572363991
fur__wt_fe__2,-0.326698942966,5.687699396709889
fur__delfur_dpd__1,-0.380727467201,5.36816519645225
fur__delfur_dpd__2,-0.369018462899,4.9826575539510705
fur__delfur_fe2__1,-0.39043600944799994,5.90123734275254
fur__delfur_fe2__2,-0.305469617434,5.917129396041889
acid__wt_ph5__1,-1.3727811467299997,5.96717642435513
acid__wt_ph5__2,-0.6874550551999999,5.906379918185969
acid__delgadx_ph5__1,-0.6608544967319999,6.132423227924191
acid__delgadx_ph5__2,-1.3754431382299999,5.61737435112584
acid__delgadw_ph5__1,-0.522066568347,5.79826124824707
acid__delgadw_ph5__2,-0.5554206969650001,5.870333371271241
acid__delgade_ph5__1,-0.451739260957,6.02610439680746
acid__delgade_ph5__2,-0.621400399617,5.99160459197821
oxidative__wt_pq__1,-0.289227112677,5.26763166714173
oxidative__wt_pq__2,-0.469717670725,5.10831108488891
oxidative__deloxyr_pq__1,-0.8468785074770001,5.421562266701831
oxidative__deloxyr_pq__2,-1.0113583451000001,5.29431611395409
oxidative__delsoxr_pq__1,-0.206580416057,5.24497087113396
oxidative__delsoxr_pq__2,-0.7145087049009999,5.04834489581251
oxidative__delsoxs_pq__1,-0.707665696743,5.26004314471239
oxidative__delsoxs_pq__2,0.123391108379,5.219315337100969
nac_ntrc__wt_csn__1,1.17917907759,5.80223940665697
nac_ntrc__wt_csn__2,1.6418533132700002,5.6788862614666105
nac_ntrc__wt_cytd__1,0.411842356282,5.636973068812571
nac_ntrc__wt_cytd__2,-0.267178367356,5.5058123289384495
nac_ntrc__wt_gln__1,0.455684565045,6.06008274940184
nac_ntrc__wt_gln__2,0.254881841361,5.49455471808193
nac_ntrc__bw_delnac_csn__1,2.8634798669599997,5.798024650791709
nac_ntrc__bw_delnac_csn__2,0.366624143668,5.61377399412007
nac_ntrc__bw_delnac_cytd__1,0.7859240438940001,6.07376070210436
nac_ntrc__bw_delnac_cytd__2,0.740064429373,5.95494234409951
nac_ntrc__bw_delnac_gln__1,0.7113730029299999,5.6626037635061905
nac_ntrc__bw_delnac_gln__2,0.8355467847,5.966160343969429
nac_ntrc__bw_delnac_nh4__1,1.0756383620899999,6.387211574058219
nac_ntrc__bw_delnac_nh4__2,5.01176095688,5.949535771727071
misc__wt_no_te__1,0.323314990322,5.927543004542611
misc__wt_no_te__2,0.778501490512,5.92529154838964
misc__bw_delcbl__1,0.914424415234,5.747919047759909
misc__bw_delcbl__2,0.513699909917,5.6413831118827
misc__bw_delfabr__1,0.17708363100400001,5.329355698758031
misc__bw_delfabr__2,1.37627122049,5.73023826661217
misc__bw_delfadr__1,0.194468879253,5.82650645172907
misc__bw_delfadr__2,1.0432994563299998,5.75780449388224
misc__nitr_031__1,0.385042625264,5.95224214352515
omics__wt_glu__1,0.06265659304269999,5.35076293478446
omics__wt_glu__2,-0.00186962441173,5.78932215823855
omics__wt_gly__1,0.04287949917230001,5.638769639126691
omics__wt_gly__2,-0.186300079538,5.583526681326309
omics__wt_thr__1,7.29891014756,6.34817893366623
