,ego
Cr_1,0.010124295164984434
Cr_2,0.01912263736495177
Cr_3,0.02612482181245124
Cr_4,0.031169339892552755
Cr_5,0.03717831896411437
Cr_6,0.0374618895507753
Fe_1,-0.011885839208067284
Fe_2,-0.019976406796278972
Fe_3,-0.023466582114821173
Fe_4,-0.03404683969449893
Fe_5,-0.02955639372210238
Fe_6,-0.02277138911469461
Cd_1,0.0036452657633853046
Cd_2,0.005189458877142989
Cd_3,0.012856371931011286
Cd_4,0.014704888266581487
Cd_5,0.013125171818826432
Cd_6,0.020418885414597517
Zn_1,-0.005791214877700533
Zn_2,-0.008840941690234168
Zn_3,-0.003071929844829188
Zn_4,0.003334372420937913
Zn_5,0.0062738996206913224
Zn_6,0.004234122292894897
Cu_1,-0.0016990346684964215
Cu_2,-0.00318072985910813
Cu_3,-0.008222187176775999
Cu_4,-0.007534853805283923
Cu_5,-0.003545603768379043
Cu_6,0.006094892296941434
Pb_1,-0.007917130950292683
Pb_2,-0.016253970827033344
Pb_3,-0.02745808062797584
Pb_4,-0.025163588119388288
Pb_5,-0.03044653042756327
Pb_6,-0.03498926479864422
