,ygdL
Cr_1,-0.003137975960702168
Cr_2,-0.003575436174381509
Cr_3,-0.0020037523239983235
Cr_4,-0.0035387202398653524
Cr_5,-0.008905126539842335
Cr_6,-0.01350697809832137
Fe_1,-0.22516674590508626
Fe_2,-0.2574118827312754
Fe_3,-0.2842978606029997
Fe_4,-0.2930730875983393
Fe_5,-0.2912346485942213
Fe_6,-0.28767049085617274
Cd_1,0.003611540227165797
Cd_2,0.008974529761199489
Cd_3,0.009838149377184977
Cd_4,0.010587591849650128
Cd_5,0.00484333789603094
Cd_6,0.011959251427062802
Zn_1,-0.02049639422420233
Zn_2,-0.017401093106643766
Zn_3,-0.0024068716435079423
Zn_4,0.01928994987861473
Zn_5,0.049574400933521515
Zn_6,0.05940605815141085
Cu_1,0.0011316709362852824
Cu_2,0.0041340807146061885
Cu_3,0.010831284536943564
Cu_4,0.015321367199174696
Cu_5,0.024344294367350198
Cu_6,0.03829795072924985
Pb_1,0.004138674791142378
Pb_2,0.005561182954697814
Pb_3,0.018701558211873744
Pb_4,0.02884005680042638
Pb_5,0.04081078458294145
Pb_6,0.05633666285123243
