,narZ
Cr_1,-0.0007161249608472192
Cr_2,0.0007921590988447227
Cr_3,0.010763793705422872
Cr_4,0.02524463092120993
Cr_5,0.014496202267237638
Cr_6,0.012275625683878784
Fe_1,-0.0005590411459725206
Fe_2,0.00899326732371348
Fe_3,0.03513868732845725
Fe_4,0.0609564203468914
Fe_5,0.08738042684679898
Fe_6,0.11869507393961425
Cd_1,0.0016434316139416535
Cd_2,0.007777512487497126
Cd_3,0.022272876361316196
Cd_4,0.030886664139803382
Cd_5,0.035460118145798504
Cd_6,0.045205732821822636
Zn_1,1.1048198098042452
Zn_2,0.06378652865492321
Zn_3,-0.049340062242894535
Zn_4,-0.021696197715166118
Zn_5,-0.0168716631688601
Zn_6,-0.01030896617756103
Cu_1,0.0072165369339452674
Cu_2,0.015922620108067113
Cu_3,0.02451535532434318
Cu_4,0.03057993690195992
Cu_5,0.038619103514921684
Cu_6,0.0527945318409139
Pb_1,-0.007971107779018048
Pb_2,-0.0013374484094775725
Pb_3,0.007755010541766413
Pb_4,0.01253702541264516
Pb_5,0.012980467465899743
Pb_6,0.00869948625287947
