,yhbP
Cr_1,-0.0008623470613289747
Cr_2,-0.010913327343681308
Cr_3,-0.009763860606075493
Cr_4,-0.002925617631537427
Cr_5,-1.5724569749766192e-06
Cr_6,0.0024867379578941092
Fe_1,-0.026050683672802083
Fe_2,-0.06286867281686785
Fe_3,-0.08102567150589636
Fe_4,-0.09819707768497543
Fe_5,-0.10291159419320063
Fe_6,-0.10855925999136272
Cd_1,-0.0017426465634073425
Cd_2,-0.001819626798467827
Cd_3,-0.0010904225533340864
Cd_4,-0.002308270656254081
Cd_5,-0.009641134332535628
Cd_6,-0.01328534545954855
Zn_1,-0.006591180714503758
Zn_2,0.01128782423135126
Zn_3,0.0063858676317979
Zn_4,0.01922511053618586
Zn_5,0.01895852298846589
Zn_6,0.02399783769558484
Cu_1,0.007453870646219873
Cu_2,0.017729656399516455
Cu_3,0.028193805329913738
Cu_4,0.04020861257885125
Cu_5,0.048404708034957764
Cu_6,0.05862425907647121
Pb_1,0.009346989493365428
Pb_2,0.017839368788166776
Pb_3,0.03168354394764932
Pb_4,0.047823620059669135
Pb_5,0.06572507431006963
Pb_6,0.08417597770011256
