,mhpR
Cr_1,-9.745443091572329e-05
Cr_2,0.0008238899397763486
Cr_3,0.0026089461581912552
Cr_4,0.005763446547313546
Cr_5,0.009331307709706351
Cr_6,0.012923303386561908
Fe_1,-0.0009213839794910812
Fe_2,-0.026320961633795683
Fe_3,-0.06592785530840871
Fe_4,-0.1160258840811563
Fe_5,-0.15738384600630007
Fe_6,-0.1908946306054385
Cd_1,-0.0011531381077634114
Cd_2,0.019781782851851767
Cd_3,0.02178270053705225
Cd_4,0.024602891934559036
Cd_5,0.024029296825298016
Cd_6,0.03582441526602129
Zn_1,-0.002475438429008344
Zn_2,-0.0035108904519720514
Zn_3,-0.0008543369677308881
Zn_4,-0.001370836439940939
Zn_5,-0.003409912109171156
Zn_6,-0.0027603019558303365
Cu_1,0.008154439539099086
Cu_2,0.0211538237781345
Cu_3,0.03647521061008617
Cu_4,0.04278636999906541
Cu_5,0.050878208294442735
Cu_6,0.05537415013831233
Pb_1,0.00877331496626299
Pb_2,0.01925893081805437
Pb_3,0.02950515445851772
Pb_4,0.0428071654609434
Pb_5,0.05094759565723783
Pb_6,0.06307659529107022
