,ftsY
Cr_1,-0.006105024143151155
Cr_2,-0.005313905893783465
Cr_3,-0.0012451575519013642
Cr_4,0.008736182238175206
Cr_5,0.016176219813123453
Cr_6,0.026029246169627315
Fe_1,-0.01056607780896023
Fe_2,-0.01820082931527129
Fe_3,-0.02664964856090056
Fe_4,-0.03412654689896417
Fe_5,-0.03845801704024082
Fe_6,-0.04921426984221256
Cd_1,0.002417479739237794
Cd_2,0.009117286472201431
Cd_3,0.0149310792252158
Cd_4,0.017194650309121828
Cd_5,0.019466750152988245
Cd_6,0.0321865857651886
Zn_1,-0.00701755272668784
Zn_2,-0.006527567159663164
Zn_3,0.0010777448098991543
Zn_4,0.03750444160574398
Zn_5,0.10397355701233092
Zn_6,0.12879498887109755
Cu_1,0.0007830203738739546
Cu_2,0.006105540438327927
Cu_3,0.011267660104727337
Cu_4,0.019023442977205728
Cu_5,0.020270228660897463
Cu_6,0.021789040817335216
Pb_1,0.003205438300222613
Pb_2,0.005357703052564237
Pb_3,0.010690012728248544
Pb_4,0.017902260440409806
Pb_5,0.02962124795049789
Pb_6,0.04019827949241296
