,A,NrdR
R2,,0.02825948704226866
xmin,,-3.4735701866
xmid,,-0.04839516557229579
xmax,,3.6676360734999998
ystart,,0.20800945711758922
yend,,6.647513802594824
aat__00m_00s__1,1.4436260818,-0.1912134183
aat__00m_30s__1,0.8711127901,-0.0495531065
aat__01m_00s__1,1.6741440734,-0.060171080200000004
aat__02m_00s__1,3.7723744357999998,-0.1062194003
aat__05m_00s__1,8.5266240792,-0.2563790614
aat__10m_00s__1,7.0175423024,-0.180882749
aat__00m_00s__2,0.6314631817,0.0292420033
aat__00m_30s__2,-2.7338462722,0.0956439271
aat__01m_00s__2,1.7425016851000001,-0.1961170322
aat__02m_00s__2,4.4041578879,-0.17592711860000002
aat__05m_00s__2,8.8591155088,-0.0045334904
aat__10m_00s__2,8.4034242349,-0.2530938286
aat__00m_00s__3,-2.0750892634,0.16197141510000002
aat__00m_30s__3,0.5516740164,-0.0593663986
aat__01m_00s__3,1.0162035701,-0.1945736981
aat__02m_00s__3,3.1815729049,-0.38252174170000003
aat__05m_00s__3,7.4341296103,-0.3082227723
aat__10m_00s__3,7.3052600765,-0.29268513100000004
abx_mega__dmso-2__1,-1.9919300819,-0.9128214926
abx_mega__ery_dmso__1,1.7005838507000002,-0.8256137494
abx_mega__nal_naoh__1,-1.2241760818,-0.28024744300000004
abx_mega__dmso-5__1,1.3803498245,-0.5011748525
abx_mega__rif_dmso__1,2.6758054662,-0.2057800574
abx_mega__novo_h2o__1,-0.23904724930000001,-0.0028106437
abx_mega__rach_dmso__1,0.8821203578,0.0863564618
abx_mega__metro_dmso__1,2.2702425484,0.1981071245
abx_mega__dmso-6__1,2.756045961,-0.2118866886
abx_mega__chl_h2o__1,-1.2779517866,-0.3945621729
abx_mega__cst_h2o__1,1.082387647,0.4676424959
abx_mega__tec_h2o__1,10.9678334953,-0.8274012904
abx_mega__str_h2o__1,0.7896854946,-2.7078469002
abx_mega__ctx_h2o__1,1.9765212404999999,0.16870673090000002
abx_mega__nal_naoh__2,0.1752644959,-0.2387491716
abx_mega__phos_h2o__1,-0.0687370351,-0.0548755524
abx_mega__dmso-5__2,2.1392021071,-0.4825851989
abx_mega__polmyx_h2o__1,2.5961492744,0.4534451579
abx_mega__h2o-8b__1,0.5466781276,0.1151463546
abx_mega__h2o-6__1,0.0216181739,-0.2308963268
abx_mega__thio_dmso__1,-0.4358168839,-0.7683255844
abx_mega__phos_h2o__2,0.0761045003,0.5850281660000001
abx_mega__ctx_h2o__2,-0.4741460904,-0.4575596362
abx_mega__lzd_dmso__1,-1.1373255945,-0.6319096646
abx_mega__naoh-9__1,-0.24706500690000002,0.5889253657
abx_mega__dox_dmso__1,-1.117304748,-0.15523415100000001
abx_mega__phos_ethanol__1,-0.4509730214,0.45622954260000004
abx_mega__teix_dmso__1,9.8414744942,-0.23880566720000002
abx_mega__dmso-10__1,1.732061534,0.4505260338
abx_mega__van_dmso__1,2.904063528,1.4932914181
abx_mega__ramo_h2o__1,5.1199076481,0.2891322029
abx_mega__tec_h2o__2,6.5564107957,0.1560013584
abx_mega__h2o-7__1,0.5957045849,-0.5544299082
abx_mega__cro_h2o__1,0.0040223339,-0.5251435376
abx_mega__tric_ethanol__1,2.2606048512,1.3297380941
abx_mega__nor_naoh__1,0.1063716118,-0.0510150677
abx_mega__teix_dmso__2,2.4196126129,-0.5068248828
abx_mega__nal_naoh__3,0.5878878277,-0.10057044030000001
abx_mega__novo_h2o__2,1.5187692308,0.053320527300000004
abx_mega__dmso-10__2,2.0843486037,0.4135112231
abx_mega__phos_h2o__3,-0.4081471713,-0.0200244057
abx_mega__dmso-6__2,1.5880387138,-0.18113586650000002
abx_mega__rfp_ethanol__1,6.5612379583,-0.5156421319
abx_mega__dmso-5__3,1.2231429301,-0.23206345860000002
abx_mega__amyc-d_dmso__1,4.3814223097,-0.37392587
abx_mega__sxt_dmso__1,2.650453109,-0.5677614854
abx_mega__dmso-1__1,0.4026569474,0.0190881933
abx_mega__pen_h2o__1,3.7733865568000002,-0.4129249103
abx_mega__dmso-10__3,-0.0470695062,0.5638377633
abx_mega__nal_naoh__4,-0.712495033,0.2224132606
abx_mega__cip_naoh__1,0.3733855347,0.3871413041
abx_mega__pen_h2o__2,2.7571415113,-0.3172990381
abx_mega__ery_dmso__2,2.3480634711,-1.0511627288
abx_mega__dmso-2__2,0.3099888626,-0.8930488422
abx_mega__van_dmso__2,0.855082835,1.7040913344000002
abx_mega__h2o-1b__1,-0.014368736100000001,-0.1117523571
abx_mega__ery_h2o__1,-1.2892280141999999,-0.37379883
abx_mega__bacit_h2o__1,8.9366220953,0.027924511000000003
abx_mega__chl_h2o__2,-2.3894215331,-0.1489474602
abx_mega__str_h2o__2,4.7393754466,-0.843288142
abx_mega__rfp_ethanol__2,8.4785727511,-0.3122943475
abx_mega__polmyx_h2o__2,1.4096027157,0.2949842377
abx_mega__tric_h2o__1,1.9755220741000001,0.9709381113000001
abx_mega__cip_naoh__2,0.5386865875,-0.31794552730000003
abx_mega__novo_h2o__3,1.0177662079,0.5166667165000001
abx_mega__bacit_dmso__1,4.3075070565,-0.4603590119
abx_mega__gen_h2o__1,2.0621070938,-0.2018612977
abx_mega__bacit_dmso__2,4.1562173824,-0.23382976900000002
abx_mega__chl_dmso__1,0.6240328178,-0.6888832624
abx_mega__bacit_h2o__2,6.2897536946,-0.36418108720000003
abx_mega__lvx_dmso__1,0.619800855,0.1453181731
abx_mega__bacit_h2o__3,8.1791396963,0.1086453324
abx_mega__nor_naoh__2,0.7761674985,0.1365063812
abx_mega__amyc-d_dmso__2,5.9323594803,-0.3966311602
abx_mega__polmyx_h2o__3,1.9412585323,-0.7058411935000001
abx_mega__naoh-6__1,-0.5738288334,0.0879731384
abx_mega__cst_h2o__2,1.8825608470000001,-0.0690277703
abx_mega__h2o-1b__2,0.44610013870000004,0.2483157516
abx_mega__rfp_h2o__1,2.6721060981,-0.6988387937
abx_mega__tet_h2o__1,-1.3386107397,-0.7978167174
abx_mega__flavo_dmso__1,1.47140982,0.0378880568
abx_mega__zeocin_h2o__1,2.0979439427,0.4478393136
abx_mega__nor_naoh__3,0.7087709108,-0.1730579987
abx_mega__rach_dmso__2,2.2626561524,-0.49708484820000004
abx_mega__thio_dmso__2,-1.0465566045,0.20638175860000002
abx_mega__amyc-d_dmso__3,3.1461363838,0.055668203900000005
abx_mega__rif_dmso__2,1.2894796473,-0.0069598561
abx_mega__amyc-d_dmso__4,6.0291239293,-0.0590859081
abx_mega__teix_dmso__3,2.6330652653,0.052287419200000004
abx_mega__valin_dmso__1,3.981964221,0.2091856159
abx_mega__teix_dmso__4,1.915265816,-0.5287375689
abx_mega__ethanol-10__1,7.3750805151,0.5185097275
abx_mega__inh_h2o__1,1.3715317854,-0.1861027044
abx_mega__rif_dmso__3,1.0180631684,-0.7954118991
abx_mega__van_dmso__3,3.1421866542,0.35985042640000003
abx_mega__doxo_dmso__1,0.9902151805,0.556039418
abx_mega__tmp_dmso__1,-0.058797058400000005,-0.1450803302
abx_mega__ethanol-10__2,8.3034974978,0.2838832557
abx_mega__tmp_dmso__2,0.1568183359,-0.1532189962
abx_mega__amyc-d_dmso__5,2.4752247961,0.10884879160000001
abx_mega__novo_h2o__4,-1.5308274475,-0.39524302370000003
abx_mega__cro_h2o__2,1.2526170528,-1.0085364629
abx_mega__cro_h2o__3,0.1332898083,0.0683147466
abx_mega__gen_h2o__2,1.5425419543999999,-0.2455738319
abx_mega__phos_h2o__4,2.0714281277,-0.48584732490000004
abx_mega__metro_dmso__2,3.1395374711,0.2652696738
abx_mega__ery_h2o__2,-0.47345303720000004,-0.6467801297
abx_mega__sacet_h2o__1,9.336402841,0.08552387160000001
abx_mega__nal_naoh__5,0.0674254925,-0.3281302168
abx_mega__bacit_h2o__4,5.9748041911000005,-0.0931547633
abx_mega__cip_naoh__3,-0.45155272550000003,0.1841747464
abx_mega__ethanol-8__1,1.5273230815,0.5089287818
abx_mega__h2o-8a__1,4.5561304139,0.1888583534
abx_mega__ery_h2o__3,-0.7065011585000001,-0.13824699999999998
abx_mega__flavo_dmso__2,2.3449291041,-0.23065938360000002
abx_mega__rif_dmso__4,1.3991663847,-0.800223643
abx_mega__novo_h2o__5,-1.4995854834,0.1432840532
abx_mega__teix_dmso__5,1.6684245254999999,0.4080453911
abx_mega__naoh-2__1,-0.7684537018,-0.8608178751000001
abx_mega__novo_h2o__6,1.3992578974,-0.12747355670000002
abx_mega__ctx_h2o__3,1.3056125314,-0.3767332503
abx_mega__rach_dmso__3,2.0853451039,-0.1668465244
abx_mega__valin_dmso__2,3.4012007135,-0.3215010786
abx_mega__amyc-d_dmso__6,2.6908507422,0.5074713957
abx_mega__dox_dmso__2,1.3441110017,-0.1678404406
abx_mega__teix_dmso__6,1.5332591708,0.0026485673
abx_mega__naoh-6__2,0.1992447709,-0.11121405470000001
abx_mega__inh_h2o__2,19.0754561964,1.9042837217000002
abx_mega__chl_h2o__3,-1.1499646182,-0.1623882479
abx_mega__nal_naoh__6,0.1721215334,-0.1905591025
abx_mega__chl_dmso__2,0.3058777815,-0.790201507
abx_mega__rach_dmso__4,0.3384858345,-0.103223359
abx_mega__teix_dmso__7,0.8703768616,0.3606989459
abx_mega__ceru_ethanol__1,2.5753717212,0.8728207339
abx_mega__dmso-7__1,2.3510339486,-0.056887519000000004
abx_mega__naoh-6__3,0.3756538088,-0.06664213620000001
abx_mega__phos_ethanol__2,-0.3844187383,0.4499655293
abx_mega__metro_dmso__3,0.9294755451000001,0.07550865450000001
abx_mega__van_dmso__4,1.6967569001,0.2523053964
abx_mega__h2o-10__1,9.3554968431,-0.0833093072
abx_mega__h2o-10__2,6.5717697758,0.1470609186
abx_mega__dmso-6__3,1.5622080627,-0.020261436
abx_mega__mem_dmso__1,0.5139978376000001,-0.1950708942
abx_mega__ethanol-8__2,1.8185927235000001,0.8398013120000001
abx_mega__chl_h2o__4,-0.2964558713,-0.22209246600000002
abx_mega__van_h2o__1,4.4858129571,-0.45081495860000004
abx_mega__dcs_h2o__1,0.4827326609,0.0360133979
abx_mega__rif_dmso__5,1.1648160142,-0.0032872822
abx_mega__dox_dmso__3,0.5258695917,0.3898697458
abx_mega__mem_dmso__2,3.368734628,0.0095421414
abx_mega__lvx_dmso__2,0.9550149344000001,0.2850016274
abx_mega__tet_h2o__2,-2.4151773887,0.5448199180000001
abx_mega__phos_h2o__5,1.3286274204000001,-0.9692317433000001
abx_mega__monac_dmso__1,5.3365968188,0.9469094884
abx_mega__str_h2o__3,6.6022031506,0.0922470792
abx_mega__zeocin_h2o__2,2.2308864353,-0.8800461395
abx_mega__amyc-d_dmso__7,2.5808663744,0.1969061481
abx_mega__fidax_dmso__1,1.5612373538000002,0.2543132154
abx_mega__h2o-1a__1,0.4646852171,-0.0314410867
abx_mega__dox_dmso__4,0.1206559366,-0.005639747200000001
abx_mega__lzd_dmso__2,-1.0660068232,0.0551103571
abx_mega__tet_h2o__3,-1.137024863,-0.287094369
abx_mega__dmso-1__2,0.1131308199,0.0990805142
abx_mega__sxt_dmso__2,6.9934133053,0.0014947869
abx_mega__tric_ethanol__2,2.2614542416,1.0927036874
abx_mega__teix_dmso__8,1.4335971928,-0.2622053661
abx_mega__ramo_h2o__2,5.2932652987,0.3385447717
abx_mega__inh_h2o__3,1.9562796652,0.29016033420000004
abx_mega__cst_h2o__3,0.8079203531,0.2560018266
abx_mega__dmso-9__1,1.0965019017,0.5390537495000001
abx_mega__ethanol-8__3,2.1805017478,0.7468085693000001
abx_mega__monac_dmso__2,4.9118385887,1.272104364
abx_mega__dmso-9__2,1.9296280012,0.4875822664
abx_mega__metro_dmso__4,2.6926559648,0.1951759167
abx_mega__ctx_h2o__4,0.44569951820000003,-0.3833658656
abx_mega__zeocin_h2o__3,2.717558101,-0.745021236
abx_mega__bacit_h2o__5,4.7264822789,-0.2936383353
abx_mega__reta_dmso__1,0.042479701700000004,-0.1008379673
abx_mega__ery_h2o__4,-2.9446718914,-0.024783484
abx_mega__ceru_ethanol__2,7.7165246253,0.567197617
abx_mega__fidax_dmso__2,0.5927168962,0.3826461182
abx_mega__novo_dmso__1,1.4655105771999999,0.4114965622
abx_mega__naoh-6__4,-1.6519603521000001,-0.0559324146
abx_mega__amyc-d_dmso__8,6.1997371941,-0.1897541507
abx_mega__chl_dmso__3,0.11057058680000001,-0.6112312238000001
abx_mega__nal_naoh__7,-0.433638375,0.10382222070000001
abx_mega__teix_dmso__9,0.7510133185000001,0.1371410921
abx_mega__ery_dmso__3,-0.8502111912,0.0360867956
abx_mega__tmp_dmso__3,0.0172782362,-0.1904545352
abx_mega__sxt_dmso__3,2.8211843482,-0.9349053075
abx_mega__polmyx_h2o__4,3.4511255303,-1.0453275602
abx_mega__mem_dmso__3,0.41463760390000004,0.27949603
abx_mega__nal_naoh__8,0.8966179436,-1.2928407776
abx_mega__pen_h2o__3,2.3730995427,0.2669729065
abx_mega__van_dmso__5,2.1297541635,0.3247331807
abx_mega__zeocin_h2o__4,-1.3085702432000001,-0.6443928831
abx_mega__h2o-6__2,0.0993262839,-0.317861367
abx_mega__tet_h2o__4,-0.9968312166000001,-0.6827166179
abx_mega__nor_naoh__4,-0.1112924555,0.4905839997
abx_mega__cip_naoh__4,0.7354886973,-0.060826458400000005
abx_mega__tmp_dmso__4,-0.1978969454,0.0083801554
abx_mega__reta_dmso__2,-1.6840241033,-0.0838196159
abx_mega__mem_dmso__4,-1.7158371113,-0.2603646992
abx_mega__dox_dmso__5,-1.869256698,-0.3300296035
abx_mega__tmp_dmso__5,0.41399894930000003,0.6016442157
abx_mega__flavo_dmso__3,1.6437734873,-0.5236842220000001
abx_mega__tmp_dmso__6,0.0054808714,0.07095166680000001
abx_mega__ceru_ethanol__3,8.4315007214,1.2094871473
abx_mega__teix_dmso__10,2.9423405292,-0.2423567433
abx_mega__novo_h2o__7,1.0097250286,0.4421081436
abx_mega__fidax_dmso__3,2.6347640209,0.4124549978
abx_mega__h2o-1a__2,-0.33162636090000003,0.0020276021
abx_mega__dcs_h2o__2,0.30475845090000003,0.35209512330000003
abx_mega__cst_h2o__4,1.2623268967999999,-0.2479889669
abx_mega__van_h2o__2,5.9526842431,0.46270213130000004
abx_mega__pen_h2o__4,-0.0947267935,0.49459648640000003
abx_mega__h2o-8b__2,0.7335503206,0.1569211123
abx_mega__reta_dmso__3,0.3874376209,-0.5104034902
abx_mega__dmso-7__2,3.2819773425,-0.3253711137
abx_mega__rfp_h2o__2,1.3462877977,-0.9027618458000001
abx_mega__rif_dmso__6,1.8446971194000001,-0.2513727
abx_mega__sxt_dmso__4,2.7660737432999998,-0.5162386002
abx_mega__cip_naoh__5,-0.108830356,0.0117756561
abx_mega__dmso-9__3,1.5675778204,0.20184374430000002
abx_mega__mem_dmso__5,2.2542679025,-0.3000725276
abx_mega__tric_h2o__2,1.1177663565,1.2195168968
abx_mega__phos_h2o__6,-0.9843900015,-0.19186637750000002
abx_mega__h2o-7__2,1.7752498452,-0.4891497221
abx_mega__h2o-10__3,6.3585516033000005,0.0682181229
abx_mega__h2o-8a__2,5.2729528038,0.1275943175
abx_mega__thio_dmso__3,-0.8080156380000001,-0.4954210626
abx_mega__lzd_dmso__3,-1.397841817,-0.76354351
abx_mega__monac_dmso__3,2.5147055379000003,1.263675379
abx_mega__polmyx_h2o__5,3.5064534801000002,0.36550661090000003
abx_mega__naoh-6__5,0.2131486963,0.0429219478
abx_mega__teix_dmso__11,0.5122933551000001,-0.1050144621
abx_mega__van_h2o__3,6.3241159172,0.2643315056
abx_mega__teix_dmso__12,1.3312903424,0.5231434663
abx_mega__dox_dmso__6,4.0387587416,-0.6703910625
abx_mega__teix_dmso__13,7.6493653542,-0.48509973650000004
abx_mega__h2o-7__3,0.2673361235,-0.4567143514
abx_mega__str_h2o__4,3.6787398332,-0.9988973346000001
abx_mega__tec_h2o__3,10.0499680956,-1.0158724418
abx_mega__phos_h2o__7,-0.9331765676,-0.2643341231
abx_mega__chl_h2o__5,-1.5348987976,-0.4649027794
abx_mega__polmyx_h2o__6,1.51576804,-0.8595065378000001
abx_mega__teix_dmso__14,0.37169357010000004,-0.212267548
abx_mega__rif_dmso__7,1.4371140068,-0.2568360722
abx_mega__ramo_h2o__3,4.7043536441,0.6141561221
abx_mega__fidax_dmso__4,0.41053233910000003,0.27150426250000004
abx_mega__teix_dmso__15,1.4274952019,0.4877749039
abx_mega__thio_dmso__4,-0.10573099050000001,-0.6378625192
abx_mega__rif_dmso__8,1.6411646069999999,-0.49222398900000003
abx_mega__reta_dmso__4,-1.1332604877999999,-0.0609300652
abx_mega__inh_h2o__4,18.2158789429,1.9921790612999999
abx_mega__novo_dmso__2,0.4990979327,0.0185543802
abx_mega__dcs_h2o__3,1.3100483246,0.0209803343
abx_mega__h2o-8b__3,-1.2994829238,0.2130577803
abx_mega__valin_dmso__3,4.3426773255,-0.0608986382
abx_mega__h2o-2__1,3.5134799699,-0.9770290685
abx_mega__cro_h2o__4,2.682452418,-0.0574072172
abx_mega__dcs_h2o__4,-0.49974185,-0.004059438
abx_mega__str_h2o__5,5.0866996902,-0.1016436335
abx_mega__h2o-8a__3,5.5432116563000005,0.0360736491
abx_mega__dox_dmso__7,-0.0816533789,0.0439330946
abx_mega__doxo_dmso__2,1.0763680112,0.10769530740000001
abx_mega__teix_dmso__16,8.8273093816,-0.5402301295
abx_mega__rfp_h2o__3,2.8615400593,-1.2221209621
abx_mega__ethanol-10__3,5.5412296482,0.6083009679
abx_mega__naoh-2__2,4.7108721722,-0.3799050601
abx_mega__van_h2o__4,5.3194037861,-0.3116746455
abx_mega__sacet_h2o__2,10.5786347843,0.3789370295
abx_mega__monac_dmso__4,5.4223234845,0.9475520499000001
abx_mega__h2o-2__2,0.1776922077,-0.0964265693
abx_mega__zeocin_h2o__5,3.3584593089,0.0977789988
abx_mega__nor_naoh__5,-0.9204932056,0.2047182985
abx_mega__naoh-9__2,-0.30951017070000003,0.3276224131
abx_mega__dmso-7__3,2.7002497279,-0.5267973083
abx_mega__van_h2o__5,4.9047460868,-0.5989624394
abx_mega__flavo_dmso__4,2.539553577,-0.42604196780000003
abx_mega__novo_dmso__3,0.07659173650000001,0.42988336850000003
abx_mega__polmyx_h2o__7,1.7743855082,0.28529589
abx_mega__teix_dmso__17,2.5359597045999998,0.1400092689
abx_mega__doxo_dmso__3,0.7844384492,-0.1121396955
abx_mega__mem_dmso__6,2.6060976223,0.45156698980000004
abx_mega__h2o-1a__3,-0.1330588562,0.0294134846
abx_mega__bacit_dmso__3,4.2953414708,-0.5731652540000001
abx_mega__dox_dmso__8,0.2996422965,-0.48876777200000004
