,yaeQ
Cr_1,0.005431342392933824
Cr_2,0.00096523824720344
Cr_3,-0.006189941541149132
Cr_4,-0.01888425287422471
Cr_5,-0.03359245763695415
Cr_6,-0.036875108966122214
Fe_1,-0.01707136665584914
Fe_2,-0.03128652680948522
Fe_3,-0.040531801563511
Fe_4,-0.049587833788152534
Fe_5,-0.04826982969396047
Fe_6,-0.03425296246398652
Cd_1,0.004458028979806752
Cd_2,0.005764400923477143
Cd_3,0.014338825073726032
Cd_4,0.019824314695319967
Cd_5,0.019546439868688228
Cd_6,0.027529291892693868
Zn_1,-0.01486406811436117
Zn_2,-0.02074337258900044
Zn_3,-0.013087103897738305
Zn_4,-0.0025730711571964114
Zn_5,0.011418724819796848
Zn_6,0.02426554516338073
Cu_1,0.005407359059564259
Cu_2,0.013138748312055236
Cu_3,0.02721330028033083
Cu_4,0.03621396462900254
Cu_5,0.0467587654205618
Cu_6,0.058830438891170476
Pb_1,0.0043954834456275075
Pb_2,0.008163230510125333
Pb_3,0.01058580926327283
Pb_4,0.01958668527996317
Pb_5,0.026105828402039226
Pb_6,0.03433261150924436
