,dsbG
Cr_1,0.003230179353158643
Cr_2,0.012685531364443987
Cr_3,0.01482387870980316
Cr_4,0.01912245777087429
Cr_5,0.018796300097163408
Cr_6,0.02158754832873932
Fe_1,-0.016263957807720206
Fe_2,-0.058158706484216026
Fe_3,-0.11025325849282636
Fe_4,-0.20115483888508603
Fe_5,-0.29110290013089785
Fe_6,-0.35885314779721705
Cd_1,-0.00105374542846073
Cd_2,0.0010086153082116023
Cd_3,0.0014372642473388614
Cd_4,0.003136205092972477
Cd_5,0.001276394276621234
Cd_6,0.003819168153619569
Zn_1,-0.016085713344644058
Zn_2,-0.022520244123140475
Zn_3,-0.016856558925289276
Zn_4,-0.007889883398173533
Zn_5,0.0042867349556670944
Zn_6,0.015079599572120026
Cu_1,0.012208275498129716
Cu_2,0.02685644355304535
Cu_3,0.05816962943687321
Cu_4,0.0916837687894945
Cu_5,0.12329832175308625
Cu_6,0.15352678171343415
Pb_1,0.009223432019026905
Pb_2,0.02794246344401188
Pb_3,0.039735380817076185
Pb_4,0.05742712717197824
Pb_5,0.0783586774502091
Pb_6,0.0993643422378728
