,A,metJ
R2,,0.46396081962781677
xmin,,5.5597174833511795
xmid,,
xmax,,10.884049559024902
ystart,,-8.638194456716704
yend,,9.365684172416405
control__wt_glc__1,-0.10634187016899999,7.0154350367913
control__wt_glc__2,0.10634187016899999,6.9559169954387
fur__wt_dpd__1,10.6531253067,9.720267604653008
fur__wt_dpd__2,8.413443309249999,9.579109450311812
fur__wt_fe__1,-0.371773217394,7.90243436028972
fur__wt_fe__2,-0.276867718945,8.10384251337314
fur__delfur_dpd__1,15.7897537407,10.275976121213
fur__delfur_dpd__2,15.6149939927,10.884049559024902
fur__delfur_fe2__1,1.0928265916,8.20128971386412
fur__delfur_fe2__2,1.26144683995,7.96020943356366
acid__wt_ph5__1,1.12994064668,8.77136916914731
acid__wt_ph5__2,1.29556852262,8.923441796285449
acid__delgadx_ph5__1,0.16428743248299998,8.66829449092398
acid__delgadx_ph5__2,0.9915422826799999,9.23548673237319
acid__delgadw_ph5__1,1.18484858722,9.10685303488393
acid__delgadw_ph5__2,1.00074026549,8.71960589100709
acid__delgade_ph5__1,1.25003374,8.6916125217219
acid__delgade_ph5__2,0.959218422018,8.86290142931261
oxidative__wt_pq__1,-0.137913412608,7.7254229633355305
oxidative__wt_pq__2,0.169069485356,7.35992757751764
oxidative__deloxyr_pq__1,-5.793593619709999,7.33187332387798
oxidative__deloxyr_pq__2,-5.86188672834,7.7002353278447195
oxidative__delsoxr_pq__1,4.6011368938,8.08016192658535
oxidative__delsoxr_pq__2,4.39330192494,8.24215704132638
oxidative__delsoxs_pq__1,3.5922690896199994,8.65043415770995
oxidative__delsoxs_pq__2,4.14396561569,8.22782039777238
nac_ntrc__wt_csn__1,1.76560275753,7.0341545602335795
nac_ntrc__wt_csn__2,1.61131334524,7.166319178858299
nac_ntrc__wt_cytd__1,-4.03205310022,6.295111037733519
nac_ntrc__wt_cytd__2,-4.0102042436900005,6.12108860416327
nac_ntrc__wt_gln__1,-4.04518719866,6.60751383262031
