,ygfF
Cr_1,0.005031101900294821
Cr_2,0.020071794132093437
Cr_3,0.04664897984064968
Cr_4,0.0741486831821163
Cr_5,0.09256439198194284
Cr_6,0.11795593842658082
Fe_1,-0.020966373757659768
Fe_2,-0.04567227499759307
Fe_3,-0.07587048515299075
Fe_4,-0.12013557554588407
Fe_5,-0.15987460373021525
Fe_6,-0.18387294335822488
Cd_1,0.001078847065061436
Cd_2,0.007387669261232941
Cd_3,0.014316432930214585
Cd_4,0.02007780226117544
Cd_5,0.021205922281610445
Cd_6,0.03052266152653758
Zn_1,0.0007462300744817353
Zn_2,0.020052516757943416
Zn_3,0.031512114612089394
Zn_4,0.05572848760090991
Zn_5,0.06682805428702694
Zn_6,0.07372063812521419
Cu_1,2.0960766742256047e-06
Cu_2,0.0030071362527651067
Cu_3,0.005382283505833415
Cu_4,0.00597416913087975
Cu_5,0.010568424251605613
Cu_6,0.016927566581713627
Pb_1,0.001486404639932298
Pb_2,0.009733027898069386
Pb_3,0.016422921341558424
Pb_4,0.026641688493032164
Pb_5,0.03992682930397004
Pb_6,0.04771616043153008
