,A,flhD
R2,,0.36586065734696094
xmin,,-7.0720007684
xmid,,0.44801217079674965
xmax,,3.5625693591000003
ystart,,-0.3784567938659644
yend,,15.676716938102622
aat__00m_00s__1,0.5203171596,-0.0382576976
aat__00m_30s__1,-0.7535163868,-0.2732545799
aat__01m_00s__1,-0.5037927396,-0.8198496909
aat__02m_00s__1,-0.529322406,-1.0585565025
aat__05m_00s__1,-0.1729464996,-1.1270911982
aat__10m_00s__1,-0.1787071976,-1.3640907807
aat__00m_00s__2,-1.434438101,-0.0877372101
aat__00m_30s__2,-1.0647793902,-0.3183074932
aat__01m_00s__2,-1.2155313237,-1.5097918652
aat__02m_00s__2,-1.484695247,-1.6680735503
aat__05m_00s__2,-0.7995296976,-1.8356164874
aat__10m_00s__2,-0.5754991658,-2.3199326431
aat__00m_00s__3,0.9141209414,0.1259949077
aat__00m_30s__3,1.8833748082000001,0.0340542969
aat__01m_00s__3,0.9890975494,-0.4242191301
aat__02m_00s__3,0.589491932,-0.9449499442
aat__05m_00s__3,1.0540976538,-1.2000456048
aat__10m_00s__3,1.3099330724,-1.7127137974000002
abx_mega__dmso-2__1,0.0458003737,-0.9255071151
abx_mega__ery_dmso__1,-0.9755227487,-0.7657864959
abx_mega__nal_naoh__1,-2.685118631,-2.4365460475000003
abx_mega__dmso-5__1,-0.2310469345,0.0226470931
abx_mega__rif_dmso__1,-4.9162596484000005,-0.0072364669
abx_mega__novo_h2o__1,-0.42215792300000005,-4.3584411613
abx_mega__rach_dmso__1,0.6931892889,0.7017636168
abx_mega__metro_dmso__1,1.1143962716,-0.2450918176
abx_mega__dmso-6__1,1.4357039513,-0.0339004138
abx_mega__chl_h2o__1,-3.8143404206,-1.7914813412
abx_mega__cst_h2o__1,-1.8621604397,0.47528773360000004
abx_mega__tec_h2o__1,-5.3011536166,-6.3287632435
abx_mega__str_h2o__1,-0.6837387227,-2.0025559367
abx_mega__ctx_h2o__1,1.3944972277,0.8020303577
abx_mega__nal_naoh__2,-0.14142925380000002,-0.1760221155
abx_mega__phos_h2o__1,0.2768005698,-1.2812287982
abx_mega__dmso-5__2,-0.6914507642000001,-0.047958574100000005
abx_mega__polmyx_h2o__1,0.4970554112,0.06273733840000001
abx_mega__h2o-8b__1,-1.223832368,0.040339321000000004
abx_mega__h2o-6__1,0.8322193760000001,0.2604155429
abx_mega__thio_dmso__1,1.2656401288999999,0.4108135992
abx_mega__phos_h2o__2,-1.1417775278,-0.410395599
abx_mega__ctx_h2o__2,2.2076720515,-0.3351232118
abx_mega__lzd_dmso__1,-1.6158159372,0.7158480443
abx_mega__naoh-9__1,-0.28300955640000003,0.4134592559
abx_mega__dox_dmso__1,3.4690994385,1.5692669112000002
abx_mega__phos_ethanol__1,1.4871589012,0.6637785565000001
abx_mega__teix_dmso__1,0.1757849609,-3.1494975245
abx_mega__dmso-10__1,0.48007412860000004,0.4066258869
abx_mega__van_dmso__1,-13.9554956037,-1.2742907023
abx_mega__ramo_h2o__1,-0.8617345551000001,-0.6859030291
abx_mega__tec_h2o__2,-4.0276633155,-3.4972278364
abx_mega__h2o-7__1,0.8355716842,-0.0243372955
abx_mega__cro_h2o__1,0.6651939649,0.052015979600000005
abx_mega__tric_ethanol__1,-4.3784928411,-0.6678377496
abx_mega__nor_naoh__1,-0.9249333278,-0.2088230942
