,tufA
Cr_1,-0.0030022665793396613
Cr_2,-0.005793709340810417
Cr_3,-0.00639334843291801
Cr_4,-0.007135611127757989
Cr_5,-0.005473877254510322
Cr_6,-0.0014040070921976055
Fe_1,-0.007352883426383476
Fe_2,-0.020357371460518924
Fe_3,-0.03328920707839884
Fe_4,-0.052838281327139164
Fe_5,-0.06759728737484295
Fe_6,-0.07874392242234009
Cd_1,-0.006139598248393507
Cd_2,-0.014321176426225444
Cd_3,-0.022036315165360098
Cd_4,-0.02572277944822553
Cd_5,-0.03011458470220882
Cd_6,-0.027088136135675168
Zn_1,-0.004382298584204017
Zn_2,-0.0054748688245740505
Zn_3,-0.0015006174981562858
Zn_4,0.012261139819866252
Zn_5,0.02611047010770759
Zn_6,0.034846822231398566
Cu_1,6.835546984763652e-05
Cu_2,0.0012750717213325894
Cu_3,0.007845766243823047
Cu_4,0.012037064312535208
Cu_5,0.01875105960418788
Cu_6,0.02783384205285785
Pb_1,0.0033004271359633303
Pb_2,0.010438979548128759
Pb_3,0.018398303542286283
Pb_4,0.02667143671730724
Pb_5,0.03147565864737875
Pb_6,0.03762670916087373
