,soxR
Cr_1,0.010127691889058729
Cr_2,0.02287066368256716
Cr_3,0.03042335214413138
Cr_4,0.03646399185155277
Cr_5,0.0431821258982053
Cr_6,0.0490499889820758
Fe_1,-0.007648464437877014
Fe_2,-0.032642317929196384
Fe_3,-0.061704257242620464
Fe_4,-0.10367024722890468
Fe_5,-0.13821348588527185
Fe_6,-0.16948489346933668
Cd_1,0.002811038160524473
Cd_2,0.010233945046949022
Cd_3,0.01960500897117995
Cd_4,0.03215243576577079
Cd_5,0.03367342941027888
Cd_6,0.03550208873100681
Zn_1,-0.0003073985085241966
Zn_2,-0.008385298405991445
Zn_3,-0.010442955006399449
Zn_4,-0.010070622149686395
Zn_5,-0.00678866979584981
Zn_6,-0.006168631892292582
Cu_1,0.014867572477658785
Cu_2,0.03205317362616649
Cu_3,0.060498545588065986
Cu_4,0.03742714544899748
Cu_5,0.07963203705498201
Cu_6,0.15287908944597267
Pb_1,1.0133262762337405
Pb_2,0.3249400774211155
Pb_3,0.744444467305405
Pb_4,1.140966173406114
Pb_5,1.5229496940305056
Pb_6,1.8554023608469556
