,pgpB
Cr_1,0.0010544572443003171
Cr_2,0.003916480487187331
Cr_3,0.007005382819961692
Cr_4,0.009520185454842034
Cr_5,0.015286322486411178
Cr_6,0.024281412738570023
Fe_1,-0.008203659183221797
Fe_2,-0.0068174157352120955
Fe_3,0.00613182578980791
Fe_4,0.01781107202036742
Fe_5,0.02830050584229425
Fe_6,0.036838967272906434
Cd_1,-0.0013213466387635455
Cd_2,-0.001703158449698009
Cd_3,-2.0242532924200744e-05
Cd_4,0.0005377283424825127
Cd_5,-0.0012078793697849876
Cd_6,0.0008748982967288773
Zn_1,-0.0009697767295079203
Zn_2,0.007347789364788491
Zn_3,0.029499900687214482
Zn_4,0.05268371253078757
Zn_5,0.07395459019056266
Zn_6,0.09166865158635758
Cu_1,0.0036546539630769696
Cu_2,0.011121815905311354
Cu_3,0.020676783693588267
Cu_4,0.027738230927826436
Cu_5,0.03170941625698991
Cu_6,0.037738038395825006
Pb_1,0.006030579389039621
Pb_2,0.015550709897986691
Pb_3,0.02301964849037508
Pb_4,0.032213119969539857
Pb_5,0.043922097137514465
Pb_6,0.055571142673574735
