,PSPTO_RS16005
SRX1828913,0.5305557802
SRX1828914,-0.4266849008
SRX1828915,-0.2971767326
SRX1828916,-0.7515889222000001
SRX1828917,-0.2333790476
SRX1828918,-0.2939652749
SRX3983989,2.0549780116
SRX3983990,-0.1716134638
SRX3983993,0.9593115257
SRX3983994,0.4028095553
SRX3983995,1.1768751312
SRX3983996,1.0314062606
SRX3983997,1.7517125133
SRX3983998,0.3722629912
SRX3983999,1.1578367337
SRX3984000,1.6427469641
SRX3984001,1.5587865481
SRX3984002,1.5900523205
SRX3984003,1.9565815931000001
SRX3984004,0.9423467538
SRX3984005,1.1328497532
SRX3984006,2.3034725191
SRX3984007,0.8462267922000001
SRX3984008,1.2272787207
SRX3984009,0.670447303
SRX3984010,3.8676472762
SRX3984011,0.9939465893
SRX3984012,0.0674265158
SRX3984013,0.8479195488
SRX3984014,0.7953515099
SRX3984015,0.8884561088
SRX3984016,1.4391188503
SRX3984017,3.8169774761
SRX3984019,0.014882290400000001
SRX3984020,2.8886512570000002
SRX3984021,3.382423156
SRX3984022,3.7257655115
SRX3984023,-0.11364422880000001
SRX3984024,1.1876056438
SRX3984025,1.1759174844
SRX3984026,2.2376939027000002
SRX3984027,1.2669263666
SRX3984028,1.2792325904
SRX3984029,1.0554190024
SRX3984031,2.1948487979
SRX3984032,2.2141689268
SRX3984034,0.23924171230000002
SRX3984035,0.2076378159
SRX3984036,3.2039755656
SRX3984037,3.1354082749
SRX3984038,2.8541993805
SRX3984039,3.3355055742
SRX3984040,1.4997409851
SRX3984041,3.2304256341
SRX3984042,0.276582086
SRX3984043,0.601758954
SRX3984045,1.2529310283
SRX3984046,0.32078390970000004
SRX3984047,2.4275092764
SRX3984048,1.4772211986000001
SRX3984049,1.6415141019
SRX3984050,1.1179787262
SRX3984051,2.7062707154
SRX3984052,1.1020372397
SRX3984056,2.0913931726
SRX3984057,2.333365732
SRX3984058,2.4043094969
SRX3984059,0.47935870280000004
SRX3984061,0.5330396341
SRX3984062,1.1125702429
SRX3984063,1.3084788826
SRX3984064,0.9893769579
SRX3984065,0.5947303161
SRX3984066,0.8512316950000001
SRX3984067,0.4766878243
SRX3984068,0.5941702063000001
SRX3984069,1.062488827
SRX3984070,2.0742752353
SRX3984071,1.5936962719
SRX3984073,1.1551227188
SRX3984074,1.6869073953
SRX3984077,0.08469297840000001
SRX3984078,-0.2174116237
SRX3984079,1.7628443764
SRX3984080,-0.44638139320000003
SRX3984082,1.2059919056
SRX3984084,1.661278152
SRX6997963,0.8558978438
SRX6997964,-3.2152447472
SRX6997965,-1.339932676
SRX6997967,-1.0047380663
SRX6997968,-1.2157348378
SRX6997969,0.3294190576
SRX6997971,0.1488402225
SRX6997972,-3.2152447472
SRX6997973,-2.0076773681
SRX3159100,-0.1098944739
SRX3159101,0.34935826880000004
SRX3159102,0.1774109411
SRX3159103,-0.416874736
SRX3159000,-0.6980591023
SRX3159001,-0.6980591023
SRX3159002,-0.6980591023
SRX3159003,-0.6980591023
SRX3159004,1.0429080713
SRX3159005,-0.6980591023
SRX3159006,-0.6980591023
SRX3159007,0.3196180124
SRX3159008,-0.6980591023
SRX3159009,-0.6980591023
SRX3159010,-0.6980591023
SRX3159012,-0.6980591023
SRX3159013,0.0686786388
SRX3159014,-0.6980591023
SRX3159015,2.8239499892
SRX3159016,-0.6980591023
SRX3159017,-0.6980591023
SRX3159018,-0.6980591023
SRX3159019,-0.6980591023
SRX3159020,-0.6980591023
SRX3159021,-0.6980591023
SRX3159022,0.7644800538000001
SRX3159023,-0.6980591023
SRX3159024,-0.6980591023
SRX3159025,-0.6980591023
SRX3159026,-0.6980591023
SRX3159027,-0.6980591023
SRX3159028,-0.6980591023
SRX3159029,-0.6980591023
SRX3159030,-0.6980591023
SRX3159034,1.2672250582
SRX3159036,-0.6980591023
SRX3159037,-0.6980591023
SRX3159041,0.3268007026
SRX3159042,-0.6980591023
SRX3159043,-0.6980591023
SRX3159045,0.6221948789
SRX3159047,-0.6980591023
SRX3159048,-0.6980591023
SRX3159049,-0.6980591023
SRX3159050,-0.6980591023
SRX3159051,1.0210639652
SRX3159052,-0.6980591023
SRX3159053,2.6084439719
SRX3159054,-0.6980591023
SRX3159055,-0.6980591023
SRX3159056,0.9644231550000001
SRX3159057,-0.6980591023
SRX3159058,0.4103061753
SRX3159060,-0.6980591023
SRX3159061,-0.6980591023
SRX3159062,-0.6980591023
SRX3159063,1.0176226848
SRX3159066,-0.6980591023
SRX3159069,2.6048147884
SRX3159070,-0.6980591023
SRX3159071,-0.6980591023
SRX3159073,2.7213028557000003
SRX3159074,-0.6980591023
SRX3159075,0.9916834808
SRX3159076,0.5103623916
SRX3159080,-0.6980591023
SRX3159082,-0.6980591023
SRX3159083,0.7522689665000001
SRX3159086,1.2847711076000001
SRX3159087,0.9702895825000001
SRX3159088,1.5356056008999999
