,A,SigG,SigE
R2,,0.8919307969809233,0.7026037125103426
xmin,,-0.5751666667,-0.8104666667
xmid,,,
xmax,,6.7646333333,7.1393333333
ystart,,-9.166462417886015,-9.421043051786441
yend,,56.586461273088915,52.37777743122567
LBexp_1,-8.3531815858,-0.2008666667,0.1665333333
LBexp_2,-7.8939374443,-0.3965666667,-0.1060666667
LBexp_3,-5.102726246,-0.1726666667,-0.038166666700000004
LBtran_1,-2.9117430433,-0.2767666667,-0.0549666667
LBtran_2,-3.1539091911,-0.3349666667,-0.1881666667
LBtran_3,-1.9037957959,-0.07946666670000001,0.1796333333
LBstat_1,-1.0603922518,0.0689333333,0.5048333333
LBstat_2,1.6726400569000002,0.1958333333,0.5509333333
LBstat_3,3.2206939361,0.22483333330000002,0.4123333333
LBGexp_1,-6.8768625285,-0.2554666667,-0.3067666667
LBGexp_2,-7.569894393,-0.2610666667,-0.0889666667
LBGexp_3,-6.199970532,-0.2238666667,0.1175333333
LBGtran_2,-1.7150104927,0.1469333333,0.34543333330000003
LBGtran_3,-4.8605336893,0.2071333333,0.5351333333
LBGstat_1,-1.3733879235,0.4933333333,0.6502333333
LBGstat_2,-0.5809614061,0.3401333333,0.3549333333
LBGstat_3,1.8260855989,0.6497333333,0.8398333333
S0_1,-3.6234717044,-0.5751666667,-0.4641666667
S0_2,-2.858048772,-0.4388666667,-0.3420666667
S0_3,-1.3642471573,-0.2237666667,-0.2384666667
S1_1,-6.4871910018,0.0376333333,0.5115333333000001
S1_2,-5.0372309371,0.0604333333,0.2598333333
S1_3,-7.3595681044,-0.0115666667,0.4624333333
S2_1,5.6903163891,4.3515333333,6.1555333333
S2_2,8.9479655478,4.4079333333,6.1434333333
S2_3,11.2860413011,4.6258333333,5.9902333333
S3_1,41.0148285456,5.8835333333,7.1393333333
S3_2,41.3502410347,5.7267333333,7.0200333333
S4_1,45.7996281998,6.7646333333,6.7982333333
S4_2,50.0727978117,6.7607333333,6.3555333333
S4_3,53.5982825076,6.6235333333,6.1197333333
S5_1,46.332748504,6.7040333333,6.1923333333
S5_2,45.5160368635,6.6684333333,6.3460333333
S5_3,45.7646843886,6.7291333333,6.4260333333
S6_1,51.3746969378,6.2651333333,5.3494333333
S6_2,63.5612330955,5.0463333333,1.4351333333
S6_3,47.4861570553,6.0584333333,5.5393333333
S6/t_1,53.402098483,5.9496333332999995,4.9910333333
S6/t_2,62.0647429094,4.5765333333000005,0.9104333333
