,Value,list
TF,[SigE] / [SigG],
reg_genes,472,"['pbpI' 'ydhD' 'gerD' 'mmgE' 'pbpF' 'yraD' 'murE' 'yuzC' 'cotB' 'S1316'
 'glgP' 'S841' 'lysA' 'ytrH' 'tepA' 'S1097' 'S648' 'sleB' 'spsK' 'S624'
 'yoaR' 'fin' 'yjmF' 'S297' 'S556' 'S162' 'yabQ' 'yabP' 'spoVM' 'gerKD'
 'yteA' 'yfhS' 'S30' 'murG' 'yfkT' 'ydcC' 'S493' 'S638' 'ybxH' 'cspR'
 'S865' 'yotM' 'ywcA' 'S749' 'yqfZ' 'yeaA' 'S1500' 'gerBA' 'spoIIAA' 'S34'
 'yocL' 'ypeB' 'yfnG' 'mbl' 'spoVAF' 'phoR' 'scoA' 'glgC' 'yjaV' 'aag'
 'spoVAEB' 'S704' 'ydjO' 'yrzE' 'yhjQ' 'yotE' 'spoIIIAG' 'pbpG' 'S729'
 'yhjR' 'S422' 'S558' 'yabR' 'yoaW' 'spoIIIAD' 'yqfD' 'safA' 'nucB' 'glgA'
 'csgA' 'S1199' 'S565' 'yabN' 'pdaB' 'ycgG' 'spoVAB' 'ykoS' 'sigKC' 'murD'
 'gerKC' 'ylyA' 'yozE' 'yugU' 'yraF' 'cotV' 'yesK' 'S692' 'S401' 'sspH'
 'ypqA' 'fisB' 'ymxH' 'yozQ' 'spoIIIAE' 'spmA' 'gerM' 'yotJ' 'mutM' 'ydfS'
 'ypzA' 'yisY' 'spoIIM' 'polA' 'spoVR' 'S1218' 'ylxW' 'spoIIIAB' 'yngE'
 'murB' 'spoIIIAH' 'S201' 'sodF' 'S388' 'yndE' 'yotG' 'ispG' 'dacF' 'ccpB'
 'ykoT' 'S891' 'ylzJ' 'yfkR' 'S647' 'pdaA' 'spsL' 'yjmD' 'gerKB' 'yyaD'
 'S226' 'ywrJ' 'yotI' 'glcU' 'cotX' 'phoB' 'yodP' 'sspD' 'spsC' 'splA'
 'S1280' 'spsE' 'cotH' 'spoIIIAA' 'htrC' 'exoA' 'spoIVCA' 'yteV' 'sigE'
 'lnrM' 'spoVE' 'spsB' 'kamA' 'S60' 'yuzM' 'spmB' 'yabM' 'sigG' 'yotD'
 'yngF' 'yckC' 'exuR' 'gerKA' 'glnQ' 'glnP' 'S452' 'yuzH' 'yraE' 'bofA'
 'yhxC' 'yitF' 'S705' 'sigF' 'yoyE' 'yjmC' 'yfnD' 'yitU' 'mutY' 'ykvI'
 'cotG' 'yfnH' 'phoA' 'yfkQ' 'gerBC' 'hbuT' 'phoP' 'S1387' 'ykzD' 'S693'
 'yqjC' 'ywcB' 'yfkS' 'spoIIGA' 'yndA' 'yngJ' 'ykoV' 'S889' 'splB' 'S35'
 'spsD' 'S564' 'glgB' 'S1096' 'S551' 'gerBB' 'S574' 'S1191' 'spoVAEA'
 'S318' 'S650' 'yhaL' 'S546' 'S832' 'yndD' 'sspL' 'yodS' 'mmgA' 'mciZ'
 'spoIIAB' 'S888' 'yosX' 'ykvU' 'cotW' 'yqkF' 'yusR' 'yotK' 'yesJ' 'S649'
 'spoIVB' 'ypzF' 'scoB' 'spoVK' 'ybaK' 'yobW' 'ylxX' 'yraG' 'yfnE' 'spoVB'
 'yqjB' 'yhbH' 'yhbB' 'glgD' 'citH' 'exuT' 'yabO' 'stoA' 'S478' 'yusN'
 'spsI' 'yokU' 'mraY' 'S1056' 'S441' 'spoVD' 'med' 'ytvI' 'S1284' 'ligD'
 'sprB' 'dacB' 'ytxC' 'S483' 'bdbC' 'spoIVFB' 'yndF' 'yxeD' 'gerAB' 'S762'
 'S940' 'ykzE' 'S1566' 'spoVAD' 'spsA' 'uxuA' 'ysnD' 'bofC' 'S1192' 'S397'
 'S1090' 'gerAA' 'S1386' 'divIC' 'S276' 'ctpB' 'S763' 'yqfC' 'sspC' 'yybI'
 'mmgB' 'ynzB' 'yjfA' 'S421' 'ylmC' 'yfhF' 'csbX' 'yppG' 'yvdQ' 'ytaG'
 'chaA' 'yuzA' 'mmgD' 'sspI' 'yrdR' 'yusS' 'spoIIP' 'gdh' 'lnrL' 'yhcO'
 'sqhC' 'yngI' 'S559' 'gpr' 'spoVT' 'ylaJ' 'ypzG' 'ykzP' 'yodR' 'tgl'
 'yfhE' 'ydfR' 'S557' 'yveA' 'yqhV' 'yitG' 'adhB' 'yjdH' 'spoIVFA' 'cotM'
 'S563' 'spoVV' 'sspM' 'spoVAA' 'S1049' 'spoVAC' 'glnM' 'coxA' 'spsF'
 'yfkD' 'ytzC' 'ytrI' 'yusQ' 'ydjP' 'yrzO' 'S393' 'azoR2' 'yhcM' 'S666'
 'yotB' 'bdbD' 'S745' 'yhcN' 'mmgC' 'yutC' 'yizC' 'S194' 'S701' 'yxzF'
 'ytaF' 'ypzI' 'cdaS' 'sspF' 'cotQ' 'S327' 'yckD' 'spsG' 'yqxA' 'S251'
 'yhdB' 'lnrN' 'sbp' 'ydcA' 'yfnF' 'gerAC' 'yodQ' 'yngH' 'yngHB' 'comZ'
 'ypjB' 'yjcA' 'spoIIIAF' 'yitC' 'S1055' 'rsfA' 'S597' 'uxaB' 'S919'
 'S1050' 'spoIID' 'ydhF' 'ctaA' 'mmgF' 'yrrS' 'yncD' 'S298' 'divIB' 'yitD'
 'S123' 'fabL' 'yngG' 'spoIIIAC' 'S984' 'yotC' 'yxjF' 'S62' 'uxaA' 'cwlD'
 'yotH' 'yhaX' 'sspK' 'spsJ']"
comp_genes,68,"['S1278' 'S1467' 'comER' 'S964' 'ywcI' 'yqfT' 'yocN' 'cotF' 'S357'
 'spoIIQ' 'yozN' 'gerW' 'S538' 'oxdC']"
both_genes,54,"['ytzL' 'ymfJ' 'S314' 'yqfX' 'S387' 'cotE' 'spoIVA' 'cotZ' 'yknT' 'sspN'
 'cotJA' 'S1041' 'yaaH' 'yodT' 'yheD' 'S420' 'sspB' 'sigK' 'sspA' 'S1463'
 'yrzQ' 'sspE' 'yhcQ' 'sspJ' 'S343' 'yheC' 'S610' 'ysxE' 'yhcV' 'cwlJ'
 'sspO' 'glnH' 'csfG' 'S246' 'cotJC' 'asnO' 'cotJB' 'S1405' 'gerQ'
 'spoVID' 'yrrD' 'S862' 'yfhD' 'S342' 'cotY' 'gerR' 'tlp' 'cotT' 'spoIIID'
 'sspP' 'yrzR' 'prkA' 'usd' 'cotO']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,228,
comp_ops,43,
both_ops,35,
