,yagT
Cr_1,-0.003959645528102515
Cr_2,-0.0018413730431232312
Cr_3,0.007913042477007195
Cr_4,0.020035062647697343
Cr_5,0.038632308951166115
Cr_6,0.05704533425650224
Fe_1,-0.004253799883625476
Fe_2,-0.0299379204898732
Fe_3,-0.0595961044904889
Fe_4,-0.10741975411562686
Fe_5,-0.1525566219229925
Fe_6,-0.1843299726391572
Cd_1,0.0018990688552717988
Cd_2,0.005448889349980641
Cd_3,0.011139533946056013
Cd_4,0.014011576445121273
Cd_5,0.016234458323468124
Cd_6,0.02198901384572018
Zn_1,-0.13358731645064473
Zn_2,-0.018778494268253763
Zn_3,-0.0583616595874033
Zn_4,-0.0737759744945114
Zn_5,-0.07281421805295905
Zn_6,-0.07240064139408227
Cu_1,0.009536943425946999
Cu_2,0.017563057302397333
Cu_3,0.02693982759616588
Cu_4,0.03013574389363248
Cu_5,0.0352101823808442
Cu_6,0.03921863282041639
Pb_1,-0.0017069729417601269
Pb_2,-0.0033610706260018427
Pb_3,0.00963791016596879
Pb_4,0.018869201649775257
Pb_5,0.029957119293489883
Pb_6,0.04542249961803814
