,-0.03970804323739826,-0.029781032428048693,-0.019854021618699126,-0.00992701080934956,6.938893903907228e-18,0.009927010809349573,0.01985402161869914,0.0297810324280487,0.03970804323739827,0.04963505404674785,0.059562064856097406,0.06948907566544696,0.07941608647479653,0.0893430972841461,0.09927010809349565,0.10919711890284522,0.1191241297121948,0.12905114052154437,0.13897815133089395,0.1489051621402435
thresh,-0.04467154864207304,0.04467154864207304,1,,,,,,,,,,,,,,,,,
unreg,0,25,248,1638,2362,932,195,77,20,19,9,8,12,11,5,3,6,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],"['sucA' 'rpmA' 'fabG' 'ccoQ1' 'etfB' 'oprF' 'rpsB' 'rpsI' 'rplS' 'rpmI'
 'infB' 'sucD' 'rbfA' 'atpE' 'trmD' 'rplU' 'ccoO1' 'rpsO' 'rpsA']",['atpC' 'sucB' 'rpoB' 'rplT' 'PA4671' 'sucC' 'rplM' 'pnp' 'tsf'],['atpF' 'rpoC' 'tufB' 'rpsL' 'rpsJ' 'rpsH' 'rpsF' 'atpH'],"['atpA' 'rpsG' 'atpG' 'rpsR' 'rplC' 'rpsN' 'rplQ' 'rplK' 'tufA' 'atpD'
 'rplF' 'rpsE']","['rpsK' 'rpmD' 'rplR' 'secY' 'rplI' 'PA4933' 'rpsM' 'rplA' 'rplL' 'rpsD'
 'rplO']",['rpoA' 'fusA1' 'rplD' 'rplE' 'rplW'],['rplB' 'rplJ' 'rpsQ'],['rpsS' 'rpmJ' 'rplX' 'rpsC' 'rplN' 'rplV'],['rplP' 'rpmC'],[],[]
