,A,CsrA,ModE,Fnr,CueR
abx_mega__ethanol-8__1,-1.7727638843,-1.1431603716,0.5844432967000001,-0.0429042057,-0.31016926380000004
abx_mega__h2o-8a__1,-1.303348278,-1.164962903,0.222366411,-0.1697118587,-0.2626369485
abx_mega__ery_h2o__3,-5.149211829,-1.9137323895,-0.6488912826000001,-0.046749594000000005,-0.7674292433000001
abx_mega__flavo_dmso__2,0.9145944118,-3.3015098624,0.24351422320000002,0.060263538500000005,-0.8683917005
abx_mega__rif_dmso__4,-1.5751003272,-0.3026696924,-1.4017012266,-1.4686879149,-0.2975747589
abx_mega__novo_h2o__5,-1.9673175918,-2.1852735612,-1.2986423598,0.2258676651,-1.3725314422000001
abx_mega__teix_dmso__5,0.6892019178000001,-1.6728816373000002,0.3378535466,-0.0180107938,-0.49812614990000004
abx_mega__naoh-2__1,-2.2382928241,-0.9208237712,1.4517583971999999,0.12440957970000001,0.3653911193
abx_mega__novo_h2o__6,-4.137863789,-2.0474417496,-1.2229568063,0.7205527484,-1.8225263067
abx_mega__ctx_h2o__3,-0.1673067757,-3.3711113891,0.274118401,-0.064859922,-0.6266936784
abx_mega__rach_dmso__3,1.6178552185,-3.4291929494,0.28809658660000004,-0.0946227506,-0.881672196
abx_mega__valin_dmso__2,1.490325696,-0.4720408904,0.27866624570000004,-0.1504039911,0.030763407700000002
abx_mega__amyc-d_dmso__6,-9.4339582016,-0.8141590874,-0.0224184758,1.0932260792,0.2475360168
abx_mega__dox_dmso__2,0.0927514782,0.2199719521,0.4582658318,-0.3495048284,0.48566100640000004
abx_mega__teix_dmso__6,0.9040795959000001,-2.5514142462000002,0.5343813507,-0.19216870800000002,-1.1916796337
abx_mega__naoh-6__2,-0.0264892629,0.1423281758,0.6842692165,0.2508705046,0.4971228755
abx_mega__inh_h2o__2,-2.8434050248,-1.5649504519000002,1.4324266963,1.0236963855,1.7578098793999999
abx_mega__chl_h2o__3,-9.1465786129,-4.4746586267,-0.1404471612,0.8645055481,-1.92955827
abx_mega__nal_naoh__6,0.047470618900000004,-0.531122691,0.2490167539,0.1051428429,0.0408826719
abx_mega__chl_dmso__2,-8.3644265577,-0.47303580430000003,-0.3154206552,0.2708431966,0.2636030885
abx_mega__rach_dmso__4,-0.8892130876000001,-2.7820736584,0.45015010910000003,0.2606390819,-0.6905326075
abx_mega__teix_dmso__7,1.6481079789000002,-2.1360515454,0.7751591194,0.3504676022,-0.8155118925
abx_mega__ceru_ethanol__1,-1.1954495708,-2.3365578197,1.2852020633,1.4535275098,-0.3228382296
