,A,CsrA,ModE,Fnr,CueR
evo_acid_w__wt__1,-1.3099359947,0.3246734711,0.1366961009,0.0845328856,-0.1278296237
evo_acid_w__F11_2__1,1.8278646504,-0.6351265913,0.7845555093000001,0.196271321,-0.5475944223
evo_acid_w__B11_2__1,0.2731128849,0.3953885716,0.6280154763,-0.21254939720000002,-0.3958495541
evo_acid_w__F11_2__2,2.3878170985000002,-0.8524334634,0.33111361040000004,0.45666608210000004,0.0509973782
evo_acid_w__wt__2,-0.2501395514,-0.11920144140000001,0.3089156795,0.0023046192,-0.6917057520000001
evo_acid_w__B11_1__1,0.2128212541,-0.4906959826,0.1169282972,0.030882746500000002,-0.2700028459
evo_acid_w__H9_1__1,-2.2862960046,-0.9666022341,-0.052335626600000004,0.9365946801,-1.7968408557000002
evo_acid_w__H9_2__1,1.5080737089,-0.3640692413,0.7727137961,0.39447972600000003,-0.8964717133000001
evo_acid_w__B11_2__2,-0.3493682356,0.2660360183,0.4402026737,-0.2747681118,-0.45737102
evo_acid_w__wt__3,0.3625172889,-0.0661781404,0.7385769336,0.1197434681,-0.7265341784
evo_acid_w__H9_2__2,1.761996514,-0.3870727742,0.9141307992000001,0.4314267907,-1.1063804461
evo_acid_w__B11_2__3,-0.43301277060000004,0.2626508318,0.6168735708,-0.2345901954,-0.4067131772
evo_acid_w__F11_2__3,1.6772907383,-0.7579129685,0.5553649974,0.456708999,0.2066053334
evo_acid_w__F9_2__2,3.9368218757999998,0.0516831353,0.1234621707,-7.8525940196,-0.8396081684000001
evo_acid_w__wt__4,0.5707768671,0.26457836300000004,-0.25634156080000003,0.2973060844,0.4038893931
evo_acid_w__wt__5,0.49989649280000004,0.1230712151,0.1268014392,0.3124097697,0.3224065022
evo_acid_w__wt__6,-1.4495857623,-0.5342479504000001,-0.4111357135,-0.1751172912,0.308154452
evo_acid_w__H9_1__2,-2.307720282,-0.9560728206,-0.11564787750000001,0.9036193136,-2.0426245043
evo_acid_w__F9_1__1,0.5631961906,0.2201693603,0.38228946950000003,-7.5369515417,-1.1319867887
evo_acid_w__F9_1__2,0.3605818167,0.2458710871,0.36661422060000004,-7.0361766568,-1.0346867827
evo_acid_w__B11_1__2,1.1617755583,-0.6073302482,0.4206490278,-0.0131986588,-0.4663372167
evo_acid_w__H9_2__3,2.5950126191000003,-0.1310162295,0.7218424509,0.1964461357,-0.9399676477000001
evo_acid_w__wt__7,0.8683565873,0.2799033207,-0.2915883998,0.1707039968,0.1802830271
evo_acid_w__F9_1__3,0.2549964429,0.2455819697,0.3463266222,-7.7499151628,-1.0690436325000001
evo_acid_w__F9_2__3,3.2440524909,0.29511783550000004,-0.0614836219,-7.0926670476,-0.760409293
evo_acid_w__wt__8,0.8871959646,-0.2822216307,-0.3612594381,-0.22741367480000002,0.22863083420000002
evo_acid_w__B11_1__3,0.4248119111,-0.7143031108,0.38165356180000004,-0.0619256138,-0.26296945320000004
evo_acid_w__wt__9,-0.17908189230000002,0.0096227932,0.009334958800000001,-0.5844698577,0.1027053455
evo_bz__c3_1_bz__1,2.5105557353,-0.5505712818,-0.2553389149,1.2617788521,1.1160862698
evo_bz__c3_1_bz__2,2.6335727745,-0.46176968690000003,-0.3290530326,0.013602002200000001,0.0024963475
evo_bz__c3_1_bz__3,1.8378888165,-0.4943754749,-0.2416120078,-0.011886655900000001,0.3960569149
evo_bz__c3_1_bz__4,1.8369527368,-0.34002621,-0.45053574,0.0928465604,0.543089252
evo_bz__g5_1_bz__1,3.3959054414,0.022666871300000002,-0.1158331678,1.4522089644,0.5606271161
evo_bz__g5_1_bz__2,4.6132473751,-0.2180432139,0.2165349075,1.4799556311,0.453343947
evo_bz__g5_1_bz__3,3.8754688312,-0.0385008661,0.1607489038,1.2878835212,0.38189849270000004
evo_bz__g5_1_bz__4,5.2105723226,0.0452386529,0.2309926254,0.5038059594000001,0.2688982854
evo_bz__g5_1_bz__5,3.7707182051,-0.0839954831,0.2289053436,0.360903352,0.44262802970000004
evo_bz__g5_1_bz__6,4.0727080314,-0.1247183372,0.4126294991,0.5015165093,0.20908051330000002
evo_bz__w3110d13__1,0.2936500455,-0.1395782417,0.1992489383,-0.2848580515,-0.0035629984
evo_bz__w3110d13__2,-0.10050767790000001,0.3554219293,0.0300757434,-0.061697307900000005,0.2865579856
evo_bz__w3110d13__3,-0.1180840097,-0.1606921194,-0.1809865837,0.1678169173,-0.1642495649
evo_bz__w3110d13__4,0.42702368960000003,0.0253229919,0.0932010171,-0.3500729039,-0.1553620226
evo_bz__w3110d13__5,-0.7869306647000001,-0.073988498,-0.0911120279,0.2581440398,0.0445807955
evo_bz__w3110d13__6,0.2848486172,-0.0064860622,-0.050427087200000005,0.2706673062,-0.0079641952
evo_bz__w3110d13_bz__1,3.1188524054,-0.11248062560000001,-0.162036964,0.4075951256,2.1358897649
evo_bz__w3110d13_bz__2,3.046814034,-0.1183049355,0.0326897562,0.4723477928,1.9832901806
evo_bz__w3110d13_bz__3,3.0317300977,-0.083318087,-0.16184045800000002,0.0966315491,0.832243908
evo_bz__w3110d13_bz__4,2.7647531258,0.051442117600000004,-0.142794835,0.4559032226,2.1038475748
evo_bz__c3_1_bz__5,2.416860842,-0.29224527380000004,-0.0640556064,1.3849591353,1.1592163354
evo_bz__c3_1_bz__6,2.6406208599000003,-0.6468516591,0.1374687353,1.4019401177,1.2205055402
evo_bz__g5_2_bz__1,0.1552051303,-0.8983259652000001,0.0708261527,0.032233089300000003,-0.3061378275
evo_bz__g5_2_bz__2,-0.42412632100000003,-0.8239290840000001,0.23792020630000002,-0.0453090219,-0.4002576378
evo_bz__g5_2_bz__3,-0.1703311184,-0.9580008996,0.2081412741,0.0014162464,-0.0862319042
evo_bz__g5_2_bz__4,2.6719732306,0.1015478618,-0.0122727076,0.2852736966,1.1431828104
evo_bz__g5_2_bz__5,2.9332500975,-0.0280610729,0.1357542561,0.2818975743,1.0136455581
evo_bz__g5_2_bz__6,2.1320054408,-0.1705023481,0.2740523475,0.9043918405,1.2296192608
evo_bz__w3110d13_bz__5,1.8818562937,0.2881098385,-0.1938764851,0.2892210988,1.291620097
evo_bz__w3110d13_bz__6,2.8708146264,-0.11528942340000001,-0.1681141901,0.2841031,0.9936076187
evo_bz__a1_1_bz__1,0.6755204041,0.9495808071,-0.3034903593,-0.4692650607,1.532965076
evo_bz__a1_1_bz__2,2.503038822,-0.3671651768,0.3016637183,0.359532976,0.7897792698
evo_bz__a1_1_bz__3,2.4100434072,-0.6098810520000001,0.2752564159,1.0300605526,0.1716781776
evo_bz__a1_1_bz__4,2.5372571682,-0.5532074140000001,0.5207145569,0.06453909170000001,0.9197334117
evo_bz__a1_1_bz__5,1.3057200494,-0.5203990722,-0.046648347,1.0883072748,0.0803434782
evo_bz__a1_1_bz__6,2.5587452188,-0.6388998676000001,0.3663905521,0.9656259972000001,0.2989055258
evo_metab__wt__1,1.6214441911000002,0.8428373894000001,-0.1495478267,0.1288576417,-0.15417008940000002
evo_metab__del_zwf__1,2.0077970739,0.7237332536000001,0.18414648,-0.0383819357,0.7344568113000001
evo_metab__zwf_ale1__1,2.0431178191,0.4951485879,0.2439066531,0.1318576497,0.2158136634
evo_metab__zwf_ale2__1,0.9501314496000001,-0.1410731992,0.1225324069,0.019056687000000003,0.2169533841
evo_metab__del_ppk__1,-0.7275911731,-0.3162093582,-0.0913129595,-0.0419896674,-0.9995861882
evo_metab__ppk_ale1__1,-1.0342310871,-0.46060895830000004,0.014858732500000001,0.23862317660000001,-0.9271239396000001
evo_metab__ppk_ale2__1,-0.4948549122,0.4966860227,-0.0291267508,0.1611058857,-0.9380541549
evo_metab__ppk_ale3__1,0.0078071066000000005,0.1865713588,-0.0189897336,0.4581252995,-1.2843567952
evo_metab__del_dapF__1,-0.10283404780000001,0.6283213745,-0.195450844,0.3172238424,0.3910610466
evo_metab__dapF_ale1__1,0.6935371107,0.6192829951000001,-0.1868640255,0.1383090976,0.3978092281
evo_metab__dapF_ale3__1,-0.4414908843,0.1853291607,0.061687516000000005,-0.3716839181,-0.006908122500000001
evo_metab__del_entC__1,0.1349817059,-0.0011352262,-0.2328524146,-0.2415756215,-0.36694231120000004
evo_metab__entC_ale1__1,0.9438818971,-0.23416699600000002,0.23977594770000002,-0.15906388330000001,-0.042623279800000004
evo_metab__entC_ale2__1,1.1453539995,1.0071676275,0.2547323084,0.007812727200000001,0.6302521003
evo_metab__del_dgk__1,-0.7696322994,-0.7795688999,0.0430526534,-0.12566082550000002,-0.49928920120000003
evo_metab__dgk_ale1__1,0.0306965669,-0.0678159375,0.4558602196,0.0504878854,0.7443218502000001
evo_metab__dgk_ale2__1,0.7000088266000001,-0.115279906,0.7855027290000001,0.5392612067,0.138002555
evo_metab__dgk_ale3__1,2.4761435916,0.2285852347,-0.1547371242,-0.1771450645,0.0519627895
evo_metab__wt__2,-0.7647121541,-0.2621533361,-0.0393737683,-0.0641102801,0.3065182996
evo_metab__del_zwf__2,0.7421425951,0.696162904,0.2501503312,0.4335230942,0.8023642321000001
evo_metab__zwf_ale1__2,-0.8280172588,-0.3097416063,0.118605105,-0.1511554798,-0.0701608859
evo_metab__zwf_ale2__2,-0.0205484798,-0.5617862011,-0.2235231519,-0.0774772219,0.3314067284
evo_metab__del_ppk__2,0.31744967500000004,-0.4083589662,-0.005820655100000001,-0.1502114202,-0.059772848
evo_metab__ppk_ale1__2,-0.8238398454,-0.1029294957,0.3817238047,0.1315080696,0.2911992867
evo_metab__ppk_ale2__2,-1.026524487,0.0277019813,0.32375834000000003,-0.0719380109,0.3230785984
evo_metab__ppk_ale3__2,-0.4011358178,-0.2544156026,-0.0433227116,0.12563758,-0.1932907914
evo_metab__del_dapF__2,-1.3339690764,0.7115280345,0.19932757410000002,0.9592729955,0.4276890638
evo_metab__dapF_ale1__2,-1.8745559724,0.9961344663,0.14079930370000002,0.8334966567000001,0.7363132406
evo_metab__dapF_ale3__2,-1.4024247739,0.7494144167,0.49270361770000004,1.0963381317,0.6374720394
evo_metab__del_entC__2,-0.899265379,-0.9237240129000001,0.0426140761,-0.09922067500000001,-0.2226909446
evo_metab__entC_ale1__2,-1.1787110469,-0.3975956607,-0.3971236748,-0.1683037611,-0.46103095580000003
evo_metab__entC_ale2__2,-0.9844975318,-0.391890605,0.23768789280000002,0.12045115120000001,0.2134635491
evo_metab__entC_ale3__1,-0.7839971076000001,-0.0917805778,0.39938953930000004,-0.10618114270000001,0.859393394
evo_metab__del_dgk__2,-0.33923234900000004,-0.6954686800000001,0.1948497495,-0.4606796238,-0.0427234208
evo_metab__dgk_ale1__2,-0.8599864396,-0.3148041413,0.34115678600000005,-0.2463820843,0.620913573
evo_metab__dgk_ale2__2,-1.4535355098,-0.4425944718,0.5041154253,0.3616560525,0.2243211599
evo_metab__dgk_ale3__2,0.2791910756,-0.3619081992,-0.09522302810000001,-1.0284903831,-0.1089851777
evo_metab__wt__3,-0.856732037,-0.5806840533000001,0.18892159500000003,-0.0647473615,-0.1523482102
evo_metab__del_zwf__3,-1.122127307,-0.3223571306,-0.356283513,-0.0761053958,-0.36597571030000003
evo_metab__zwf_ale1__3,-0.8249840277,0.1550771044,0.0095339402,-0.09697300660000001,0.10837471130000001
evo_metab__zwf_ale2__3,-1.766458116,-1.047552918,-0.36365401340000003,-0.2615945059,0.0703771851
evo_metab__del_ppk__3,0.5619913463,-0.8865409245,0.0470234309,-0.162388314,-0.2481046591
evo_metab__ppk_ale1__3,0.5505044735,-0.9851072936,0.343057009,0.06995235600000001,-0.22959876380000002
evo_metab__ppk_ale2__3,-0.3072482387,-0.49095628010000003,0.4833252335,0.16927389210000002,0.3368433487
evo_metab__ppk_ale3__3,0.2824819561,0.1332020619,0.2701488164,-0.21989089520000002,0.5632264716000001
evo_metab__del_dapF__3,-2.1083109445,0.7298289323,0.2995943716,0.8976741623000001,0.5961195544
evo_metab__dapF_ale1__3,-2.0781811595,0.9069370941,-0.0504719904,0.7015805322,0.7017703234
evo_metab__dapF_ale3__3,-2.4589339047,0.7888031879,0.402264648,0.8552512050000001,0.7417232563
evo_metab__del_entC__3,-1.01900642,-0.5501967384,-0.23839111710000002,-0.3455777802,-0.2545490559
evo_metab__entC_ale1__3,-0.9833899929000001,-0.22475856290000001,0.0487207159,-0.3496650475,0.407376155
evo_metab__entC_ale2__3,-1.1073367284,-0.0996960373,0.1675840423,-0.3209950742,0.5749247222
evo_metab__entC_ale3__2,-2.3359895468,-0.41154855770000004,0.2556174398,0.10337487640000001,0.42772739120000003
evo_metab__del_dgk__3,-0.6886041085,-0.9031737923000001,0.46802346,-0.1810282464,-0.4580679151
evo_metab__dgk_ale1__3,-1.4350908483,-0.2254841576,0.3436127342,-0.1042635281,0.38038324360000003
evo_metab__dgk_ale2__3,-2.3282079278,-0.7547287054,0.37448700560000003,0.17177478340000002,0.0807662207
evo_metab__dgk_ale3__3,-1.219551369,-0.0811957534,0.0825104069,-0.3989806461,0.2893318703
flag_reg__wt__1,0.1579630338,0.0658738464,0.0245534296,0.0,-0.0065796959
flag_reg__del_fliA__1,0.5540327507,-0.2386026347,-0.25163910700000003,0.1430180401,-0.1853155181
flag_reg__del_flhC__1,0.9096985038000001,0.037578389600000005,-0.3327385101,0.0,-0.21330226730000001
flag_reg__del_flhD__1,0.8102196893,0.2359016877,-0.5545358974,0.0,0.0228095158
flag_reg__wt__2,-0.1579630338,-0.0658738464,-0.0245534296,0.0,0.0065796959
flag_reg__del_fliA__2,0.4980309262,0.2760108645,-0.3204255749,0.1810243454,0.0407340988
flag_reg__del_flhC__2,0.24517638220000001,-0.35381377480000004,0.0629565564,0.0,-0.0017269073
flag_reg__del_flhD__2,0.9401277485,-0.3093558658,-0.3010834953,0.3016847958,-0.35533146660000003
flgM__27C__1,-0.4448092712,0.9499467742000001,-0.4814018966,-0.5190136381,-0.1540010527
flgM__27C__2,-0.34157638970000004,0.5136119962,-0.6138466179000001,-0.3222420219,-0.7180865202000001
flgM__27C__3,-0.1968060486,0.4769012032,-0.5934602095,-0.4530709885,-0.37083852240000004
flgM__32C__1,0.7193847834,0.1549426304,-0.8455443284,-0.2782649171,-0.5473877346
flgM__32C__2,0.4646484326,0.26592705440000003,0.0014760176,-0.2806686959,-0.1084610159
flgM__32C__3,0.5100139383,0.4581618257,-0.2006969698,-0.4037237883,0.3428737001
flgM__37C__1,-0.1968373582,0.0222233789,0.0096002924,-0.0037651177,-0.0190705572
flgM__37C__2,0.09858269600000001,0.0081513054,-0.0250382119,-0.0090358951,-0.040755672
flgM__37C__3,0.09825466220000001,-0.0303746843,0.015437919500000001,0.0128010128,0.0598262291
flgM__42C__1,0.5031925039,-0.1147126322,0.0899470473,-0.093188196,0.2695645282
flgM__42C__2,0.7367930521,-0.0807382449,0.1886654432,-0.0238553789,0.29555969530000004
flgM__42C__3,1.4177394743,-0.16928125330000002,0.4588168157,-0.0313487078,0.4585773567
histone__untreated__1,-0.17906626380000001,-0.0478549221,0.045866205,0.0095465275,-0.2584710146
histone__untreated__2,-0.3955627962,0.1250165534,0.048823388,0.0232059397,0.0415840637
histone__untreated__3,0.57462906,-0.0771616312,-0.094689593,-0.032752467300000004,0.21688695090000001
histone__10ug_H2A__1,0.2567751531,-0.1897899033,0.0090892575,-0.15256787230000002,0.0683583591
histone__10ug_H2A__2,0.1744223066,-0.08707090940000001,-0.0217282625,-0.12441594560000001,0.1846733528
histone__10ug_H2A__3,0.3218026258,-0.1538468047,-0.1829556897,-0.10435943240000001,0.22771934870000002
histone__50ug_H2A__1,0.5410709859,-0.0047759977,0.0003094814,-0.4254753164,-0.007669303200000001
histone__50ug_H2A__2,0.1172605961,0.0861271696,-0.026240665700000002,-0.3196076483,-0.0796893681
histone__50ug_H2A__3,0.5329784189,-0.1014837628,-0.08809672610000001,-0.3156598178,-0.21889657810000002
histone__100ug_H2A__1,0.4479550184,0.059378556000000006,-0.0857873251,-0.5449668212000001,-0.2636059442
histone__100ug_H2A__2,0.1950866598,0.2001246516,-0.0624813239,-0.523218044,-0.046213547300000005
histone__100ug_H2A__3,0.4284070426,0.07665744050000001,-0.2247610015,-0.5631612565,-0.0797030938
hns__del_hns_spike__1,-0.5862166795,-0.6666523963000001,0.1627363037,-1.8529613086,0.4738232907
hns__del_hns_spike__2,-2.7146987027,0.5918849496,0.39231474380000003,4.4171410107,1.2164514707
hns__del_hns__1,-0.3183981135,-0.8118702487,-0.0113549766,-1.9114182228,0.4110775947
hns__del_hns__2,-3.2649920797,0.7043691763000001,0.41549266690000003,4.1511978614,1.2376278804
hns__wt_spike__1,0.6234145342,-0.6221754814,0.37551988070000003,-1.9114182228,-0.0592196964
hns__wt_spike__2,-3.1407124318,0.5756672597,0.2958956203,1.5058805974,0.8288804034
hns__wt__1,0.7021830944,-0.7474639176,0.2400129108,-1.8065297164,-0.1733766373
hns__wt__2,-0.7021830944,0.7474639176,-0.2400129108,1.8065297164,0.1733766373
hns_stpA__evo100G4_delhns_delstpA__1,3.0625305482,-1.2129520491,-1.9072496887,-1.6696986845000001,-0.4655694883
hns_stpA__evo100G4_delhns_delstpA__2,2.3890185842,-1.2210201622,-2.2285453364,-1.4652493593,-0.5811058659
hns_stpA__evo100G12_delhns_delstpA__1,3.9339259728,-2.8887282469,-1.0804863409,-0.35889479760000004,-1.194556229
hns_stpA__evo100G12_delhns_delstpA__2,4.0690269198,-2.1745014608,-0.5042927463,-0.8014556473000001,-1.8339174124
hns_stpA__delhns_delstpA_delrpoS__1,2.3669165041,-3.1016833329,-1.6496551672000002,-0.8388314320000001,-0.9155892991000001
hns_stpA__delhns_delstpA_delrpoS__2,5.4999067299,-2.9976497034,-1.7048111771999999,-0.4152274681,-1.3401281851
hns_stpA__wt__1,0.314786244,0.2529931238,0.3406317998,0.1043733763,0.2083488315
hns_stpA__wt__2,-0.314786244,-0.2529931238,-0.3406317998,-0.1043733763,-0.2083488315
hns_stpA__delhns_delstpA__1,6.7748494345,-0.44513727670000003,0.2751343377,-1.5472205910999999,-0.7187869757
hns_stpA__delhns_delstpA__2,7.295949101,-0.43486134740000004,0.1336304123,-1.5531352302,-0.31069449930000004
hu__wt_log_pH7__1,2.2874582543,0.6329976270000001,-0.1572075142,-0.19100837710000002,-0.7194249993
hu__wt_log_pH7__2,1.6448228722,-0.3301399406,0.0115144544,0.7087330881,-0.6702221931
hu__wt_log_pH7__3,1.8893492997,0.8558143153000001,0.35628604540000003,0.34349852080000004,-0.2079844399
hu__wt_lag_pH7__1,-1.2907895294,0.007750980100000001,-0.3012259725,0.1536742525,-0.1842369337
hu__wt_lag_pH7__2,-1.8187386614,0.06370762890000001,-0.5795553355,-0.0322767413,-0.4442799886
hu__wt_lag_pH7__3,3.1095281908,-0.071458609,0.8807813080000001,-0.1213975112,0.6285169223
hu__delhupA_lag_pH7__1,-1.1179013569,-0.0625608212,0.3807373902,0.21202446060000002,0.1557575431
hu__delhupA_lag_pH7__2,-1.2178163729,-0.1177036122,-0.052424405,0.5987173526,-0.4034379891
hu__delhupA_lag_pH7__3,5.3817605484,-0.06576356400000001,1.0357557428,-0.1807484194,0.6937019991000001
hu__delhupB_lag_pH7__1,-0.8549122976,0.0461493573,0.1440685034,0.1036303247,-0.38754907780000003
hu__delhupB_lag_pH7__2,-0.7704242599000001,0.046223148400000004,0.0869685275,0.0875729346,-0.221866157
hu__delhupB_lag_pH7__3,4.2686904096,-0.0106043117,0.7209459960000001,-0.3900321698,0.5784589182000001
hu__delhupAhupB_lag_pH7__1,-1.4710709936000002,-0.12402038200000001,0.2032206209,-0.5681724135,-0.12374654800000001
hu__delhupAhupB_lag_pH7__2,-0.8195641056,-0.045596563300000004,-0.0025000361000000002,0.019754427,-0.17505020870000002
hu__delhupAhupB_lag_pH7__3,3.7381243376,-0.1325876592,0.8940283931,0.27332833030000003,0.9165406384
hu__hupAE34K_hupB_lag_pH7__1,0.3226323271,0.0420992036,0.1164358638,-0.0690832475,-0.38345468390000004
hu__hupAE34K_hupB_lag_pH7__2,-1.0614200359,-0.1873983648,0.0665622439,0.6704954660000001,-0.3263321595
hu__hupAE34K_hupB_lag_pH7__3,4.0479510671,-0.0781591112,0.6832371847,-0.2908193112,0.194962773
hu__hupAE34K_delhupB_lag_pH7__1,-0.09832911670000001,0.06868879800000001,0.172634104,-0.2406689964,-0.0590702868
hu__hupAE34K_delhupB_lag_pH7__2,-0.6506525400000001,0.0496476639,-0.0316311653,0.14526903260000001,-0.0025831051
hu__hupAE34K_delhupB_lag_pH7__3,3.7937861175,-0.0352410529,0.674658337,-0.21581755660000002,0.5766434621000001
hu__wt_lag_pH5__1,1.0822286747,-0.1859299941,0.9343574984,0.5535835338,0.4247943409
hu__wt_lag_pH5__2,0.9305845856,-0.3237221128,1.1259728559,1.2081234349,0.3866089506
hu__wt_lag_pH5__3,3.3222155919,-0.2268764711,1.00847286,0.8957372423000001,0.4369530413
hu__delhupA_lag_pH5__1,1.6748065289,-0.058731351300000005,0.8025938475000001,0.6569229851,0.2663451302
hu__delhupA_lag_pH5__2,1.9877221161,-0.1432959704,1.3124116286,0.6167569178,0.6436516790000001
hu__delhupA_lag_pH5__3,4.5044624371,-0.3951608633,1.1472451351,0.8316677062000001,0.7091634263000001
hu__delhupAhupB_lag_pH5__1,1.1651004793,0.16197102200000002,0.46162453480000004,0.1999734554,0.1959455484
hu__delhupAhupB_lag_pH5__2,1.2661728488000001,-0.0823296751,0.8254382154000001,0.2197027038,0.5716925921
hu__delhupAhupB_lag_pH5__3,5.3184954323,-0.1442906659,1.2391170344,0.25218964180000003,0.9091794388000001
hu__hupAE34K_hupB_lag_pH5__1,0.751372774,-0.2366691353,0.9741280804,0.5340236142,0.33970160460000004
hu__hupAE34K_hupB_lag_pH5__2,3.5712492516000003,-0.5814534102000001,1.2293175223000001,1.0834013949,0.7759624850000001
hu__hupAE34K_hupB_lag_pH5__3,4.1001038776,-0.37425067,1.2351270732,1.0978565866,0.766725579
hu__hupAE34K_delhupB_lag_pH5__1,2.4734114396,-0.4798418706,0.8593920469,0.9741019127,0.6506592752
hu__hupAE34K_delhupB_lag_pH5__2,0.5350818043000001,-0.27237717240000003,1.3999062837,0.6802497518,0.7291539938
hu__hupAE34K_delhupB_lag_pH5__3,4.4462948859,-0.2995699371,1.3245919383,0.9403858490000001,0.6714637838
hyperpersistence__low_GFP__1,-6.2647186348,1.6744854268,-1.3756578379,-0.20978116330000002,-0.8465885898000001
hyperpersistence__wt__1,-0.193486713,-0.0785718284,-0.07361550480000001,-0.0744435516,-0.2341567797
hyperpersistence__high_GFP__1,-6.822492936,1.6954384247,-1.103434414,0.4468453882,-0.5058009068
hyperpersistence__pth_mut__1,-1.3349462442,-0.0821485797,0.0648608717,-0.1340233916,-0.2510891403
hyperpersistence__pth_mut__2,-2.3458337759,-0.4551697706,-0.0055653533,-0.0619563058,-0.2889598753
hyperpersistence__metG_mut__1,-1.0739289739,-0.0729601966,0.1200605398,0.0976427973,0.9491512011000001
hyperpersistence__metG_mut__2,-1.5746440698000002,-0.0138501786,-0.19886570350000002,-0.21477502510000002,0.5155984701
hyperpersistence__high_GFP__2,-5.2636099639000005,2.0400461676,-0.6529996744000001,0.3342765871,-0.042215207500000004
hyperpersistence__wt__2,0.193486713,0.0785718284,0.07361550480000001,0.0744435516,0.2341567797
hyperpersistence__low_GFP__2,-5.5530266424,2.1683265458,-0.7000554496,0.0047005741,-0.2333768779
kan_efg__cpxAF218Y__1,0.1085089655,0.11413595110000001,0.5386824008000001,-0.7086893064,0.9840594157
kan_efg__cpxAF218Y__2,0.2694717699,0.0946558779,0.2581455704,-0.6762833235,0.9720590857
kan_efg__cyaAN600Y__1,0.06262696670000001,0.14594282990000002,0.5252756245,-0.5961064718,0.8571481175000001
kan_efg__cyaAN600Y__2,0.2218346564,0.6586971645,0.9153200142000001,-0.9389203311000001,1.5779908096000002
kan_efg__fusAA608E__1,-0.1686735214,-0.0135601903,0.2859956322,0.3523185716,0.21644782
kan_efg__fusAA608E__2,-0.9436565353,0.18911723260000002,0.27028629400000004,0.2347033211,0.5038559084
kan_efg__fusAA608E_cpxAF218Y__1,-0.9215651848,0.028346708,0.1266540272,-0.0167791524,1.1235715768
kan_efg__fusAA608E_cpxAF218Y__2,-0.3530727732,-0.1857140401,0.5014716261000001,0.1179135661,0.3137570709
kan_efg__fusAA608E_cyaAN600Y__1,-0.9133839192000001,0.1835076176,0.3715191901,-0.13920940210000002,0.7107487836
kan_efg__fusAA608E_cyaAN600Y__2,-1.0777602758,0.2683498912,0.6990269996,-0.3839734456,1.1498126936
kan_efg__fusAA608E_rpoDL261Q__1,-1.3692192247000001,0.0507880599,0.7792298950000001,-0.0986806617,0.5144128446
kan_efg__fusAA608E_rpoDL261Q__2,-1.3499368811,0.0362445418,0.39528504410000004,0.1994489292,0.6675933350000001
kan_efg__fusAA608E_topAS180L__1,-2.0700350628,0.5452924182000001,0.3065828499,-0.4435333853,0.6255840358
kan_efg__fusAA608E_topAS180L__2,-2.0449374856,0.4791243793,0.1622768449,-0.4244188257,-0.014736175700000001
kan_efg__rpoDL261Q__1,-1.1632650406,0.0054895583,0.445244532,-0.1329093335,0.6521573717
kan_efg__rpoDL261Q__2,-0.37654503910000003,0.1087634505,0.5033025376,-0.4127689734,0.9574834198000001
kan_efg__wt__1,0.41678818360000003,0.048659951900000005,-0.2588631454,0.0866657269,-0.579007304
kan_efg__wt__2,-0.41678818360000003,-0.048659951900000005,0.2588631454,-0.0866657269,0.579007304
lrp__wt_min_log__1,0.4542873819,-0.1085146451,0.053205019400000005,-0.011919778300000001,-0.1775727229
lrp__wt_min_log__2,-0.4542873819,0.1085146451,-0.053205019400000005,0.011919778300000001,0.1775727229
lrp__wt_min_trans__1,-9.2980102406,2.2471323039,-0.0433248356,-0.20470735180000002,1.5687542667
lrp__wt_min_trans__2,-7.5968480758,2.0901208875,0.5486919178,0.1806692184,1.7411489158
lrp__wt_min_stat__1,-1.6200868487,3.1321932889,-0.6946052538,0.1726251009,0.47435388910000004
lrp__wt_min_stat__2,-1.0918357353,2.5758767063,0.2021977809,0.0196643383,0.8577044553000001
lrp__wt_liv_log__1,-1.3137982665,0.4819123621,-0.0299412603,0.2249489489,0.5461238412
lrp__wt_liv_log__2,-1.0479472786,0.5946943447,-0.0167870463,0.1194383926,0.3187973568
lrp__wt_liv_trans__1,-2.9699773456000003,0.3059429464,0.0013347712,-0.6919210905000001,1.2041013091
lrp__wt_liv_trans__2,-1.6465284194,-0.6286996579,0.3186862525,-0.5639088368,0.7315804769
lrp__wt_liv_stat__1,-1.4642108338,3.5033184151,-2.537799087,-0.0544059229,0.8651744074000001
lrp__wt_liv_stat__2,-2.7757918487,3.3173009675,-1.4829582264,-0.014093932000000002,0.9794679844
lrp__wt_rich_log__1,-1.1318740199,-0.1959441624,-0.41235991050000004,-0.4503003694,-1.6758056974
lrp__wt_rich_log__2,-1.4779984464,-0.0748709679,-0.5340710735,-0.4641175329,-1.5164131821
lrp__wt_rich_trans__1,-4.7945582669,1.0890960679,-0.0204980558,-1.0025144526,1.0309793568
lrp__wt_rich_trans__2,-3.0469666744,0.9441230180000001,0.0388083559,-1.1404914458,1.9206502072
lrp__wt_rich_stat__1,-2.4573251934,0.7359874078,-1.7173108524,-0.8909438317,1.3021606069
lrp__wt_rich_stat__2,-2.0503710507,0.9913164904,-1.4279201925,-0.5318614534,1.2531779121
lrp__dellrp_min_log__1,-0.561398829,0.40464859999999997,-0.07426338660000001,0.0033368332,0.3407568687
lrp__dellrp_min_log__2,-0.5712833317,0.3895239581,-0.1682397494,0.0118921209,0.3632507521
lrp__dellrp_min_trans__1,-2.5104081001000003,0.577410489,0.0977191962,-0.5675203342,0.7903097757
