,ydcM
Cr_1,-0.002300927865763543
Cr_2,6.416303653922246e-05
Cr_3,-0.0019563379420568013
Cr_4,0.0019048416433119538
Cr_5,0.004220265335490321
Cr_6,-0.0026622182065628264
Fe_1,-0.052842410773689966
Fe_2,-0.1114778574100376
Fe_3,-0.14203102123494254
Fe_4,-0.1715877221490587
Fe_5,-0.20450577784880244
Fe_6,-0.22154424503799225
Cd_1,0.004040234295389766
Cd_2,0.0157053335883819
Cd_3,0.022253607142107168
Cd_4,0.02602628892138852
Cd_5,0.029279182385674195
Cd_6,0.03816375192211988
Zn_1,0.01491529532238499
Zn_2,0.008873837876685239
Zn_3,0.021234694538254745
Zn_4,0.02918543873062517
Zn_5,0.03605476233587443
Zn_6,0.04172076206220826
Cu_1,-0.0017668511115602203
Cu_2,0.007514328886502236
Cu_3,0.01654955255557031
Cu_4,0.023135232360979058
Cu_5,0.02907097205366879
Cu_6,0.04093884329121122
Pb_1,0.0057805993542577394
Pb_2,0.003126521895683872
Pb_3,0.0003740310275631958
Pb_4,0.00022478459662688414
Pb_5,-0.00016670456049265226
Pb_6,0.0031808628356408304
