,A,SoxS
R2,,0.4491346653007875
xmin,,-6.550050657
xmid,,0.23746693225749618
xmax,,6.984065303
ystart,,-0.7708924040546541
yend,,14.325891215086699
SRX1125282,-0.29983646880000003,0.6049298045
SRX1125283,0.4955603113,1.3871361292
SRX1125284,1.2638613374,2.481991374
SRX1125285,1.9552394373,3.175986576
SRX1125286,3.7688212012999998,4.2621177106
SRX1125287,6.2371645674,5.2356248738
SRX1125288,-0.16591132420000002,-0.543356217
SRX1125289,1.2860765697,1.9796601533
SRX1125290,1.2236329057,2.3633424613000003
SRX1125291,2.0704610339,3.1963344098
SRX1125292,3.6476601833,4.5281974976
SRX1125293,4.8176744818,5.0563946221
SRX1125294,0.465747793,-0.0615735875
SRX1125295,0.5311844977,1.3642087595999999
SRX1125296,1.1115408882,2.0938203226
SRX1125297,1.6494681985000001,3.0186881448
SRX1125298,3.0321237039,4.5388002279
SRX1125299,5.1884089047,5.3447472309
SRX5694250,-0.19454248300000002,0.1288398648
SRX5694251,-0.46747835460000003,0.1060526531
SRX5694252,0.9977372209,1.7907912964000001
SRX5694253,1.0549093115,1.2216036832000001
SRX5694254,-0.215009573,1.3352402628
SRX5694255,0.9685295592000001,1.6074935602
SRX5694256,1.1585641499000001,1.4550054035
SRX5694257,8.0312655907,3.4130561472
SRX5694258,0.2493222532,0.2576974199
SRX5694259,-4.6166175629,-1.0895406373
SRX5694260,0.7977689771,0.939396785
SRX5694261,3.4720191081,2.4822282833
SRX5694262,1.6241996023,2.0833260494
SRX5694263,0.2372758681,0.806227236
SRX5694264,2.6628298494,0.9656189942000001
SRX5694265,-3.4108908463,-1.5054211269
SRX5694267,0.7439222339,1.143655056
SRX5694268,0.262672375,-0.29725854100000004
SRX5694269,0.4072447804,0.8263991432000001
SRX5694271,1.1460157951,-0.0856607582
SRX5694273,-1.0538761532,-0.09780684860000001
SRX5694274,-0.8196824004000001,-0.8032320694
SRX5694275,0.6285135981000001,0.2974468242
SRX5694276,0.0150310428,-0.1810144651
SRX5694277,1.3423664339,0.1392374787
SRX5694278,-1.4933219252,-0.6454584018
SRX5694279,0.0800080826,0.47058795140000004
SRX5694280,3.1830030228,2.7118016468
SRX5694281,0.9896543539,0.4145545397
SRX5694282,1.8277496086,6.0626043901
SRX5694283,2.6428892325,2.7186194084
SRX5694284,1.5189792421,1.3541792284
SRX5694285,-0.2846914499,0.9283405807
SRX5694286,1.2383901854000001,0.8976539871
SRX5694287,2.7213179961,1.2434253468
SRX5694288,1.1046010164,0.7146807885
SRX5694289,0.9509785156,1.1823105204
SRX5694290,2.3853703383,0.9730154314
SRX5694291,1.7262924908000001,1.5566207699999999
SRX5694292,0.2859780688,0.3450223448
SRX5694293,1.4317833993,-0.050826596
SRX5694294,-0.9517151938,0.0318629843
SRX5694295,-1.9812340003000002,0.7380234284
SRX5694296,0.3640848934,1.5385225167
SRX5694297,2.1858353091,1.3036011208
SRX5694298,-1.6608101144,0.6407163448000001
SRX5694299,-1.0211447965,-0.5095648894
SRX5694300,0.2681594881,0.0156508655
SRX5694301,0.0960434213,0.24989832280000002
SRX5694302,1.1065344374,1.2273820129
SRX5694303,1.3555133318,1.4372215392
SRX5694304,0.288153414,1.065932288
SRX5694305,-2.0292823506,-0.2377438483
SRX5694306,-0.4436295249,0.8077195082
SRX5694307,2.741700785,6.076531362
SRX5694308,-0.1914733127,-0.7362252654
SRX5694309,-1.5308274713999999,-0.47351419790000004
SRX5694310,4.1514794036,3.4111127852
SRX5694311,-4.1293055686,-0.9836647594000001
SRX5694312,2.1882673677,2.2576606131
SRX5694313,-2.2468529683,1.449711555
SRX5694315,0.243771066,-0.2950483209
SRX5694317,1.7466517856000001,1.237510974
SRX5694319,0.9780021189,0.8955530141
SRX5694320,1.0039732147,0.7626379369
SRX5694321,1.3476619442,2.4225481195
SRX5694322,-3.0408281865,5.3573444331
SRX5694323,1.2480067569,2.6902108628
SRX5694324,0.3141973905,1.8289582152000001
SRX5694325,5.2414870348,3.1235731436
SRX5694326,0.994020479,2.1516538716
SRX5694327,3.2614943636,3.0466960426
SRX5694328,0.9259282333000001,0.7131690473000001
SRX5694329,1.875891036,2.8746674155000003
SRX5694330,1.7784810785,2.0312393836
SRX5694331,2.02934502,0.45590613420000003
SRX5694332,-0.9856516927000001,0.3139783389
SRX5694334,-0.43581791200000003,-0.8833521546
SRX5694335,-4.0989432775,0.3982990232
SRX5694336,-0.5817081613,0.8356393537
SRX5694337,2.2889072165,2.6195844514
SRX5694338,0.3804083582,-0.7866102273000001
SRX5694339,0.4487566257,0.6948530473
SRX5694340,1.8591879744000002,1.639153671
SRX5694341,-2.4871863009,2.0229584143
SRX5694342,1.7313844551000002,0.8045780956
SRX5694343,-2.8626694338,0.5349222609000001
SRX5694344,3.0372657911,2.4387786317
SRX5694345,0.8221935946000001,1.5561605637
SRX5694346,-2.3150969762,0.7036989145
SRX5694347,0.2728196311,0.9212912854
SRX5694348,0.20723803970000002,0.0946069199
SRX5694349,0.9632949613,-0.46803699590000003
SRX5694350,-2.1052218042,-1.3519473942
SRX5694351,3.3934162597,5.1230277885
SRX5694352,3.4846999095,1.6370781129
SRX5694353,1.5064293838,1.2203692497
SRX5694354,1.0314204249,-0.2724926048
SRX5694356,0.9191319521,1.7273573944
SRX5694357,4.1345944436,0.6064475824000001
SRX5694358,1.0655829732,0.5525002298
SRX5694359,0.7870697329,1.269346712
SRX5694360,0.5605920465,0.3913653036
SRX5694361,-1.5232753204,5.6842790837
SRX5694362,2.1654157822,1.8018477322000002
SRX5694363,7.5619451339,3.1506350436
SRX5694364,-0.8885341226000001,0.3418361009
SRX5694365,-0.6401537882,0.5964407288
SRX5694366,1.2019240421,0.7124388884
SRX5694367,5.0595448048,3.6947519133
SRX5694368,0.9735764513,1.702493687
SRX5694369,-0.47613058,-0.4862923779
SRX5694370,0.9647401472,0.9375988888000001
SRX5694371,-1.0769437057,-0.2795341666
SRX5694372,0.9315360077,1.0696065176
SRX5694373,-3.02567121,-0.8301435057000001
SRX5694374,1.6667528615,-0.2046681243
SRX5694375,0.2057730388,0.0307377076
SRX5694376,1.3177158260000001,0.43199740080000004
SRX5694377,0.7520231953000001,0.0347717196
SRX5694378,0.8715651679,0.2165458126
SRX5694379,1.4467417545,1.2036794492
SRX5694380,-2.8186942133,0.5368653591
SRX5694381,5.6277701216,2.0190070715
SRX5694382,-0.4233743699,0.9307925680000001
SRX5694383,-0.11588644420000001,-0.38115009780000003
SRX5694384,0.8783669816,0.3107878253
SRX5694385,6.0876933624,2.4859592259
SRX5694386,-4.6979518279,-2.3257506742
SRX5694387,1.773768687,0.7345259588
SRX5694388,-0.2074510775,1.7553984512
SRX5694389,1.2660749894,1.4970730893
SRX5694390,0.9120600402000001,0.2367470569
SRX5694391,0.6697079346,0.3746390458
SRX5694392,0.097785022,1.065704794
SRX5694393,1.6246032255,0.4809907578
SRX5694394,0.7431662401,-0.1762924394
SRX5694395,8.3510672894,3.1620015721
SRX5694396,4.8162324319,5.5208856975
SRX5694397,0.9212489528000001,-0.47413773280000004
SRX5694398,0.7744552745000001,-0.169423654
SRX5694399,0.0834615652,0.9368940404
SRX5694400,0.3284088536,0.3110678807
SRX5694401,0.11732802120000001,0.0206284734
SRX5694402,-4.8454545153,-2.2672507801
SRX5694403,0.9952274106000001,1.831682779
SRX5694404,-0.3415145028,-0.46899111050000003
SRX5694405,0.1620183342,0.5686758573
SRX5694406,0.9550812790000001,1.4957510113
SRX5694407,0.7615997812,1.4729265089
SRX5694408,1.2785881984,1.6687869098
SRX5694409,-6.2384977954,-1.6364045023
SRX5694410,1.8219557375000002,1.7937856649000001
SRX5694411,4.0345537508,6.1998403027
SRX5694412,0.2714022793,-1.1265162808
SRX5694413,-1.4907807832,1.4547347903
SRX5694414,5.9013356803,1.7716905973000001
SRX5694415,1.2600637183,0.6632869352
SRX5694416,-0.1200934261,-0.016547358800000002
SRX5694417,1.9156626357,1.2054905474
SRX5694418,1.4746850705,0.33468577200000005
SRX5694419,-0.7856897035,0.5146416848
SRX5694420,-1.1624474234,-0.5647021034
SRX5694421,0.9528941663,1.4468213884
SRX5694422,3.2896205668,1.4105008534
SRX5694423,-0.0922893473,0.3881525771
SRX5694424,3.3235638198,2.8317588903
SRX5694425,0.7150230796,0.06905676940000001
SRX5694426,0.2822892757,0.3371676335
SRX5694427,1.1807295755,1.3828509103
SRX5694428,0.8024668005000001,0.3977521382
SRX5694429,2.5829515337,6.8910889165
SRX5694430,1.1176494784,1.6464811712
SRX5694431,6.6158026427,3.2991175995
SRX5694432,0.7879704842,0.37110777580000004
SRX5694433,-2.501730095,1.8379643534
SRX5694434,0.8794257503,3.0931197662
SRX5694435,-1.6733344153,-0.46355103070000003
SRX5694436,-5.7520978286,-0.6115930002000001
SRX5694437,3.4348260603,1.4951183398
SRX5694438,0.2531113826,0.1678148133
SRX5694439,5.3808653207,0.950256706
SRX5694440,1.3565596843,0.41352822850000004
SRX5694441,1.6926473837,2.796627174
SRX5694442,0.3369002198,1.5509071806999999
SRX5694443,-0.0564331649,0.36172194150000003
SRX5694444,0.6001541594,-0.0444717241
SRX5694445,-1.2735442999,0.0082113212
SRX5694446,1.5055503571000002,1.3710286959
SRX5694447,-1.3601934876000001,0.9610506127
SRX5694448,1.6288857699000001,2.1543381297
SRX5694449,1.4409125169,1.6513906019
SRX5694450,2.776790538,1.5820106665
SRX5694451,-0.1416073095,0.9984723703
SRX5694452,5.5244795742,5.2717045208
SRX5694453,-1.2045405831,1.5962653053
SRX5694454,0.8647355745,-0.2603270278
SRX5694455,-0.1610296201,0.9504459664
SRX5694456,1.1003662533,1.3090704904
SRX5694457,0.9359491062,0.7868797234
SRX5694459,0.8855815039,1.3558041718
SRX5694460,-3.8917730435999998,-0.7376090114
SRX5694461,1.7305473899,0.9911474696
SRX5694462,-0.9591735308,-0.4279514354
SRX5694463,-0.813987601,0.8452730408
SRX5694464,1.0681520175,1.5254529879
