,mltC
Cr_1,-0.0023635309097153412
Cr_2,-0.002507210041361403
Cr_3,-0.0015616927235179742
Cr_4,-0.005290670676858714
Cr_5,-0.012395486683973144
Cr_6,-0.006371993509852245
Fe_1,-0.013526986053344393
Fe_2,-0.035259320036297635
Fe_3,-0.03828486430735946
Fe_4,-0.04381228824586217
Fe_5,-0.040195325729837986
Fe_6,-0.041217512425411364
Cd_1,-0.008286976073562298
Cd_2,-0.010270819661652093
Cd_3,-0.008493427825421635
Cd_4,-0.009229813706973842
Cd_5,-0.007950598984067482
Cd_6,-0.005131115447741588
Zn_1,-0.012512793340453751
Zn_2,-0.027042377798963426
Zn_3,-0.039001492818063255
Zn_4,-0.043591233992542784
Zn_5,-0.048056780419754336
Zn_6,-0.05291479756129159
Cu_1,-0.002665255877568541
Cu_2,-0.005552580655195211
Cu_3,-0.007990276491374458
Cu_4,-0.003504584587263745
Cu_5,-0.008192052556688638
Cu_6,-0.01701002093141095
Pb_1,-0.0008269638585798318
Pb_2,-0.0004639536554883996
Pb_3,0.011314020731162779
Pb_4,0.017587066610395538
Pb_5,0.023544212898426432
Pb_6,0.01969450653896529
