,sscR
Cr_1,-0.012086796934100058
Cr_2,4.58745298865705e-05
Cr_3,0.02667325943834202
Cr_4,0.05679172399588767
Cr_5,0.0796651700128929
Cr_6,0.0907410783864459
Fe_1,-0.013700841386535179
Fe_2,0.011321951445753316
Fe_3,0.05050359823440183
Fe_4,0.04848694542263913
Fe_5,0.06687850706469589
Fe_6,0.08719640376017801
Cd_1,-0.004565630631522751
Cd_2,0.007830526350934397
Cd_3,0.020877304326106755
Cd_4,0.03213201123661842
Cd_5,0.03569261910761982
Cd_6,0.04201929404826346
Zn_1,-0.0013986663169722794
Zn_2,0.020057419088493397
Zn_3,0.038663915961359936
Zn_4,0.048146942478269686
Zn_5,0.04800199127457799
Zn_6,0.07574542168031279
Cu_1,0.009095769222913618
Cu_2,0.008991018236972136
Cu_3,0.01666314089601936
Cu_4,0.03225435585155178
Cu_5,0.04270257041126163
Cu_6,0.058028566355200574
Pb_1,-0.00432084697160463
Pb_2,0.01639938187646953
Pb_3,0.04111673558427612
Pb_4,0.03759528580013445
Pb_5,0.043912366335368436
Pb_6,0.036167404474826574
