,new_353869_356316
LBexp_1,12.35
LBexp_2,13.22
LBexp_3,13.06
LBtran_1,10.65
LBtran_2,10.18
LBtran_3,10.37
LBstat_1,9.48
LBstat_2,9.56
LBstat_3,9.55
LBGexp_1,12.3
LBGexp_2,12.22
LBGexp_3,12.32
LBGtran_2,8.4
LBGtran_3,9.31
LBGstat_1,7.89
LBGstat_2,7.78
LBGstat_3,7.99
S0_1,9.34
S0_2,9.37
S0_3,9.48
S1_1,10.91
S1_2,10.94
S1_3,10.89
S2_1,10.88
S2_2,10.8
S2_3,10.39
S3_1,10.12
S3_2,10.31
S4_1,10.9
S4_2,10.23
S4_3,9.78
S5_1,10.42
S5_2,9.59
S5_3,10.49
S6_1,9.53
S6_2,7.66
S6_3,9.56
S6/t_1,9.73
S6/t_2,7.76
S6_4,9.13
S6_5,9.57
S6_6,9.78
S7_4,9.65
S7_5,9.39
S7_6,10.08
S8_4,9.52
S8_5,8.93
G135_1,11.21
G135_3,9.26
G150_1,11.28
G150_2,11.89
G150_3,10.87
G180_1,10.17
G180_2,10.33
G180_3,9.13
C30_1,10.19
C30_2,10.55
C90_1,10.71
C90_2,10.66
BI_1,12.33
BI_2,12.18
BC_2,10.24
BC/t_1,10.26
BC/t_2,10.64
BC_1,9.7
Sw_1,10.93
Sw_2,11.18
BT_1,9.25
BT_2,8.69
B36_1,11.88
B36_2,12.03
B60_1,13.55
B60_2,12.96
M9exp_1,11.94
M9exp_2,11.38
M9exp_3,11.05
M9tran_1,9.99
M9tran_2,9.59
M9tran_3,10.94
M9stat_1,8.43
M9stat_2,8.48
M9stat_3,8.34
M+G_1,10.59
M+G_2,10.35
M+G_3,10.63
Glu_1,10.89
Glu_2,11.35
Glu_3,11.25
Fru_1,11.31
Fru_2,11.11
Fru_3,10.61
Mal_1,10.13
Mal_2,10.5
Mal_3,10.47
G+S_2,10.5
G+S_3,10.99
Pyr_1,10.21
Pyr_2,11.52
Pyr_3,11.24
Gly_1,10.14
Gly_2,11.14
Gly_3,9.99
Glucon_1,10.56
Glucon_2,11.37
Glucon_3,10.17
aero_1,11.47
aero_2,10.5
aero_3,11.47
nit_1,8.89
nit_2,8.54
nit_3,7.67
ferm_1,10.26
ferm_2,9.87
ferm_3,10.75
T-5.40H_1,12.58
T-4.40H_1,12.29
T-3.40H_1,11.99
T-2.40H_1,11.4
T-1.40H_1,11.47
T-1.10H_1,11.66
T-0.40H_1,11.84
T0.0H_1,11.62
T0.30H_1,11.27
T1.0H_1,10.76
T1.30H_1,10.26
T2.0H_1,9.75
T2.30H_1,10.07
T3.0H_1,9.28
T3.30H_1,9.56
T4.0H_1,9.52
T5.0H_1,8.96
HPh_1,9.47
HPh_2,8.96
HPh_3,9.12
LPh_1,9.14
LPh_2,9.58
LPh_3,9.27
LPhT_1,9.45
LPhT_2,9.49
LPhT_3,9.97
SMMPr_1,9.99
SMMPr_2,10.24
SMMPr_3,10.43
HiTm_1,9.82
HiTm_2,9.68
HiTm_3,9.6
LoTm_1,11.58
LoTm_2,11.04
LoTm_3,10.99
HiOs_1,12.44
HiOs_2,12.31
HiOs_3,12.37
BMM_1,10.49
BMM_2,10.01
BMM_3,10.32
Heat_1,9.3
Heat_2,8.82
Heat_3,8.86
Cold_1,9.35
Cold_2,9.01
Cold_3,8.83
Etha_1,7.79
Etha_2,7.88
Etha_3,7.68
SMM_1,10.72
SMM_2,10.86
SMM_3,10.97
Salt_1,11.65
Salt_2,11.74
Salt_3,11.89
Mt0_1,12.38
Mt0_3,12.19
M0t45_1,10.69
M0t45_2,12.45
M0t45_3,12.56
M0t90_1,9.59
M0t90_2,9.48
M0t90_3,10.53
M40t45_1,10.48
M40t45_2,11.54
M40t45_3,12.67
M40t90_1,9.7
M40t90_2,8.99
M40t90_3,10.46
dia0_1,12.15
dia0_2,12.5
dia0_3,12.87
dia5_1,12.11
dia5_2,11.64
dia5_3,11.73
dia15_1,11.83
dia15_2,12.77
dia15_3,12.38
Diami_1,10.49
Diami_2,10.82
Diami_3,10.24
Paraq_1,12.01
Paraq_2,12.46
Paraq_3,10.63
H2O2_1,12.38
H2O2_2,12.76
H2O2_3,12.29
Oxctl_1,10.46
Oxctl_2,10.24
Oxctl_3,10.92
GM-0.1_1,11.19
GM-0.2_1,11.18
GM+5_1,11.56
GM+15_1,12.41
GM+25_1,12.82
GM+45_1,12.25
GM+60_1,12.03
GM+90_1,10.57
GM+120_1,8.6
