gene_id,USA300HOU_RS04715
name,mnhb1
operon,"phaG,phaF,mrpE,mnhd1,mnhc1,mnhb1,phaA"
product,Na+/H+ antiporter subunit B
cog,Inorganic ion transport and metabolism
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN003052000"">AureoWiki</a>"
